time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.160,249.640
0.400,0.016,49.888,-0.273,0.576,248.301
0.600,0.105,99.677,-0.229,1.396,245.044
0.800,0.377,149.297,0.505,2.451,241.701
1.000,0.962,198.660,2.131,3.705,238.867
1.200,1.988,247.699,4.726,5.182,236.411
1.400,3.589,296.347,8.336,6.634,234.148
1.600,5.883,344.469,13.163,7.506,232.587
1.800,8.756,391.973,19.277,6.820,233.873
2.000,11.868,438.986,26.408,6.056,235.486
2.200,15.000,485.741,33.969,5.875,236.366
2.400,18.136,532.420,41.440,6.033,236.521
2.600,21.310,579.088,48.542,6.483,236.038
2.800,24.583,625.771,55.035,7.166,235.096
3.000,28.036,672.471,60.713,8.055,233.900
3.200,31.795,719.166,65.342,9.262,232.867
3.400,36.041,765.879,68.590,10.512,232.337
3.600,40.772,812.600,70.285,11.359,231.958
3.800,45.833,859.306,70.385,11.599,231.759
4.000,51.021,905.990,68.903,11.154,231.783
4.200,56.158,952.642,65.931,9.719,231.916
4.400,61.179,999.186,61.668,7.739,231.523
4.600,66.140,1045.496,56.237,6.580,230.336
4.800,71.196,1091.499,49.638,7.425,229.486
5.000,76.635,1137.171,41.720,9.376,229.423
5.200,82.612,1182.498,32.325,10.784,229.982
5.400,88.904,1227.533,21.716,9.859,232.276
5.600,95.230,1272.549,10.583,8.020,234.302
5.800,101.399,1317.773,-0.371,5.735,234.381
6.000,107.175,1363.308,-10.760,3.334,232.773
6.200,112.422,1409.163,-20.508,1.336,230.757
6.400,117.153,1455.306,-29.604,359.771,228.920
6.600,121.366,1501.695,-37.849,358.758,227.504
6.800,125.093,1548.268,-45.019,358.294,226.444
7.000,128.431,1594.966,-51.076,358.258,225.589
7.200,131.470,1641.739,-55.999,358.613,224.902
7.400,134.298,1688.533,-59.732,358.992,224.342
7.600,136.914,1735.280,-62.121,359.364,223.841
7.800,139.333,1781.967,-63.358,359.789,223.138
8.000,141.597,1828.549,-63.447,359.921,222.436
8.200,143.674,1874.925,-62.140,359.720,221.919
8.400,145.404,1921.013,-59.309,359.489,221.360
8.600,146.740,1966.844,-55.223,359.175,220.443
8.800,147.774,2012.460,-50.157,358.881,219.241
9.000,148.635,2057.864,-44.259,358.894,218.144
9.200,149.464,2102.989,-37.466,358.967,218.024
9.400,150.362,2147.778,-29.702,358.749,220.541
9.600,151.297,2192.239,-20.942,358.551,223.291
9.800,152.111,2236.456,-11.409,359.027,225.219
10.000,152.792,2280.599,-1.667,0.118,225.850
10.200,153.466,2324.800,7.728,1.108,225.997
10.400,154.193,2369.155,16.431,1.252,225.587
10.600,154.926,2413.585,24.467,0.775,224.496
10.800,155.632,2458.023,31.798,0.204,222.862
11.000,156.296,2502.391,38.343,0.066,221.111
11.200,156.951,2546.730,43.771,0.408,219.859
11.400,157.647,2591.035,47.935,0.856,218.641
11.600,158.409,2635.260,50.831,1.309,217.473
11.800,159.254,2679.390,52.427,1.862,216.698
12.000,160.198,2723.434,52.586,2.327,216.117
12.200,161.201,2767.345,51.381,2.381,215.272
12.400,162.217,2811.069,48.978,2.224,214.423
12.600,163.236,2854.597,45.299,2.260,214.043
12.800,164.265,2897.926,40.165,2.384,213.920
13.000,165.281,2941.023,33.592,2.335,213.810
13.200,166.249,2983.859,25.657,1.882,213.500
13.400,167.170,3026.441,16.591,1.338,213.632
13.600,168.065,3068.753,6.460,1.368,215.592
13.800,168.980,3110.912,-4.687,1.599,218.490
14.000,169.917,3153.191,-16.341,1.534,219.546
14.200,170.846,3195.735,-27.789,1.188,218.567
14.400,171.694,3238.590,-38.644,0.850,217.263
14.600,172.434,3281.745,-48.904,0.516,215.784
14.800,173.071,3325.176,-58.439,0.281,214.539
15.000,173.646,3368.844,-67.014,0.115,213.709
15.200,174.165,3412.683,-74.307,359.875,213.385
15.400,174.523,3456.634,-80.159,359.711,213.161
15.600,174.679,3500.668,-84.823,359.556,212.635
15.800,174.694,3544.767,-88.509,359.391,212.004
16.000,174.633,3588.882,-91.138,359.227,211.506
16.200,174.515,3632.925,-92.455,358.967,211.224
16.400,174.245,3676.821,-92.340,358.804,210.837
16.600,173.786,3720.583,-91.063,358.688,210.126
16.800,173.196,3764.217,-88.807,358.390,209.312
17.000,172.462,3807.618,-85.363,357.944,208.704
17.200,171.489,3850.693,-80.593,357.616,208.303
17.400,170.272,3893.494,-74.756,357.472,207.872
17.600,168.923,3936.101,-68.137,357.551,207.230
17.800,167.582,3978.528,-60.830,357.711,206.599
18.000,166.356,4020.662,-52.617,357.910,206.163
18.200,165.253,4062.380,-43.295,358.159,205.788
18.400,164.148,4103.664,-32.923,358.242,205.702
18.600,162.913,4144.573,-21.732,358.677,207.435
18.800,161.569,4185.340,-10.156,359.500,209.639
19.000,160.233,4226.158,1.358,0.066,210.972
19.200,158.949,4267.014,12.646,359.889,211.590
19.400,157.716,4307.847,23.752,359.188,211.375
19.600,156.528,4348.585,34.721,358.510,210.139
19.800,155.340,4389.216,45.426,358.472,208.500
20.000,154.173,4429.865,55.443,359.051,207.138
20.200,153.111,4470.604,64.467,359.819,205.873
20.400,152.204,4511.403,72.431,0.633,204.617
20.600,151.487,4552.229,79.298,1.448,203.416
20.800,150.990,4593.052,85.041,2.253,202.299
21.000,150.729,4633.850,89.670,3.052,201.279
21.200,150.719,4674.603,93.195,3.850,200.356
21.400,150.974,4715.291,95.628,4.656,199.526
21.600,151.511,4755.896,96.979,5.478,198.785
21.800,152.361,4796.408,97.216,6.397,198.417
22.000,153.598,4836.839,96.205,7.333,198.254
22.200,155.199,4877.155,93.960,8.086,198.063
22.400,157.117,4917.327,90.494,8.612,197.920
22.600,159.307,4957.327,85.795,8.940,197.840
22.800,161.726,4997.129,79.848,8.998,197.857
23.000,164.326,5036.707,72.640,8.782,197.970
23.200,167.053,5076.036,64.156,8.413,198.193
23.400,169.863,5115.096,54.430,7.791,198.246
23.600,172.726,5153.874,43.685,7.142,197.955
23.800,175.657,5192.347,31.940,6.971,198.206
24.000,178.722,5230.512,19.032,6.568,200.973
24.200,181.908,5268.574,5.115,5.798,203.919
24.400,185.133,5306.772,-9.339,5.174,205.159
24.600,188.383,5345.251,-23.903,4.973,204.783
24.800,191.690,5384.095,-38.090,4.908,204.112
25.000,195.026,5423.336,-51.613,4.951,203.752
25.200,198.357,5462.954,-64.474,5.076,203.415
25.400,201.703,5502.928,-76.669,5.028,203.078
25.600,205.058,5543.245,-88.021,4.796,203.317
25.800,208.341,5583.886,-98.407,4.584,203.491
26.000,211.512,5624.821,-107.904,4.393,203.237
26.200,214.610,5666.012,-116.571,4.251,202.864
26.400,217.697,5707.413,-124.326,4.179,202.669
26.600,220.799,5748.976,-130.985,4.096,202.925
26.800,223.861,5790.675,-136.553,4.147,203.482
27.000,226.867,5832.513,-141.266,4.239,203.600
27.200,229.854,5874.467,-145.175,4.180,203.517
27.400,232.820,5916.475,-148.032,3.974,203.864
27.600,235.681,5958.494,-149.723,3.846,204.179
27.800,238.407,6000.529,-150.459,3.753,204.015
28.000,241.054,6042.584,-150.402,3.490,203.623
28.200,243.610,6084.581,-149.330,3.122,203.638
28.400,245.991,6126.449,-147.102,2.874,203.671
28.600,248.192,6168.221,-143.965,2.708,203.443
28.800,250.278,6209.922,-140.084,2.396,203.052
29.000,252.235,6251.455,-135.247,1.961,202.794
29.200,253.982,6292.743,-129.352,1.636,202.465
29.400,255.518,6333.823,-122.597,1.390,201.919
29.600,256.907,6374.732,-115.130,1.016,201.349
29.800,258.136,6415.367,-106.769,0.517,200.774
30.000,259.133,6455.656,-97.451,0.123,200.121
30.200,259.897,6495.634,-87.318,359.939,199.338
