time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.159,249.976
0.400,0.022,49.984,-0.429,0.328,249.568
0.600,0.112,99.906,-0.870,0.449,248.836
0.800,0.343,149.759,-1.071,0.718,248.350
1.000,0.760,199.562,-0.920,1.127,247.923
1.200,1.351,249.318,-0.437,1.366,247.780
1.400,2.069,299.019,0.257,0.822,248.250
1.600,2.837,348.639,1.004,0.623,247.905
1.800,3.606,398.200,1.296,0.713,247.331
2.000,4.371,447.695,0.975,0.893,247.247
2.200,5.169,497.126,0.377,1.190,246.883
2.400,6.070,546.463,-0.017,1.155,245.975
2.600,7.034,595.707,-0.056,1.404,245.328
2.800,8.035,644.916,0.067,1.721,245.129
3.000,9.085,694.116,0.151,1.479,245.796
3.200,10.189,743.310,0.111,0.567,245.954
3.400,11.326,792.457,-0.078,359.527,245.075
3.600,12.448,841.507,-0.396,359.571,244.834
3.800,13.548,890.532,-0.993,0.127,245.226
4.000,14.657,939.590,-1.786,0.785,244.927
4.200,15.865,988.653,-2.377,1.285,243.794
4.400,17.244,1037.651,-2.475,1.306,243.562
4.600,18.738,1086.602,-2.265,0.677,244.364
4.800,20.268,1135.513,-1.883,0.389,244.603
5.000,21.780,1184.440,-1.816,0.544,244.527
5.200,23.265,1233.434,-2.311,0.846,245.238
5.400,24.740,1282.552,-3.220,1.551,246.061
5.600,26.314,1331.757,-4.201,3.129,245.345
5.800,28.176,1380.939,-4.694,4.487,243.329
6.000,30.341,1430.037,-4.540,4.799,243.077
6.200,32.713,1479.088,-3.880,4.139,244.682
6.400,35.175,1528.148,-2.929,3.877,245.768
6.600,37.670,1577.291,-2.267,4.057,246.086
6.800,40.192,1626.549,-2.323,3.959,246.305
7.000,42.710,1675.929,-3.188,3.506,246.337
7.200,45.189,1725.349,-4.820,3.985,247.327
7.400,47.676,1774.884,-7.033,5.384,248.304
7.600,50.376,1824.518,-9.133,6.797,246.517
7.800,53.404,1874.099,-10.594,7.694,244.083
8.000,56.708,1923.577,-11.300,8.097,242.469
8.200,60.234,1972.959,-11.407,7.624,244.344
8.400,63.967,2022.309,-11.024,6.574,246.536
