altitude_m,heading_deg,roll_deg,pitch_deg,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,n_x_g,n_y_g,n_z_g,longitude_deg,latitude_deg,time_s,phase,target_heading_deg,target_altitude_m,target_dv_mps
9999.856063878135,0.2600772496357169,3.1516615555824297,0.5103870911697473,250.48889785419308,-0.9182920126773589,3.8148039597759507,0.6480097167639826,0.17315468627696476,0.033689808688042215,0.75,-0.55,-0.25,0.8310344827586207,0.21935754787000136,0.3466951885614135,-0.630045223042233,119.99999996375459,60.00044842729998,0.2,TURNING,0.021206913580272158,nan,nan
9999.444470360355,0.7262581615865902,12.178161104845598,3.000516058946345,249.89752954061305,0.4046128216534271,15.68240272338022,0.855626225356992,0.1819675723127848,-0.006084471204510126,0.30000000000000004,0.1499999999999999,0.55,0.4517241379310345,0.0007525861452799042,0.05786228425096461,-0.4073215184077674,120.00000038674033,60.00089736975548,0.4,TURNING,0.08432197530862595,nan,nan
9999.022609404015,0.722050464434711,17.738798546246016,3.9757566837724063,249.54150421587752,3.6625505469009254,18.7435631912298,-0.0045479323426579135,0.008913692432175305,-0.02837420538956814,-0.65,-0.09999999999999998,0.0,0.6241379310344828,0.04313280512864983,-0.4405391409398421,-1.6106800386396483,120.0000023689638,60.00134605344263,0.6000000000000001,TURNING,0.18858666666665158,nan,nan
9998.88977643732,0.42040000359541646,13.823632188867517,4.102135547220463,249.23451071817095,4.2582133672688505,16.832449495841846,-0.6856989499432219,0.003148549848904204,-0.026975397314561753,-0.36632829019833013,-0.15000000000000002,0.19999999999999996,0.6241379310344828,-0.1285682796111884,-0.30769622057478785,-2.38640151965876,120.00000750345762,60.001794274991,0.8,TURNING,0.33324246913582556,nan,nan
9999.203576395557,0.28467466779805745,5.137777066847362,4.176155815224182,249.35419066818602,2.6185767743980723,15.628316330387984,-0.7817498104665752,0.006067560186464595,-0.002570325051217879,-0.2723985511792618,-0.15000000000000002,0.0,0.7965517241379311,0.1843196405493717,-0.04600652037470601,-1.6810585393754514,120.00001556966711,60.00224199360858,1.0,TURNING,0.5175308641975107,nan,nan
9999.767074448258,0.3394755083831357,-1.5620992674835423,3.9126379405478966,249.85026058800486,0.6408112618480237,14.118006644826686,-0.3751536418703836,-0.05467414802861681,0.003447535098360722,-0.07248063702869358,0.0,0.55,0.8310344827586207,0.3306533332767597,0.10561725585056786,-0.9829361978946427,120.00002449937682,60.00269007025746,1.2000000000000002,TURNING,0.7406933333333541,nan,nan
10000.325516326797,0.5455105472607928,-3.3841684088708104,3.260877362926637,249.91154443656123,-0.6289553874443587,11.757697780641697,0.05586007189892991,-0.056911194890236924,0.019874515262540655,0.08327190486018282,0.0,-0.25,0.5551724137931034,0.0010984159995438445,0.13448329436756573,-0.6772125197280858,120.00003332944968,60.00313849968491,1.4000000000000001,TURNING,1.0019713580247185,nan,nan
10000.751929754395,0.7717901770723051,-1.2526770964195875,2.9872266552020026,250.49852815763768,-1.1606547695324354,11.177290802495296,0.29673149492920736,0.01175966100842218,0.014527666376500104,0.13059086682421817,-0.15000000000000002,-0.25,0.8310344827586207,0.3137733807895932,0.0712636847327938,-0.8394627171971878,120.00004209932115,60.003587365272054,1.6,TURNING,1.3006064197530804,nan,nan
10001.10854925786,0.8707444797010754,2.122185893643483,2.8888085833800576,250.3805927325359,-0.8794031260162801,10.965408053252974,0.27741649309016325,-0.03861950925322412,0.006078565554738174,0.09000974060053786,0.0,-0.25,0.5551724137931034,-0.011933073163402922,-0.0031608612338243415,-0.832086962743876,120.00005100533292,60.00403667190443,1.8,TURNING,1.6358399999999733,nan,nan
10001.479072215227,0.6981609475140725,1.6742080376232846,2.6064640845605704,250.6025388660227,-0.13281935151837387,9.18219771559131,-0.46172684183433477,-0.007454244995611003,-0.028279455344245027,-0.44999999999999996,-0.09999999999999998,-0.25,0.7620689655172415,0.07511028378427746,-0.3603942080641753,-1.5645850748255563,120.00006031086103,60.00448599375119,2.0,TURNING,2.0069135802469305,nan,nan
10001.983422547388,0.7908440157297365,-0.7196116378592654,2.3450067371288066,250.39950162007494,-0.946022316046164,7.725513099778107,0.21944419739641174,-0.039958462484570786,0.03483170444478125,0.75,0.0,-0.25,0.5551724137931034,-0.018061471069868173,0.3993223795317704,-0.7498452848810523,120.00006967242903,60.00493514488199,2.2,TURNING,2.4130686419753147,nan,nan
10002.420852432142,1.0240514378189232,2.7724546838863287,1.8650407711345718,250.38112010910044,-1.4388419640987198,6.375032073701397,0.30986307469917945,-0.04225565659111359,0.008219512917100342,0.09820803141485172,0.0,-0.25,0.5551724137931034,0.0025820775107918735,-0.009404963779307782,-0.6333029516565402,120.00007923169083,60.00538406520882,2.4000000000000004,TURNING,2.8535466666666593,nan,nan
10002.771936707291,0.8466421710049482,2.613595294448298,1.6536179078855364,250.63477985584808,-0.5703948726969766,5.361290607063565,-0.44720386973489856,0.004210749461637396,-0.029804614023807914,-0.44999999999999996,-0.09999999999999998,-0.25,0.7620689655172415,0.08540018170932218,-0.36154306279296733,-1.3532610376118086,120.00008932246169,60.00583317340101,2.6,TURNING,3.327589135802498,nan,nan
10003.18846840135,0.9297509096184648,0.3422370552521183,1.9208324402723105,251.0095185759267,-1.1396752292417744,6.397743747784404,0.22823983311936405,0.03856907340341935,0.034045561183825956,0.75,-0.15000000000000002,-0.25,0.8310344827586207,0.30508335990869573,0.4026210280758217,-0.7873176220439164,120.00009962557387,60.00628274749602,2.8000000000000003,TURNING,3.834437530864193,nan,nan
10003.53586455905,1.148880011851115,3.8304083641235867,2.0386950402602517,251.0573424368114,-1.4839946494005143,7.584360358972829,0.3000714885571216,-0.025766593503868944,0.006426134985091752,0.09407889287445852,0.0,-0.25,0.5551724137931034,0.09122109452706524,-0.010640910295266755,-0.633202655072868,120.00011027014432,60.00673283775459,3.0,TURNING,4.373333333333335,nan,nan
10003.82657925987,0.9634313191970623,3.5370619266335477,1.8855016678607979,251.3845627436546,-0.5658538905872147,6.633892088801636,-0.459417949903755,0.0017624824354159475,-0.02974555473181305,-0.44999999999999996,-0.09999999999999998,-0.25,0.7620689655172415,0.13027321033627146,-0.3608522368003016,-1.424677510350489,120.00012157583701,60.007183280719154,3.2,TURNING,4.943518024691343,nan,nan
10004.215241957572,1.0480931537880465,1.1563193821313527,2.1069486200437018,251.81127972666752,-1.1624870665014602,7.329596625807558,0.22195731982099773,0.033970371316634246,0.03376758939097305,0.75,-0.15000000000000002,-0.25,0.8310344827586207,0.3344278178248117,0.4048829580703128,-0.8537453015287279,120.0001332585525,60.00763428863926,3.4000000000000004,TURNING,5.5442330864197515,nan,nan
10004.559696186832,1.1885473077656628,4.725932263332543,2.1690090789590535,252.02994701748787,-1.0622680664536155,8.153985563037478,0.31445806567663886,-0.030879621892922954,-0.005162750585183813,0.09474243225584324,0.0,0.3500000000000001,0.5551724137931034,0.18141020971233882,-0.018237807367790047,-0.6850626527688506,120.00014544299512,60.00808598936557,3.6,TURNING,6.174719999999979,nan,nan
