altitude_m,heading_deg,roll_deg,pitch_deg,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,aileron_cmd,elevator_cmd,rudder_cmd,throttle_cmd,n_x_g,n_y_g,n_z_g,longitude_deg,latitude_deg,time_s,phase,target_heading_deg,target_altitude_m,target_dv_mps
9999.856063878135,0.2600772496357169,3.1516615555824297,0.5103870911697473,250.48889785419308,-0.9182920126773589,3.8148039597759507,0.6480097167639826,0.17315468627696476,0.033689808688042215,0.75,-0.55,-0.25,0.8310344827586207,0.21935754787000136,0.3466951885614135,-0.630045223042233,119.99999996375459,60.00044842729998,0.2,TURNING_LEVEL,0.013432500000021719,10000.000319999546,0.0
9999.444470360355,0.7262581615865902,12.178161104845598,3.000516058946345,249.89752954061305,0.4046128216534271,15.68240272338022,0.855626225356992,0.1819675723127848,-0.006084471204510126,0.30000000000000004,0.1499999999999999,0.55,0.4517241379310345,0.0007525861452799042,0.05786228425096461,-0.4073215184077674,120.00000038674033,60.00089736975548,0.4,TURNING_LEVEL,0.05345999999997275,10000.000319999546,0.0
9999.022609404015,0.722050464434711,17.738798546246016,3.9757566837724063,249.54150421587752,3.6625505469009254,18.7435631912298,-0.0045479323426579135,0.008913692432175305,-0.02837420538956814,-0.65,-0.09999999999999998,0.0,0.6241379310344828,0.04313280512864983,-0.4405391409398421,-1.6106800386396483,120.0000023689638,60.00134605344263,0.6000000000000001,TURNING_LEVEL,0.11967750000002297,10000.000319999546,0.0
9998.889775691316,0.42033914349808876,13.822977503156052,4.102150696778437,249.2345033640808,4.258442961761434,16.832500725056082,-0.6870439469522751,0.0031493006971954275,-0.02710579629568453,-0.369099973031641,-0.15000000000000002,0.19999999999999996,0.6241379310344828,-0.12859159486745977,-0.3122059341021653,-2.386213108905769,120.00000750350752,60.001794274990836,0.8,TURNING_LEVEL,0.2116800000000012,10000.000319999546,0.0
9999.20594292648,0.2813937196338937,5.082388576705131,4.1764313364665755,249.35015938041374,2.6179674046313126,15.608963857659239,-0.7895583275998772,0.006050424553945474,-0.0028659586082739066,-0.2758339718591556,-0.15000000000000002,0.0,0.7965517241379311,0.18283640903816095,-0.047859564790054786,-1.6869697884449848,120.00001557667616,60.00224198828933,1.0,TURNING_LEVEL,0.32906250000002046,10000.000319999546,0.0
9999.774910627377,0.33431228353768117,-1.7144813865269162,3.913122330269288,249.84359407795424,0.6244128527804593,14.09002308353404,-0.38394778118205003,-0.05465530062103939,0.003271400136905429,-0.07536830652120308,0.0,0.55,0.8310344827586207,0.3298995817752393,0.10566007678643402,-0.9845567456390604,120.00002450642647,60.00269005201237,1.2000000000000002,TURNING_LEVEL,0.47142000000002326,10000.000319999546,0.0
10000.339888471432,0.5414834708883731,-3.622240663694549,3.2625107418747636,249.90372867056357,-0.6652402852184629,11.731016857693417,0.04981385214662782,-0.056848175184027204,0.01980004430157195,0.08188274545229493,0.0,-0.25,0.5551724137931034,0.0011845502454523823,0.13575716108642685,-0.6752152259257915,120.00003331963939,60.003138464946,1.4000000000000001,TURNING_LEVEL,0.638347500000009,10000.000319999546,0.0
10000.771759506717,0.7685217436303957,-1.5400677144045298,2.9908014757236017,250.4912938976902,-1.2132970181347547,11.16366264562574,0.2941211015130639,0.011850174071685343,0.014484305942776006,0.1304625875271832,-0.15000000000000002,-0.25,0.8310344827586207,0.31428835511023023,0.07278941921515115,-0.8360337144663927,120.00004205820242,60.00358731532465,1.6,TURNING_LEVEL,0.8294399999999769,10000.000319999546,0.0
10001.132347858591,0.8672648657701778,1.8169655566293368,2.893793107726432,250.37397587134907,-0.9412230869495952,10.965188544194788,0.2767755630007794,-0.03856397150917513,0.005973530225850592,0.09034952960578217,0.0,-0.25,0.5551724137931034,-0.011413033981782403,-0.0019769575093573992,-0.8294600990834838,120.00005091066657,60.004036609444775,1.8,TURNING_LEVEL,1.0442924999999832,10000.000319999546,0.0
10001.450790985904,0.9330769310359462,5.010109424296857,2.6066949479560835,250.7519277450788,-0.5759833544958566,10.04981626110406,0.283470149557936,-0.006148882406470155,0.007840445939841983,0.10000000000000009,-0.09999999999999998,-0.25,0.7620689655172415,0.21935288090341784,0.013397364524283572,-0.877508443213189,120.00006008297996,60.004486041286114,2.0,TURNING_LEVEL,1.2825000000000273,10000.000319999546,0.0
10001.760637673227,0.7882216615812006,4.6710413163503635,2.6028262072479103,250.98519054749553,0.2010160562931013,9.531655001293622,-0.4513002238959959,0.0006944253453490575,-0.02691390817251131,-0.44999999999999996,-0.09999999999999998,-0.25,0.7620689655172415,0.10270993539580334,-0.36419694295124144,-1.507623748122779,120.00006996706666,60.004936035786336,2.2,TURNING_LEVEL,1.5436574999999948,10000.000319999546,0.0
10002.18690569046,0.8734244857617286,2.4229410147748442,2.1180180145113368,250.83580887781505,-0.5791619909320489,7.277297057490377,0.23519031902740986,-0.10251926334161639,0.03614334921469812,0.75,0.1499999999999999,-0.25,0.5551724137931034,0.01943874764883449,0.39415749009228623,-0.5160346175354994,120.00008035143355,60.005385919364116,2.4000000000000004,TURNING_LEVEL,1.8273599999999988,10000.000319999546,0.0
10002.458544032515,1.2649169394611794,8.914972786407363,1.273521422072152,251.01248577137326,-1.6542865183817526,5.4445809695857115,0.9173244163060554,0.004685244990315737,0.03821640792026961,0.55,-0.15000000000000002,-0.25,0.5551724137931034,0.10125175217330037,0.2885707996417979,-0.03598789325528583,120.00009110665873,60.00583571964869,2.6,TURNING_LEVEL,2.1332024999999817,10000.000319999546,0.0
