Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.075,89.074,5940.775,5940.867,5941.010,5940.986,365.339,363.645,364.767,364.767,0.011,0.362,-0.571,-0.221,0.530,0.881,0.171,0.521,1,1,attack_maneuver,search
0.200,88.928,88.929,88.930,88.928,5941.226,5942.565,5943.263,5943.239,364.728,361.150,363.214,363.076,0.215,0.566,-1.157,-0.806,2.670,3.024,2.310,2.664,1,1,attack_maneuver,lock_on
0.400,88.783,88.784,88.786,88.784,5941.716,5946.263,5947.558,5947.531,364.276,358.050,361.188,361.045,0.147,0.498,-1.639,-1.288,4.659,5.015,4.298,4.654,1,1,attack_maneuver,lock_on
0.600,88.638,88.640,88.643,88.642,5942.136,5952.011,5953.100,5953.062,363.658,354.923,359.306,359.175,0.337,0.689,-2.721,-2.369,8.402,8.687,8.040,8.325,1,1,attack_maneuver,lock_on
0.800,88.494,88.496,88.502,88.500,5942.575,5959.817,5958.923,5958.893,363.213,351.658,357.862,358.107,0.253,0.606,-3.964,-3.611,12.175,10.418,11.811,10.054,1,1,attack_maneuver,lock_on
1.000,88.351,88.353,88.362,88.360,5942.933,5969.639,5964.508,5964.611,362.608,348.107,356.502,357.950,0.440,0.793,-5.099,-4.746,15.082,5.020,14.716,4.653,1,1,attack_maneuver,lock_on
1.200,88.209,88.209,88.224,88.221,5943.306,5981.692,5969.949,5970.205,362.184,344.426,354.852,358.070,0.347,0.697,-5.859,-5.509,17.272,2.922,16.902,2.553,1,1,attack_maneuver,lock_on
1.400,88.067,88.066,88.088,88.083,5943.597,5996.068,5975.491,5975.404,361.605,340.655,352.901,358.237,0.536,0.881,-5.451,-5.105,19.348,0.936,18.975,0.563,1,1,attack_maneuver,lock_on
1.600,87.927,87.922,87.954,87.946,5943.900,6012.744,5980.939,5979.997,361.214,337.184,350.834,357.779,0.437,0.776,-4.172,-3.834,21.768,1.463,21.391,1.086,1,1,attack_maneuver,lock_on
1.800,87.788,87.779,87.823,87.811,5944.118,6031.230,5985.479,5984.692,360.676,334.164,349.420,356.729,0.630,0.961,-2.748,-2.418,24.525,9.101,24.146,8.722,1,1,attack_maneuver,lock_on
2.000,87.649,87.636,87.693,87.677,5944.347,6051.241,5988.747,5989.938,360.334,331.643,348.270,355.710,0.529,0.851,-2.262,-1.940,26.840,8.499,26.458,8.117,1,1,attack_maneuver,lock_on
2.200,87.512,87.494,87.565,87.543,5944.490,6071.951,5990.820,5995.172,359.854,329.786,346.934,355.490,0.727,1.039,-3.755,-3.443,28.763,2.268,28.380,1.884,1,1,attack_maneuver,lock_on
2.400,87.376,87.352,87.438,87.410,5944.640,6092.233,5991.913,6000.073,359.581,328.131,345.568,355.618,0.625,0.925,-4.128,-3.828,30.663,2.769,30.277,2.383,1,1,attack_maneuver,lock_on
