Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0100,92.0,163.4,71.4,52909.50130100733,740.1681222111897,1125.2311938497223,TERMINAL
A200-1,A0200,B0100,92.0,163.4,71.4,52955.70981492254,740.9200899664419,1125.6291021568165,HIT
B200-1,B0200,A0100,92.0,163.4,71.4,35257.46704713853,647.0852492254352,912.2534161970918,HIT
B100-1,B0100,A0100,93.80000000000001,163.4,69.6,34206.99910897639,679.0085050490015,932.3889411599889,HIT
A1000,A0100,B0100,94.0,163.4,69.4,52190.619323531304,751.1647977628886,1121.6815021168757,TERMINAL
A2000,A0200,B0200,94.0,163.4,69.4,47772.6446258156,688.2605614260249,1120.2599370783632,MISS
A1001,A0100,B0100,96.0,163.4,67.4,51333.05696973243,760.7317221659162,1120.5192367054622,TERMINAL
A2001,A0200,B0200,96.0,163.4,67.4,44311.3392277722,731.568824868101,1119.161191101527,HIT
A1002,A0100,B0200,98.0,163.4,65.4,46391.66781694404,708.2263052896828,1123.0517111980494,TERMINAL
A2002,A0200,B0100,98.0,163.4,65.4,49777.52827107651,760.1951756649902,1125.730370415009,TERMINAL
B2000,B0200,A0100,102.0,163.4,61.400000000000006,33252.3153686751,674.1053243444355,929.0318406289076,HIT
B1000,B0100,A0100,104.60000000000001,163.4,58.8,31842.46622788025,697.5642414623059,942.1142603083482,HIT
B2001,B0200,A0100,112.0,163.4,51.400000000000006,31203.593123202314,698.9963730159433,940.9992593580154,HIT
B1001,B0100,A0100,115.4,163.4,48.0,31464.647494519184,700.9905677512594,927.9048798816174,HIT
B2002,B0200,A0100,122.60000000000001,163.4,40.8,29581.615547084966,729.7584538125013,951.8593757181696,HIT
B1002,B0100,A0100,126.2,163.4,37.2,27092.27784368966,726.9874136199405,923.2660178224157,TERMINAL
