Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0200,89.4,151.4,62.0,1113.8325350195612,711.1706121062605,44.14673649598741,MISS
A200-1,A0200,B0200,89.4,151.4,62.0,1114.4025703355624,709.4307017386867,44.038965288117396,MISS
B100-1,B0100,A0200,90.2,139.6,49.39999999999999,951.9409158130517,680.9636753374466,35.30340471637082,HIT
B200-1,B0200,A0200,90.2,145.6,55.39999999999999,937.6346213213404,636.6648069468887,36.7270114596619,HIT
A1000,A0100,B0100,91.4,151.4,60.0,1128.3496116200229,766.3895125016817,46.04428287936439,MISS
A2000,A0200,B0200,91.4,151.4,60.0,1116.600607537443,712.5342728944348,42.805336339746134,MISS
A1001,A0100,B0100,93.4,151.4,58.0,1132.570486570434,757.2363606400859,43.9812564887968,MISS
A2001,A0200,B0200,93.4,151.4,58.0,1118.5427856261729,715.585181994671,41.55728990674075,MISS
A1002,A0100,B0100,95.4,151.4,56.0,1131.9444778960617,757.6345237620488,42.48957462641365,MISS
A2002,A0200,B0200,95.4,151.4,56.0,1119.8687624409954,729.8915701703299,40.92751550146107,MISS
B2000,B0200,A0100,101.0,151.4,50.400000000000006,939.236893415443,675.0976919051094,34.07669118171356,MISS
B1000,B0100,A0100,104.60000000000001,151.4,46.8,945.4126530730163,703.9628946739981,32.95472353670912,HIT
B2001,B0200,A0100,111.80000000000001,151.4,39.599999999999994,937.7891080030973,700.9719923809124,27.807744941879303,MISS
B1001,B0100,A0100,115.4,151.4,36.0,929.48284685534,713.7438892405473,25.74365034338447,MISS
B2002,B0200,A0100,122.60000000000001,151.4,28.799999999999997,920.195534314866,719.7175393843086,20.77074283689804,MISS
B1002,B0100,A0100,126.2,151.4,25.200000000000003,897.0658549250921,706.6026942033866,17.845289714511413,MISS
