Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0200,108.4,163.4,55.0,1129.8982663113497,788.2156641275308,43.40954793947438,MISS
A200-1,A0200,B0200,108.4,163.4,55.0,1129.0240302116117,787.098097397035,43.34797517650637,MISS
B100-1,B0100,A0100,108.4,163.4,55.0,878.250304792667,585.4803927213403,32.24625552998567,MISS
B200-1,B0200,A0100,108.4,144.8,36.400000000000006,940.233431729184,712.7362610941112,26.85088327454604,HIT
A1000,A0100,B0100,110.4,163.4,53.0,1108.9226807884816,745.2047152670549,39.55292189657097,MISS
A2000,A0200,B0100,110.4,163.4,53.0,1109.4590442851368,745.5506901689862,39.57136828075907,MISS
A1001,A0100,B0100,112.4,163.4,51.0,1109.9263755363684,743.5935071394547,37.98079575888626,MISS
A2001,A0200,B0200,112.4,163.4,51.0,1125.9545822121331,808.446641817914,41.28739226808176,MISS
A2002,A0200,B0200,114.4,163.4,49.0,1126.5996492753713,816.9395040637049,40.08729076183798,MISS
A1002,A0100,B0100,114.60000000000001,163.4,48.8,1109.818786984095,740.8495359500231,36.21114457309396,MISS
B2000,B0200,A0100,118.4,156.0,37.599999999999994,941.6180494343547,714.9572140167303,27.49259319990592,HIT
B1000,B0100,A0200,119.0,163.4,44.400000000000006,878.6432470538865,623.3201507363685,27.719961969580385,MISS
B2001,B0200,A0200,128.4,163.4,35.0,932.4576586275291,727.1149846097542,25.441870531186517,HIT
B1001,B0100,A0100,129.8,163.4,33.599999999999994,869.9741582671077,660.1350290730542,22.22443374311545,MISS
B2002,B0200,A0200,138.4,163.4,25.0,928.307110516892,734.7841793784619,18.407771720375948,MISS
B1002,B0100,A0200,140.6,163.4,22.80000000000001,864.1909064713376,689.1776007153617,15.749453635720085,MISS
