Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0200,87.4,145.20000000000002,57.80000000000001,41754.21675541351,785.8151327283654,1117.3791683416,HIT
A200-1,A0200,B0100,87.4,145.20000000000002,57.80000000000001,44177.14186673367,763.3348481734207,1109.1363903904758,TERMINAL
B200-1,B0200,A0100,87.4,145.20000000000002,57.80000000000001,39999.9890775273,691.8807550500783,944.9893849275722,HIT
A1000,A0100,B0200,89.4,145.20000000000002,55.80000000000001,42567.67681865426,761.4126880620926,1128.2335324931023,TERMINAL
A2000,A0200,B0100,89.4,145.20000000000002,55.80000000000001,41895.080495404894,749.7872307551588,1117.8322350172407,TERMINAL
B100-1,B0100,A0200,90.2,145.20000000000002,55.000000000000014,33206.40502802578,624.298541701297,905.8170396717047,HIT
A1001,A0100,B0100,91.4,145.20000000000002,53.80000000000001,40956.93292771621,760.2299183301409,1116.1035276123555,TERMINAL
A2001,A0200,B0100,91.4,145.20000000000002,53.80000000000001,40978.063128394584,760.6207483094511,1116.6909169372575,TERMINAL
A1002,A0100,B0100,93.4,145.20000000000002,51.80000000000001,39213.25946420718,755.9087273879335,1118.779899169454,TERMINAL
A2002,A0200,B0200,93.4,145.20000000000002,51.80000000000001,39887.192392639394,780.2358219817144,1131.260187947931,HIT
B2000,B0200,A0100,97.4,145.20000000000002,47.80000000000001,34019.134616260984,710.6343816477143,938.6303341548472,TERMINAL
B1000,B0100,A0100,101.0,145.20000000000002,44.20000000000002,28510.413514424243,643.9853130659438,887.86887855296,TERMINAL
B2001,B0200,A0100,108.2,145.20000000000002,37.000000000000014,27242.65882718098,734.9994320867404,934.775554568096,TERMINAL
B1001,B0100,A0100,111.80000000000001,145.20000000000002,33.400000000000006,22556.35447706955,673.9944896415526,880.4182195017746,TERMINAL
B2002,B0200,A0200,119.0,145.20000000000002,26.200000000000017,19664.47419570534,749.0701858466269,936.4947469273251,TERMINAL
B1002,B0100,A0100,133.4,145.20000000000002,11.800000000000011,6903.979718695076,584.5648186989354,781.0024727260709,MIDCOURSE
