Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0200,91.0,140.8,49.80000000000001,1131.675683592015,808.953835286916,40.350291505139346,MISS
A200-1,A0200,B0100,91.0,140.8,49.80000000000001,1135.2903973844275,804.2904706115984,40.116774366588494,MISS
B100-1,B0100,A0200,91.0,140.0,49.0,938.808256506005,706.4763086375359,34.73874825910642,HIT
B200-1,B0200,A0100,91.0,140.8,49.80000000000001,894.0834030964683,635.7306929670215,31.691807650153287,HIT
A1000,A0100,B0200,93.0,140.8,47.80000000000001,1136.3543243650486,811.3909544698577,38.84867141755191,MISS
A2000,A0200,B0100,93.0,140.8,47.80000000000001,1133.8502346618366,800.2844551566142,38.31470412104555,MISS
A1001,A0100,B0200,95.0,140.8,45.80000000000001,1132.0629759839255,830.272824097595,38.090224991600316,MISS
A2001,A0200,B0100,95.0,140.8,45.80000000000001,1135.1629527967389,822.498916948281,37.73145087829466,MISS
A1002,A0100,B0200,97.0,140.8,43.80000000000001,1130.278147372586,842.4457027454188,36.96286155688658,MISS
A2002,A0200,B0200,97.0,140.8,43.80000000000001,1130.705486179186,843.2229044346312,36.99697368981862,MISS
B2000,B0200,A0100,104.60000000000001,140.8,36.2,882.19308191612,670.745596511955,24.325846442168274,MISS
B1000,B0100,A0100,108.2,140.8,32.60000000000001,918.3926629622407,727.9188609078537,23.77526789138651,MISS
B1001,B0100,A0100,119.0,140.8,21.80000000000001,915.4873746292401,718.9373537662651,15.70464391666131,MISS
B2001,B0200,A0100,119.0,140.8,21.80000000000001,851.7603823626632,668.6038889557799,14.608734219016812,MISS
B1002,B0100,A0100,129.8,140.8,11.0,800.0428568758392,604.5393893992867,6.656620426502424,MISS
B2002,B0200,A0200,137.0,140.8,3.8000000000000114,535.6778078660294,399.7097375499179,1.5163823006035002,MISS
