Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0200,88.60000000000001,154.20000000000002,65.60000000000001,45022.31879248982,686.0697854998767,1130.0633152516707,HIT
A200-1,A0200,B0100,88.60000000000001,154.20000000000002,65.60000000000001,42289.35157535769,663.7582543956909,1137.9247359360706,HIT
B100-1,B0100,A0100,90.2,154.20000000000002,64.00000000000001,38082.79516924323,594.3391763310411,917.6490916564431,TERMINAL
A1000,A0100,B0100,90.60000000000001,154.20000000000002,63.60000000000001,41921.23406222307,676.3976055005966,1135.7915415849243,HIT
A2000,A0200,B0100,90.60000000000001,154.20000000000002,63.60000000000001,41636.212102850084,679.5204866903221,1136.4063926343754,HIT
A1001,A0100,B0100,92.60000000000001,154.20000000000002,61.60000000000001,41271.6804035901,692.8301648291896,1132.0800565918132,HIT
A2001,A0200,B0100,92.60000000000001,154.20000000000002,61.60000000000001,41006.29517079858,696.5592497336856,1132.235351122625,HIT
B200-1,B0200,A0200,93.80000000000001,154.20000000000002,60.400000000000006,38413.69221759819,635.1277608960804,909.9880564678003,TERMINAL
A1002,A0100,B0100,94.60000000000001,154.20000000000002,59.60000000000001,41819.38644410004,700.4574717896878,1124.2155574190137,TERMINAL
A2002,A0200,B0100,94.60000000000001,154.20000000000002,59.60000000000001,41783.08421979705,699.8244094369421,1124.4357875652222,TERMINAL
B1000,B0100,A0100,101.0,154.20000000000002,53.20000000000002,32674.69655823801,613.3268218064004,898.2886090664167,TERMINAL
B1001,B0100,A0200,111.80000000000001,154.20000000000002,42.400000000000006,26768.21518220898,630.2526276798743,882.7657906236535,TERMINAL
B2000,B0200,A0100,111.80000000000001,154.20000000000002,42.400000000000006,28403.40734950955,668.7026929872973,889.9513836295295,TERMINAL
B1002,B0100,A0200,121.80000000000001,154.20000000000002,32.400000000000006,21387.750112127207,658.7684751020246,880.0575050663377,TERMINAL
