Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0200,89.4,151.4,62.0,44146.73649598741,711.1706121062605,1113.8325350195612,TERMINAL
A200-1,A0200,B0200,89.4,151.4,62.0,44038.9652881174,709.4307017386867,1114.4025703355624,TERMINAL
B100-1,B0100,A0200,90.2,151.4,61.2,35303.404716370824,680.9636753374466,951.9409158130517,HIT
B200-1,B0200,A0200,90.2,151.4,61.2,36727.0114596619,636.6648069468887,937.6346213213404,HIT
A1000,A0100,B0100,91.4,151.4,60.0,46044.282879364386,766.3895125016817,1128.3496116200229,TERMINAL
A2000,A0200,B0200,91.4,151.4,60.0,42805.336339746136,712.5342728944348,1116.600607537443,TERMINAL
A1001,A0100,B0100,93.4,151.4,58.0,43981.256488796804,757.2363606400859,1132.570486570434,TERMINAL
A2001,A0200,B0200,93.4,151.4,58.0,41557.28990674075,715.585181994671,1118.5427856261729,TERMINAL
A1002,A0100,B0100,95.4,151.4,56.0,42489.57462641365,757.6345237620488,1131.9444778960617,TERMINAL
A2002,A0200,B0200,95.4,151.4,56.0,40927.51550146107,729.8915701703299,1119.8687624409954,TERMINAL
B2000,B0200,A0100,101.0,151.4,50.400000000000006,34076.691181713555,675.0976919051094,939.236893415443,TERMINAL
B1000,B0100,A0100,104.60000000000001,151.4,46.8,32954.72353670912,703.9628946739981,945.4126530730163,HIT
B2001,B0200,A0100,111.80000000000001,151.4,39.599999999999994,27807.744941879304,700.9719923809124,937.7891080030973,TERMINAL
B1001,B0100,A0100,115.4,151.4,36.0,25743.65034338447,713.7438892405473,929.48284685534,TERMINAL
B2002,B0200,A0100,122.60000000000001,151.4,28.799999999999997,20770.74283689804,719.7175393843086,920.195534314866,TERMINAL
B1002,B0100,A0100,126.2,151.4,25.200000000000003,17845.28971451141,706.6026942033866,897.0658549250921,TERMINAL
