Time_s,Missile_ID,Launcher_ID,Target_ID,X_m,Y_m,Z_m,Velocity_m_s,Status,Data_Type,Range_to_Target_km
105.80000000000001,A2001,A0200,B0200,-20729.60700192357,209.90223072805566,7818.9393749308565,400.0,BOOST,Trajectory,36.453004804475796
105.80000000000001,B2001,B0200,A0200,15526.780695220128,3575.5525966476534,6096.061537146803,312.3041977110161,BOOST,Trajectory,36.453004804475796
106.0,A2001,A0200,B0200,-20648.900589425415,208.31457505987956,7829.7672869629305,416.58132005901996,BOOST,Trajectory,36.321425110037346
106.0,B2001,B0200,A0200,15463.392950112144,3569.6683397431198,6099.073687510188,326.1771214380426,BOOST,Trajectory,36.34797270788807
106.2,A2001,A0200,B0200,-20564.935088278362,206.82511995390527,7841.830841130033,433.22713196593827,BOOST,Trajectory,36.18670051125896
106.2,B2001,B0200,A0200,15397.23996041069,3563.527233967315,6102.21730475644,340.11184301953864,BOOST,Trajectory,36.24024026522622
106.4,A2001,A0200,B0200,-20477.622526743588,205.44743304312138,7854.071767704573,449.95246170226045,BOOST,Trajectory,36.04869725405193
106.4,B2001,B0200,A0200,15328.309496529095,3557.1279863682325,6105.493048600663,354.1078637124894,BOOST,Trajectory,36.12970334952422
106.60000000000001,A2001,A0200,B0200,-20386.94749775078,204.1836546898379,7866.485347437479,466.75670238998475,BOOST,Trajectory,35.90733661904948
106.60000000000001,B2001,B0200,A0200,15256.589430475164,3550.469308834132,6108.90157893619,368.1646662348966,BOOST,Trajectory,36.01627685118606
106.60000000000001,A1001,A0100,B0100,-20523.46114559481,-349.05225137018203,7823.21821074625,416.7619194884132,BOOST,Trajectory,44.595453018846655
106.80000000000001,A2001,A0200,B0200,-20292.89467999668,203.03577146101796,7879.067030210956,483.6392584380618,BOOST,Trajectory,35.76259623516064
106.80000000000001,B2001,B0200,A0200,15182.067738978547,3543.5499188320227,6112.443544621533,382.28171374684104,BOOST,Trajectory,35.89999249264534
106.80000000000001,A1001,A0100,B0100,-20438.66296630644,-350.2262221917705,7827.027668767476,433.5696447394212,BOOST,Trajectory,44.46566633879789
107.0,A2001,A0200,B0200,-20195.448839311895,202.00562146208782,7891.812431459435,500.59956027984094,BOOST,Trajectory,35.614635053451124
107.0,B2001,B0200,A0200,15104.73250734091,3536.3685397562667,6116.119578773395,396.458448999101,BOOST,Trajectory,35.780818091699444
107.0,A1001,A0100,B0100,-20350.491831542193,-351.0620208888172,7830.897646381156,450.4493865517883,BOOST,Trajectory,44.33145457420941
107.2,A2001,A0200,B0200,-20094.594829785583,201.09490041971895,7904.717344426663,517.6370571268585,BOOST,Trajectory,35.46338403212217
107.2,B2001,B0200,A0200,15024.571951442858,3528.9238226885413,6119.930323529652,410.69412809198025,BOOST,Trajectory,35.65873972173198
107.2,A1001,A0100,B0100,-20258.934896069295,-351.5499443003889,7834.82660443534,467.4006306545063,BOOST,Trajectory,44.19290206594121
107.4,A2001,A0200,B0200,-19990.317594805427,200.30517854408694,7917.7777329269165,534.7511949658573,BOOST,Trajectory,35.30872480792187
107.4,B2001,B0200,A0200,14941.574453258841,3521.2142575247453,6123.876467710658,424.9881930935718,BOOST,Trajectory,35.533815426851675
107.4,A1001,A0100,B0100,-20163.97936553378,-351.6805921803952,7838.813064351519,484.42284704363163,BOOST,Trajectory,44.05010994404895
107.60000000000001,A2001,A0200,B0200,-19882.602168442656,199.6379139305917,7930.989705842662,551.9414143585254,BOOST,Trajectory,35.150605107248666
107.60000000000001,B2001,B0200,A0200,14855.728470049758,3513.2385251930705,6127.958626093433,439.3400844067677,BOOST,Trajectory,35.406070640296775
107.60000000000001,A1001,A0100,B0100,-20065.61250430746,-351.44483922694286,7842.855603127554,501.5154902256916,BOOST,Trajectory,43.90308290757343
107.80000000000001,A2001,A0200,B0200,-19771.433677205227,199.09446297627204,7944.349500183011,569.2071500860484,BOOST,Trajectory,34.98897031557048
107.80000000000001,B2001,B0200,A0200,14767.022584668008,3504.9953263629477,6132.177423039928,453.74914170701885,BOOST,Trajectory,35.27545760015732
107.80000000000001,A1001,A0100,B0100,-19963.821642251143,-350.8338163384428,7846.952845390963,518.6780012649671,BOOST,Trajectory,43.7518203197111
107.80000000000001,A2002,A0200,B0100,-20273.786660712787,200.9053922558923,7825.566437751969,416.58857699704527,BOOST,Trajectory,43.927418786015124
108.0,A2001,A0200,B0200,-19656.79734182353,198.6760847397631,7957.853452902495,586.5478175663033,BOOST,Trajectory,34.823796184426506
108.0,B2001,B0200,A0200,14675.445514405174,3496.483369224237,6136.533490742907,468.21468330944526,BOOST,Trajectory,35.14195943553086
108.0,A1001,A0100,B0100,-19858.59418065679,-349.83889753545327,7851.103455379539,535.9098099059116,BOOST,Trajectory,43.596305600168485
108.0,A2002,A0200,B0100,-20189.541737179334,199.47310855243322,7835.512880271292,433.2333434780936,BOOST,Trajectory,43.79228446369079
108.2,A2001,A0200,B0200,-19538.678479973132,198.38394285399409,7971.4979617816225,603.9628119676378,BOOST,Trajectory,34.65517505951573
108.2,B2001,B0200,A0200,14580.986115048916,3487.7013710750534,6141.027464695767,482.7360045210891,BOOST,Trajectory,35.005578555031114
108.2,A1001,A0100,B0100,-19749.917597592164,-348.45169013865507,7855.306134617305,553.2103325865992,BOOST,Trajectory,43.43661401606201
108.2,A2002,A0200,B0100,-20101.95490067109,198.3632218783475,7845.645719337986,449.9532264894452,BOOST,Trajectory,43.65310738280601
108.2,B1001,B0100,A0100,22442.539249877093,9925.277147042614,7238.656470364228,311.66263718264736,BOOST,Trajectory,43.89672205968404
108.4,A2001,A0200,B0200,-19417.062509029416,198.219105290217,7985.279484039494,621.45155218521,BOOST,Trajectory,34.483438253757726
108.4,B2001,B0200,A0200,14483.633385448422,3478.648059640446,6145.659983118088,497.3123767927519,BOOST,Trajectory,34.866334173401036
108.4,A1001,A0100,B0100,-19637.779454263848,-346.66401779717614,7859.559623104311,570.5789643164187,BOOST,Trajectory,43.27282746384886
108.4,A2002,A0200,B0100,-20011.01263715546,197.58483380142812,7855.961989997977,466.74768167103326,BOOST,Trajectory,43.509965894061914
108.4,B1001,B0100,A0100,22380.689665708593,9910.392346528375,7239.49340158606,325.7304005155034,BOOST,Trajectory,43.792771814431255
108.60000000000001,A2001,A0200,B0200,-19291.934946048365,198.18253687499552,7999.194570264936,639.0134783697478,BOOST,Trajectory,34.30850278461873
108.60000000000001,B2001,B0200,A0200,14383.376471959024,3469.3221724824475,6150.43168033646,511.94305042210357,BOOST,Trajectory,34.72414062559233
