Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0100,97.60000000000001,176.8,79.2,1117.7589868553857,623.9624779731215,49.47218422381178,MISS
A200-1,A0200,B0200,97.60000000000001,176.8,79.2,1133.4466194035963,700.8066031901575,55.563994640064955,MISS
B100-1,B0100,A0100,97.60000000000001,163.4,65.8,958.5365197123567,602.008634677235,42.70486028588748,HIT
A1000,A0100,B0200,99.60000000000001,176.8,77.2,1136.5938921040017,699.8955465932266,54.09063908977627,MISS
A2000,A0200,B0100,99.60000000000001,176.8,77.2,1118.083043119441,615.8052868223735,47.592562899288396,MISS
A1001,A0100,B0200,101.60000000000001,176.8,75.2,1136.2752742761081,710.5879768746607,53.49569924620005,MISS
A2001,A0200,B0200,101.60000000000001,176.8,75.2,1136.0457377527316,711.0284861186859,53.52878935373912,MISS
A1002,A0100,B0200,103.60000000000001,176.8,73.2,1136.0310710074307,725.22358985362,53.146905217508305,MISS
A2002,A0200,B0200,103.60000000000001,176.8,73.2,1135.5548973486132,724.8226582557766,53.117426799662105,MISS
B200-1,B0200,A0100,108.2,157.4,49.2,927.869463156338,611.7620774160199,32.483272213561165,HIT
B1000,B0100,A0100,111.80000000000001,169.20000000000002,57.400000000000006,962.5888611701272,637.4726481817977,38.49588354987053,HIT
B2000,B0200,A0200,118.2,176.8,58.60000000000001,909.5954044586243,630.1874445911745,36.913507619045966,HIT
B1001,B0100,A0100,122.60000000000001,176.8,54.2,958.4941269815937,679.3743409715803,36.879101763116815,MISS
B1002,B0100,A0100,137.0,176.8,39.80000000000001,940.9307028267428,719.636143122714,28.69097727045555,MISS
B2001,B0200,A0100,144.20000000000002,176.8,32.599999999999994,921.3460899929285,726.1315711705957,23.7168843954497,MISS
B2002,B0200,A0100,155.0,176.8,21.80000000000001,931.1925439209871,738.0696751634719,16.12248632515055,MISS
