Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0200,91.0,140.8,49.80000000000001,40350.29150513934,808.953835286916,1131.675683592015,TERMINAL
A200-1,A0200,B0100,91.0,140.8,49.80000000000001,40116.77436658849,804.2904706115984,1135.2903973844275,TERMINAL
B100-1,B0100,A0200,91.0,140.8,49.80000000000001,34738.748259106425,706.4763086375359,938.808256506005,HIT
B200-1,B0200,A0100,91.0,140.8,49.80000000000001,31691.807650153285,635.7306929670215,894.0834030964683,HIT
A1000,A0100,B0200,93.0,140.8,47.80000000000001,38848.671417551916,811.3909544698577,1136.3543243650486,TERMINAL
A2000,A0200,B0100,93.0,140.8,47.80000000000001,38314.70412104555,800.2844551566142,1133.8502346618366,TERMINAL
A1001,A0100,B0200,95.0,140.8,45.80000000000001,38090.22499160031,830.272824097595,1132.0629759839255,TERMINAL
A2001,A0200,B0100,95.0,140.8,45.80000000000001,37731.45087829466,822.498916948281,1135.1629527967389,TERMINAL
A1002,A0100,B0200,97.0,140.8,43.80000000000001,36962.86155688658,842.4457027454188,1130.278147372586,TERMINAL
A2002,A0200,B0200,97.0,140.8,43.80000000000001,36996.97368981862,843.2229044346312,1130.705486179186,TERMINAL
B2000,B0200,A0100,104.60000000000001,140.8,36.2,24325.846442168273,670.745596511955,882.19308191612,TERMINAL
B1000,B0100,A0100,108.2,140.8,32.60000000000001,23775.26789138651,727.9188609078537,918.3926629622407,TERMINAL
B1001,B0100,A0100,119.0,140.8,21.80000000000001,15704.643916661309,718.9373537662651,915.4873746292401,TERMINAL
B2001,B0200,A0100,119.0,140.8,21.80000000000001,14608.734219016811,668.6038889557799,851.7603823626632,TERMINAL
B1002,B0100,A0100,129.8,140.8,11.0,6656.6204265024235,604.5393893992867,800.0428568758392,MIDCOURSE
B2002,B0200,A0200,137.0,140.8,3.8000000000000114,1516.3823006035002,399.7097375499179,535.6778078660294,BOOST
