Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,action_type,Action_Intent
0.0,A0100,-44608.46672848676,1.5279510989785194e-10,5940.288019481175,365.76,360.0,3.1805546814635168e-15,1.0652838229764687e-16,,
0.0,A0200,-44608.424348338034,558.5319892462248,5940.26394420591,365.7600000000001,360.0,1.5902773407317584e-15,1.5902773407317584e-15,,
0.0,B0100,44611.16398648509,5.093170329928398e-11,5940.275465821418,365.76,180.0,-4.4139062980501586e-32,-1.5902773407317584e-15,,search
0.0,B0200,44611.205339281674,544.992419144115,5940.251974163399,365.76000000000016,180.0,3.1805546814635168e-15,6.940940998533377e-16,,search
1.0,A0100,-44245.48616095292,0.02108206528282608,5943.048280794877,360.29976536353337,0.0015407106043769183,-0.500552956399114,0.008965770967063781,,
1.0,A0200,-44245.443781766495,558.4982249754939,5943.024206066277,360.29976536353246,0.0015407106043839505,-0.5005529563990504,0.008965770967002648,,
1.0,B0100,44248.18331559492,-0.021267322708808933,5943.035503650532,360.29996639202903,180.00155211504554,-0.5005972711711617,0.009042068704644728,,search
1.0,B0200,44248.2246693643,545.0264740756829,5943.012011439885,360.2999663920283,180.00155211504563,-0.5005972711711268,0.009042068704592593,,search
2.0,A0100,-43887.69300859355,0.08004537940723822,5944.678155956974,355.43937986427454,0.005050637229978894,-0.7204963605502722,0.031852235823209216,,
2.0,A0200,-43887.65062456767,558.5030317234014,5944.654078479181,355.43937986427403,0.00505063722998919,-0.7204963605501753,0.03185223582309388,,
2.0,B0100,43890.389860874915,-0.08067853777902201,5944.664787026897,355.43977909752016,180.00508553527825,-0.7205989042405716,0.032100683564176724,,search
2.0,B0200,43890.43120975663,545.0215004413967,5944.641297592829,355.43977909751885,180.00508553527825,-0.720598904240403,0.032100683564015076,,search
3.0,A0100,-43534.16628252561,0.17527223694560234,5944.80140491879,351.9303637748663,0.009570105980092586,-0.971455047446216,0.0628321238395687,,
3.0,A0200,-43534.123888120535,558.5446195804652,5944.777321544794,351.93036377486567,0.009570105980085623,-0.9714550474461985,0.06283212383926856,,
3.0,B0100,43536.86263389736,-0.17643478332502127,5944.787094434665,351.9309683637881,180.00962086812186,-0.9716159298094872,0.06322355551163795,,search
3.0,B0200,43536.903972318,544.9794044380706,5944.763610943322,351.9309683637872,180.00962086812189,-0.9716159298093104,0.0632235555114335,,search
4.0,A0100,-43183.0887874319,0.30853025855321903,5943.270374433054,350.45949756002057,0.014697875733562363,-1.2588912784538417,0.0995464536303558,,
4.0,A0200,-43183.046376855316,558.6244676740898,5943.246281873433,350.4594975600208,0.014697875733563407,-1.258891278453864,0.09954645362997279,,
4.0,B0100,43185.78443164665,-0.31013215470193245,5943.254760146443,350.4603222205621,180.0147467361252,-1.2591123417276024,0.09998006197777401,,search
4.0,B0200,43185.82575381181,544.8988530118477,5943.231285889491,350.46032222056056,180.01474673612518,-1.2591123417274068,0.09998006197749336,,search
5.0,A0100,-42833.18678370039,0.4830109794202144,5939.970012013597,349.39047326373753,0.020354068823307002,-1.548353552325547,0.1412713367553755,,
5.0,A0200,-42833.14435069627,558.745564323217,5939.945906711215,349.39047326373736,0.020354068823308553,-1.5483535523255834,0.14127133675508255,,
5.0,B0100,42835.88150284224,-0.4847770416745334,5939.952710098165,349.3915341895881,180.02037743572365,-1.5486378280077535,0.14159955758282508,,search
5.0,B0200,42835.92280250869,544.7770231522663,5939.9292486211925,349.3915341895872,180.02037743572353,-1.5486378280075623,0.14159955758266582,,search
6.0,A0100,-42484.334058404296,0.7024998519227665,5934.873024500057,348.40385005620254,0.026562486099138402,-1.841493878680942,0.1883577481480045,,
6.0,A0200,-42484.291596141586,558.9116734666823,5934.848902577558,348.4038500562026,0.026562486099160586,-1.841493878680915,0.1883577481478885,,
6.0,B0100,42487.02762169092,-0.7039537360233226,5934.85362638631,348.4051654199497,180.02653247016224,-1.84184536883927,0.18839821158463912,,search
6.0,B0200,42487.06889208276,544.6103473660423,5934.830181541776,348.40516541994907,180.02653247016212,-1.8418453688391843,0.18839821158463418,,search
7.0,A0100,-42136.45917698693,0.9713497621851275,5927.967830899905,347.4982110622111,0.03337883884959206,-2.1380757430486295,0.2414104778864104,,
7.0,A0200,-42136.41667797402,559.1271361582913,5927.943688100391,347.4982110622113,0.0333788388496748,-2.1380757430485646,0.24141047788633072,,
7.0,B0100,42139.1513416777,-0.9717978420521831,5927.945898460381,347.4997847356895,180.0332640459341,-2.1384992261209392,0.24095038767416585,,search
7.0,B0200,42139.19257538034,544.3946998912943,5927.92247445714,347.4997847356894,180.03326404593398,-2.1384992261209406,0.2409503876743307,,search
8.0,A0100,-41789.48297537484,1.2945064226914837,5919.245385225615,346.69170052190157,0.040873950466155315,-2.437528757335781,0.3011573315301402,,
8.0,A0200,-41789.440431374205,559.396885314658,5919.221216869515,346.6917005219018,0.04087395046624093,-2.4375287573356794,0.3011573315300358,,
8.0,B0100,41792.173520060875,-1.293017439855248,5919.2204463260205,346.69351736972646,180.04063957714519,-2.438029943100263,0.2999531554675128,,search
8.0,B0200,41792.21470895545,544.1253838752873,5919.197047779442,346.6935173697264,180.0406395771451,-2.4380299431004175,0.2999531554680773,,search
9.0,A0100,-41443.314044515806,1.6775765893580683,5908.698935369366,345.98462989225237,0.049130755985326534,-2.73916817902363,0.3684219033195974,,
9.0,A0200,-41443.2714464369,559.7265132379835,5908.674736293597,345.9846298922527,0.049130755985385424,-2.7391681790234355,0.3684219033195033,,
9.0,B0100,41446.002746311366,-1.6729579337425093,5908.670477550897,345.98670906643616,180.04873839405175,-2.7397537885382044,0.36619716614379944,,search
9.0,B0200,41446.0438814633,543.7970671998137,5908.647109532243,345.9867090664366,180.04873839405172,-2.739753788538494,0.3661971661445289,,search
10.0,A0100,-41097.86634646396,2.1268936684828077,5896.324514152657,345.37019034666207,0.05824457218911974,-3.042304406519847,0.4441300934846889,,
10.0,A0200,-41097.82368425992,560.1223399361988,5896.300278648745,345.3701903466624,0.05824457218915913,-3.0423044065196385,0.44413009348455623,,
10.0,B0100,41100.55296841325,-2.1176646101575898,5896.291978740028,345.37255327964755,180.05765187396239,-3.042982096343923,0.44057220906345324,,search
10.0,B0200,41100.59403997424,543.403717292209,5896.268646844992,345.3725532796483,180.05765187396239,-3.042982096344351,0.4405722090644152,,search
11.0,A0100,-40753.06041671576,2.649607140567241,5882.120958592486,344.84197485582047,0.06832385942283728,-3.3462689543176958,0.529318109226565,,
11.0,A0200,-40753.01767924969,560.5915027308802,5882.0966803327265,344.8419748558206,0.06832385942290042,-3.34626895431749,0.529318109226493,,
11.0,B0100,40755.74470603735,-2.6339688165644475,5882.083734676393,344.8446455130698,180.06748411601865,-3.347047423039479,0.5240746335781835,,search
11.0,B0200,40755.785703122856,542.9385147598423,5882.060445090392,344.8446455130711,180.06748411601865,-3.3470474230401583,0.5240746335793274,,search
12.0,A0100,-40408.822919255974,3.253786209545069,5866.08987470425,344.393932038928,0.07949164982714159,-3.6504142330634473,0.6251426922392296,,
12.0,A0200,-40408.78009416978,561.1420598353434,5866.065546669322,344.3939320389285,0.07949164982722479,-3.650414233063161,0.6251426922392123,,
12.0,B0100,40411.504605352355,-3.2295879993816925,5866.04729260493,344.39693720558165,180.0783532930335,-3.6513033352075466,0.6178170885664128,,search
12.0,B0200,40411.545515907856,542.3937534248726,5866.024052172668,344.39693720558347,180.0783532930335,-3.6513033352084867,0.6178170885678105,,search
13.0,A0100,-40065.08624678986,3.9485369405283564,5848.235601239061,344.0203266103916,0.09188732130331509,-3.954113743701217,0.7328935131631041,,
13.0,A0200,-40065.0433203473,561.7831074253008,5848.211215625704,344.0203266103915,0.09188732130341778,-3.954113743700864,0.7328935131631228,,
13.0,B0100,40067.76503898228,-3.9132387604422547,5848.186925420652,344.0236962106689,180.09039334645516,-3.955124613668596,0.723040429174084,,search
13.0,B0200,40067.80584963048,541.7607273157901,5848.163741745779,344.0236962106715,180.09039334645522,-3.955124613669933,0.7230404291758166,,search
14.0,A0100,-39721.78816043921,4.7441341560806904,5828.565172759503,343.7157054732513,0.10566865218598862,-4.256762150155076,0.8540072053381671,,
14.0,A0200,-39721.74511734229,562.5249114892467,5828.5407208772485,343.71570547325126,0.1056686521860168,-4.256762150154729,0.8540072053383146,,
14.0,B0100,39724.4637453393,-4.6947641197493795,5828.509594218071,343.71947292297835,180.10375595431228,-4.257907335446319,0.8411272312448617,,search
14.0,B0200,39724.50444120936,541.0296034584426,5828.486475746258,343.7194729229821,180.1037559543124,-4.257907335447999,0.8411272312468301,,search
15.0,A0100,-39378.87146403924,5.652169706070708,5807.088281917508,343.4748686652285,0.1210141538649145,-4.557775239901921,0.9900829435405876,,
15.0,A0200,-39378.828287233155,563.379056026326,5807.063754078947,343.4748686652286,0.12101415386488049,-4.557775239901638,0.9900829435409235,,
15.0,B0100,39381.543502569046,-5.585276547428293,5807.024910094791,343.4790712584076,180.1186127667054,-4.559068842896269,0.9736168050570949,,search
15.0,B0200,39381.584067107804,540.189278902024,5807.001866230617,343.4790712584126,180.11861276670558,-4.55906884289841,0.9736168050593169,,search
16.0,A0100,-39036.283709049705,6.685718987897417,5783.817240706885,343.2928444750824,0.13812570374166788,-4.856589784051073,1.1428996333612989,,
16.0,A0200,-39036.240379494244,564.3586095462779,5783.792626093535,343.2928444750821,0.1381257037416826,-4.85658978405085,1.1428996333617907,,
16.0,B0100,39038.95183294346,-6.597318554804588,5783.745094891101,343.2975238053944,180.1351579292528,-4.858047611290017,1.1222217658823772,,search
16.0,B0200,39038.99224769225,539.2272201454998,5783.722136118395,343.29752380540026,180.13515792925296,-4.858047611292536,1.1222217658847946,,search
17.0,A0100,-38693.97692657225,7.859527934415382,5758.7669402412375,343.164868144243,0.15723151283716652,-5.152663308087396,1.3144348422790784,,
17.0,A0200,-38693.93342298718,565.4783119774656,5758.742226765307,343.1648681442428,0.15723151283726308,-5.152663308087141,1.314434842279643,,
17.0,B0100,38696.64073430583,-7.745042963422748,5758.684940617983,343.1700705620213,180.15361092689963,-5.154303025419185,1.2888462860770482,,search
17.0,B0200,38696.68097865955,538.1292829299746,5758.662078643152,343.17007056202783,180.15361092689986,-5.154303025422049,1.2888462860796943,,search
18.0,A0100,-38351.90738368851,9.190222812136199,5731.95480857156,343.0863636515181,0.17858947026046373,-5.445473786217945,1.5068856370153243,,
18.0,A0200,-38351.863682281066,566.7547844510354,5731.92998271581,343.0863636515179,0.17858947026052444,-5.445473786217667,1.5068856370159331,,
18.0,B0100,38354.566435702465,-9.044415125241358,5731.86176706872,343.0921407561493,180.1742197882169,-5.447315077317613,1.4756061873739132,,search
18.0,B0200,38354.6064866346,536.8795100396383,5731.8390149726365,343.0921407561567,180.17421978821713,-5.447315077320831,1.4756061873769093,,search
19.0,A0100,-38010.03536180301,10.696545569026057,5703.400765863238,343.0529281490252,0.2024909138866162,-5.734519275545919,1.7226915150379205,,
19.0,A0200,-38009.99143592526,568.2067646075666,5703.375812490605,343.05292814902504,0.20249091388670468,-5.734519275545743,1.722691515038476,,
19.0,B0100,38012.68917483525,-10.51343972495306,5703.295376890883,343.0593373158939,180.19726469715494,-5.7365840001782855,1.6848510553251854,,search
19.0,B0200,38012.72900658399,535.4599045324721,5703.272749308302,343.05933731590204,180.19726469715525,-5.736584000181779,1.684851055328296,,search
20.0,A0100,-37668.32495513967,12.399617757895612,5673.12717592128,343.06031867771617,0.2292648842029554,-6.01931751093285,1.964559638292973,,
20.0,A0200,-37668.280774943116,569.8553704797541,5673.102078076528,343.06031867771634,0.229264884203096,-6.019317510932709,1.9645596382934876,,
20.0,B0100,37670.97299549072,-12.172415039594853,5673.008007387287,343.06742361761826,180.22306206644927,-6.021629857792875,1.9191885780425892,,search
20.0,B0200,37671.0125792184,533.850175502801,5672.985520701348,343.0674236176271,180.22306206644956,-6.021629857796595,1.9191885780458322,,search
21.0,A0100,-37326.74388806787,14.32323638141861,5641.158792979832,343.1044408430633,0.25928292690890775,-6.2994054875509935,2.235492596427102,,
21.0,A0200,-37326.69942009379,571.7243963080546,5641.133531654696,343.1044408430635,0.25928292690900884,-6.29940548755083,2.23549259642771,,
21.0,B0100,37329.38556358261,-14.044217916698472,5641.024277879367,343.11231219043447,180.25196913505022,-6.3019921144879065,2.18151133072143,,search
21.0,B0200,37329.424866977875,532.0274531326813,5641.001950444404,343.11231219044413,180.25196913505056,-6.301992114491882,2.181511330724919,,search
22.0,A0100,-36985.26335038826,16.494205423590756,5607.522702035249,343.18133917775947,0.2929645198239345,-6.574339066138071,2.5388189449445773,,
22.0,A0200,-36985.21855710984,573.8406440346425,5607.497255911525,343.1813391777592,0.29296451982410465,-6.574339066137888,2.538818944945385,,
22.0,B0100,36987.89800075771,-16.15462308041606,5607.371131170974,343.19005510191033,180.28438916138893,-6.577229217879611,2.475026246105286,,search
22.0,B0200,36987.9369875967,529.9659694048842,5607.348983565003,343.19005510192085,180.2843891613892,-6.577229217883826,2.4750262461091457,,search
23.0,A0100,-36643.857850104876,18.942707264248384,5572.248250858962,343.2871889603171,0.33078321122067783,-6.843692646329185,2.8782267799205776,,
23.0,A0200,-36643.8126894137,576.2342946957797,5572.222596016818,343.2871889603167,0.3307832112208221,-6.843692646328971,2.878226779921593,,
