Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0100,107.4,162.0,54.599999999999994,42329.30052270199,774.1170552627484,1127.5846767296198,TERMINAL
A200-1,A0200,B0100,107.4,162.0,54.599999999999994,42317.02321073323,774.9966417989576,1127.0886921908343,HIT
B100-1,B0100,A0200,108.2,162.0,53.8,35107.02319253443,651.5513921243772,890.389516977537,TERMINAL
A1000,A0100,B0200,109.4,162.0,52.599999999999994,42217.58854955427,806.1926651702142,1123.0892167567165,HIT
A2000,A0200,B0100,109.4,162.0,52.599999999999994,41124.44000648956,780.6710025725622,1127.9077031441245,TERMINAL
A1001,A0100,B0200,111.4,162.0,50.599999999999994,41391.589348068286,816.6774352095717,1122.2512421941835,TERMINAL
A2001,A0200,B0100,111.4,162.0,50.599999999999994,40020.56379754568,789.7192247379085,1126.1527393710312,TERMINAL
A1002,A0100,B0200,113.4,162.0,48.599999999999994,40251.22926368448,826.8581060039974,1118.5412236644518,TERMINAL
A2002,A0200,B0100,113.4,162.0,48.599999999999994,38928.84591091925,799.7670683936642,1122.5780985126619,TERMINAL
B200-1,B0200,A0100,115.4,162.0,46.599999999999994,31282.285344715117,670.2448173211816,933.0266824531017,TERMINAL
B1000,B0100,A0100,122.60000000000001,162.0,39.39999999999999,29141.16721290235,738.3997142443656,949.2833491447045,TERMINAL
B2000,B0200,A0200,126.2,162.0,35.8,25708.74396689499,716.8269998312605,916.2891812451815,TERMINAL
B1001,B0100,A0200,133.4,162.0,28.599999999999994,21640.64981176811,755.2046195897382,943.6172387099281,TERMINAL
B2001,B0200,A0200,140.6,162.0,21.400000000000006,15930.756886691386,742.9911831797615,938.7771795965848,MIDCOURSE
B1002,B0100,A0200,144.20000000000002,162.0,17.799999999999983,12699.152439664125,712.2272988197292,927.1866019347211,MIDCOURSE
B2002,B0200,A0100,151.4,162.0,10.599999999999994,6225.934034707267,586.6275626014424,766.9049026097737,MIDCOURSE
