Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0100,93.2,158.0,64.8,1134.440283866729,686.8012904858718,45.95188519176793,HIT
A200-1,A0200,B0200,93.2,163.0,69.8,1134.6714312457323,691.5952170030916,48.332401821940245,MISS
B100-1,B0100,A0100,93.80000000000001,151.6,57.79999999999998,932.4714693336107,620.9164858145404,38.46889853246915,MISS
B200-1,B0200,A0100,93.80000000000001,148.20000000000002,54.400000000000006,948.0135448740875,640.6264515546729,37.00361497510461,HIT
A1000,A0100,B0100,95.2,163.0,67.8,1133.2456419998857,678.4445997401713,46.064078027962914,MISS
A2000,A0200,B0200,95.2,163.0,67.8,1135.0584687861933,689.1331250277435,46.780142573757054,MISS
A1001,A0100,B0100,97.2,163.0,65.8,1133.5131824235002,688.6381534163323,45.37774930265471,MISS
A2001,A0200,B0200,97.2,163.0,65.8,1135.292132797183,705.575276075264,46.484563156374726,MISS
A1002,A0100,B0100,99.2,163.0,63.8,1134.9597011441247,703.6503622880598,44.959644116702925,MISS
A2002,A0200,B0200,99.2,163.0,63.8,1136.1585603284411,734.24740730393,46.83591619359795,HIT
B1000,B0100,A0100,104.60000000000001,161.60000000000002,57.000000000000014,923.6742578731994,641.4615934277396,36.908628752368635,HIT
B2000,B0200,A0100,104.60000000000001,154.8,50.2,943.4200361851892,640.769881223221,33.9958306788026,HIT
B1001,B0100,A0100,115.4,163.0,47.599999999999994,917.070082218795,671.201500398488,32.001132582951854,MISS
B2001,B0200,A0200,115.4,163.0,47.599999999999994,922.6947196234576,664.4451960082135,31.67623962828175,MISS
B1002,B0100,A0200,126.2,163.0,36.8,938.7153097035056,709.3115058364814,26.149648588856973,MISS
B2002,B0200,A0100,126.2,163.0,36.8,921.5767196235955,697.8026631691739,25.726570257599263,MISS
