Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0100,107.4,162.0,54.599999999999994,1127.5846767296198,774.1170552627484,42.32930052270199,MISS
A200-1,A0200,B0100,107.4,162.0,54.599999999999994,1127.0886921908343,774.9966417989576,42.317023210733225,HIT
B100-1,B0100,A0200,108.2,162.0,53.8,890.389516977537,651.5513921243772,35.10702319253443,MISS
A1000,A0100,B0200,109.4,161.60000000000002,52.20000000000002,1123.0892167567165,806.1926651702142,42.217588549554264,HIT
A2000,A0200,B0100,109.4,162.0,52.599999999999994,1127.9077031441245,780.6710025725622,41.12444000648956,MISS
A1001,A0100,B0200,111.4,162.0,50.599999999999994,1122.2512421941835,816.6774352095717,41.39158934806829,MISS
A2001,A0200,B0100,111.4,162.0,50.599999999999994,1126.1527393710312,789.7192247379085,40.02056379754568,MISS
A1002,A0100,B0200,113.4,162.0,48.599999999999994,1118.5412236644518,826.8581060039974,40.25122926368448,MISS
A2002,A0200,B0100,113.4,162.0,48.599999999999994,1122.5780985126619,799.7670683936642,38.92884591091925,MISS
B200-1,B0200,A0100,115.4,162.0,46.599999999999994,933.0266824531017,670.2448173211816,31.282285344715117,MISS
B1000,B0100,A0100,122.60000000000001,162.0,39.39999999999999,949.2833491447045,738.3997142443656,29.14116721290235,MISS
B2000,B0200,A0200,126.2,162.0,35.8,916.2891812451815,716.8269998312605,25.70874396689499,MISS
B1001,B0100,A0200,133.4,162.0,28.599999999999994,943.6172387099281,755.2046195897382,21.64064981176811,MISS
B2001,B0200,A0200,140.6,162.0,21.400000000000006,938.7771795965848,742.9911831797615,15.930756886691386,MISS
B1002,B0100,A0200,144.20000000000002,162.0,17.799999999999983,927.1866019347211,712.2272988197292,12.699152439664125,MISS
B2002,B0200,A0100,151.4,162.0,10.599999999999994,766.9049026097737,586.6275626014424,6.225934034707267,MISS
