Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0100,98.4,165.4,67.0,44141.32484487076,714.3700458035718,1121.2295657234392,HIT
A200-1,A0200,B0100,98.4,165.4,67.0,43941.603310357335,717.926602172654,1121.4391917192322,HIT
B100-1,B0100,A0100,98.4,165.4,67.0,41112.31701173705,612.8041709682527,895.7871932463944,TERMINAL
A1000,A0100,B0200,100.4,165.4,65.0,50876.98648397066,782.3153713107032,1121.798011959032,HIT
A2000,A0200,B0200,100.60000000000001,165.4,64.8,50538.43353396402,779.3445194883495,1124.5770260433696,HIT
A1001,A0100,B0200,102.4,165.4,63.0,49718.6663237263,788.3097277476203,1120.577495521285,TERMINAL
A2001,A0200,B0200,104.60000000000001,165.4,60.8,47869.79347243167,786.4065780740805,1126.3633727690813,TERMINAL
B200-1,B0200,A0100,104.60000000000001,165.4,60.8,41545.77466022571,682.4511432579811,947.3791039561592,TERMINAL
A1002,A0100,B0200,106.60000000000001,165.4,58.8,46072.82691653737,782.5769666301402,1129.152410090571,TERMINAL
A2002,A0200,B0200,106.60000000000001,165.4,58.8,46152.75039880516,783.936436315621,1129.60162422045,TERMINAL
B1000,B0100,A0100,111.80000000000001,165.4,53.599999999999994,35582.56560550707,662.9171604440722,931.1950094757766,TERMINAL
B2000,B0200,A0100,115.4,165.4,50.0,35794.376243593964,714.8573843028877,948.1941099313607,TERMINAL
B1001,B0100,A0200,122.60000000000001,165.4,42.8,29862.58278014649,696.5944769242445,925.8927438919983,TERMINAL
B1002,B0100,A0200,133.4,165.4,32.0,23632.687882085367,737.1347301628944,932.862812122046,TERMINAL
B2001,B0200,A0100,147.8,165.4,17.599999999999994,12787.138363077414,725.3821179946186,950.6207578515821,MIDCOURSE
B2002,B0200,A0100,158.60000000000002,165.4,6.799999999999983,3725.889587125349,547.0623839352094,706.9647288682705,BOOST
