Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0200,108.4,163.4,55.0,43409.54793947438,788.2156641275308,1129.8982663113497,TERMINAL
A200-1,A0200,B0200,108.4,163.4,55.0,43347.97517650637,787.098097397035,1129.0240302116117,TERMINAL
B100-1,B0100,A0100,108.4,163.4,55.0,32246.25552998567,585.4803927213403,878.250304792667,TERMINAL
B200-1,B0200,A0100,108.4,163.4,55.0,26850.88327454604,712.7362610941112,940.233431729184,HIT
A1000,A0100,B0100,110.4,163.4,53.0,39552.92189657097,745.2047152670549,1108.9226807884816,MIDCOURSE
A2000,A0200,B0100,110.4,163.4,53.0,39571.36828075907,745.5506901689862,1109.4590442851368,MIDCOURSE
A1001,A0100,B0100,112.4,163.4,51.0,37980.79575888626,743.5935071394547,1109.9263755363684,MIDCOURSE
A2001,A0200,B0200,112.4,163.4,51.0,41287.39226808176,808.446641817914,1125.9545822121331,TERMINAL
A2002,A0200,B0200,114.4,163.4,49.0,40087.290761837976,816.9395040637049,1126.5996492753713,TERMINAL
A1002,A0100,B0100,114.60000000000001,163.4,48.8,36211.14457309396,740.8495359500231,1109.818786984095,MIDCOURSE
B2000,B0200,A0100,118.4,163.4,45.0,27492.593199905918,714.9572140167303,941.6180494343547,HIT
B1000,B0100,A0200,119.0,163.4,44.400000000000006,27719.961969580385,623.3201507363685,878.6432470538865,TERMINAL
B2001,B0200,A0200,128.4,163.4,35.0,25441.870531186516,727.1149846097542,932.4576586275291,HIT
B1001,B0100,A0100,129.8,163.4,33.599999999999994,22224.433743115453,660.1350290730542,869.9741582671077,TERMINAL
B2002,B0200,A0200,138.4,163.4,25.0,18407.77172037595,734.7841793784619,928.307110516892,TERMINAL
B1002,B0100,A0200,140.6,163.4,22.80000000000001,15749.453635720085,689.1776007153617,864.1909064713376,MIDCOURSE
