Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A100-1,A0100,B0100,98.4,157.20000000000002,58.80000000000001,1121.2295657234392,714.3700458035718,44.14132484487076,HIT
A200-1,A0200,B0100,98.4,156.60000000000002,58.20000000000002,1121.4391917192322,717.926602172654,43.94160331035734,HIT
B100-1,B0100,A0100,98.4,165.4,67.0,895.7871932463944,612.8041709682527,41.11231701173705,MISS
A1000,A0100,B0200,100.4,165.4,65.0,1121.798011959032,782.3153713107032,50.876986483970654,HIT
A2000,A0200,B0200,100.60000000000001,165.4,64.8,1124.5770260433696,779.3445194883495,50.53843353396402,HIT
A1001,A0100,B0200,102.4,165.4,63.0,1120.577495521285,788.3097277476203,49.718666323726296,MISS
A2001,A0200,B0200,104.60000000000001,165.4,60.8,1126.3633727690813,786.4065780740805,47.869793472431674,MISS
B200-1,B0200,A0100,104.60000000000001,165.4,60.8,947.3791039561592,682.4511432579811,41.54577466022571,MISS
A1002,A0100,B0200,106.60000000000001,165.4,58.8,1129.152410090571,782.5769666301402,46.07282691653737,MISS
A2002,A0200,B0200,106.60000000000001,165.4,58.8,1129.60162422045,783.936436315621,46.15275039880516,MISS
B1000,B0100,A0100,111.80000000000001,165.4,53.599999999999994,931.1950094757766,662.9171604440722,35.58256560550707,MISS
B2000,B0200,A0100,115.4,165.4,50.0,948.1941099313607,714.8573843028877,35.794376243593966,MISS
B1001,B0100,A0200,122.60000000000001,165.4,42.8,925.8927438919983,696.5944769242445,29.86258278014649,MISS
B1002,B0100,A0200,133.4,165.4,32.0,932.862812122046,737.1347301628944,23.632687882085367,MISS
B2001,B0200,A0100,147.8,165.4,17.599999999999994,950.6207578515821,725.3821179946186,12.787138363077414,MISS
B2002,B0200,A0100,158.60000000000002,165.4,6.799999999999983,706.9647288682705,547.0623839352094,3.725889587125349,MISS
