Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Total_Distance_m,Average_Velocity_m_s,Max_Velocity_m_s,Final_Status
A100-1,A0100,B0100,93.2,163.0,69.8,45951.88519176793,686.8012904858718,1134.440283866729,HIT
A200-1,A0200,B0200,93.2,163.0,69.8,48332.40182194024,691.5952170030916,1134.6714312457323,TERMINAL
B100-1,B0100,A0100,93.80000000000001,163.0,69.19999999999999,38468.898532469146,620.9164858145404,932.4714693336107,MISS
B200-1,B0200,A0100,93.80000000000001,163.0,69.19999999999999,37003.61497510461,640.6264515546729,948.0135448740875,HIT
A1000,A0100,B0100,95.2,163.0,67.8,46064.07802796291,678.4445997401713,1133.2456419998857,TERMINAL
A2000,A0200,B0200,95.2,163.0,67.8,46780.14257375705,689.1331250277435,1135.0584687861933,TERMINAL
A1001,A0100,B0100,97.2,163.0,65.8,45377.749302654716,688.6381534163323,1133.5131824235002,TERMINAL
A2001,A0200,B0200,97.2,163.0,65.8,46484.56315637472,705.575276075264,1135.292132797183,TERMINAL
A1002,A0100,B0100,99.2,163.0,63.8,44959.644116702926,703.6503622880598,1134.9597011441247,TERMINAL
A2002,A0200,B0200,99.2,163.0,63.8,46835.91619359795,734.24740730393,1136.1585603284411,HIT
B1000,B0100,A0100,104.60000000000001,163.0,58.39999999999999,36908.62875236863,641.4615934277396,923.6742578731994,HIT
B2000,B0200,A0100,104.60000000000001,163.0,58.39999999999999,33995.830678802595,640.769881223221,943.4200361851892,HIT
B1001,B0100,A0100,115.4,163.0,47.599999999999994,32001.132582951857,671.201500398488,917.070082218795,TERMINAL
B2001,B0200,A0200,115.4,163.0,47.599999999999994,31676.23962828175,664.4451960082135,922.6947196234576,TERMINAL
B1002,B0100,A0200,126.2,163.0,36.8,26149.648588856973,709.3115058364814,938.7153097035056,TERMINAL
B2002,B0200,A0100,126.2,163.0,36.8,25726.570257599262,697.8026631691739,921.5767196235955,TERMINAL
