Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.127,89.110,5940.922,5940.167,5940.910,5940.986,365.060,365.060,365.060,364.767,0.161,0.511,-1.850,-1.500,0.161,0.881,1.850,1.131,1,1,formation_maintain,search
0.200,88.928,88.930,88.981,88.964,5941.768,5941.013,5941.755,5943.239,364.391,364.391,364.392,363.076,0.198,0.549,-1.816,-1.465,0.198,3.024,1.816,1.009,1,1,attack_maneuver,search
0.400,88.782,88.784,88.836,88.819,5942.585,5941.830,5942.572,5947.529,363.921,363.921,363.921,361.047,0.054,0.407,-1.963,-1.611,0.054,4.972,1.963,2.954,1,1,attack_maneuver,lock_on
0.600,88.636,88.640,88.690,88.674,5943.143,5942.389,5943.131,5953.027,363.514,363.514,363.515,359.501,0.068,0.424,-1.953,-1.597,0.068,6.168,1.953,4.147,1,1,attack_maneuver,lock_on
0.800,88.491,88.496,88.545,88.530,5943.411,5942.657,5943.399,5958.875,363.121,363.121,363.121,359.345,0.117,0.477,-1.907,-1.547,0.117,2.334,1.907,0.310,1,1,attack_maneuver,lock_on
1.000,88.346,88.352,88.400,88.386,5943.431,5942.676,5943.418,5964.540,362.746,362.746,362.746,358.729,0.150,0.514,-1.877,-1.514,0.150,2.245,1.877,0.217,1,1,attack_maneuver,lock_on
1.200,88.201,88.208,88.255,88.242,5943.410,5942.655,5943.397,5970.429,362.445,362.445,362.446,357.460,0.135,0.503,-1.895,-1.528,0.135,10.015,1.896,7.984,1,1,attack_maneuver,lock_on
1.400,88.056,88.065,88.110,88.099,5943.501,5942.747,5943.488,5976.689,362.175,362.175,362.175,356.308,0.097,0.470,-1.937,-1.564,0.097,8.272,1.937,6.238,1,1,attack_maneuver,lock_on
1.600,87.911,87.922,87.965,87.956,5943.836,5943.082,5943.823,5982.860,361.609,361.609,361.609,355.892,0.301,0.680,-1.737,-1.358,0.301,1.566,1.737,0.472,1,1,attack_maneuver,lock_on
1.800,87.767,87.780,87.821,87.813,5944.696,5943.942,5944.683,5988.822,360.918,360.918,360.918,355.641,0.321,0.706,-1.719,-1.335,0.321,6.581,1.719,4.540,1,1,attack_maneuver,lock_on
2.000,87.623,87.637,87.677,87.670,5945.995,5945.240,5945.981,5994.986,360.353,360.353,360.353,355.359,0.333,0.724,-1.711,-1.321,0.333,10.597,1.711,8.553,1,1,attack_maneuver,lock_on
2.200,87.478,87.495,87.533,87.528,5947.493,5946.738,5947.480,6001.319,360.027,360.027,360.028,355.276,0.151,0.548,-1.896,-1.500,0.151,3.517,1.896,1.470,1,1,attack_maneuver,lock_on
2.400,87.335,87.353,87.389,87.385,5948.873,5948.118,5948.859,6006.721,359.795,359.795,359.795,355.050,0.130,0.533,-1.921,-1.518,0.130,2.811,1.921,0.760,1,1,attack_maneuver,lock_on
2.600,87.191,87.210,87.245,87.243,5950.021,5949.266,5950.007,6011.303,359.591,359.591,359.591,354.718,0.165,0.573,-1.889,-1.481,0.164,3.661,1.889,1.607,1,1,attack_maneuver,lock_on
2.800,87.047,87.068,87.102,87.100,5950.941,5950.187,5950.927,6015.091,359.425,359.425,359.425,354.322,0.169,0.583,-1.889,-1.475,0.169,2.784,1.889,0.726,1,1,attack_maneuver,lock_on
3.000,86.903,86.926,86.958,86.958,5951.823,5951.069,5951.809,6018.064,359.371,359.371,359.371,353.959,0.124,0.543,-1.937,-1.518,0.124,5.996,1.937,3.936,1,1,attack_maneuver,lock_on
3.200,86.759,86.784,86.814,86.816,5952.809,5952.055,5952.795,6021.716,359.357,359.357,359.358,353.270,0.061,0.486,-2.003,-1.578,0.061,7.372,2.003,5.308,1,1,attack_maneuver,lock_on
3.400,86.616,86.642,86.671,86.674,5954.026,5953.271,5954.011,6025.361,359.080,359.080,359.080,353.533,0.233,0.664,-1.834,-1.403,0.233,2.299,1.834,0.231,1,1,attack_maneuver,lock_on
3.600,86.472,86.500,86.527,86.531,5955.753,5954.998,5955.738,6027.834,358.662,358.662,358.663,353.069,0.233,0.670,-1.838,-1.401,0.233,3.918,1.838,1.847,1,1,attack_maneuver,lock_on
3.800,86.329,86.358,86.384,86.389,5957.900,5957.144,5957.884,6030.819,358.455,358.455,358.455,352.580,0.142,0.584,-1.933,-1.490,0.141,8.438,1.933,6.364,1,1,attack_maneuver,lock_on
4.000,86.186,86.217,86.241,86.248,5960.164,5959.409,5960.148,6035.129,358.458,358.458,358.459,352.449,0.084,0.532,-1.994,-1.545,0.084,5.485,1.994,3.408,1,1,attack_maneuver,lock_on
4.200,86.042,86.075,86.098,86.106,5962.232,5961.476,5962.216,6038.749,358.274,358.274,358.274,352.322,0.232,0.687,-1.849,-1.394,0.232,3.990,1.849,1.909,1,1,attack_maneuver,lock_on
4.400,85.899,85.934,85.955,85.964,5963.613,5962.857,5963.596,6041.219,357.977,357.977,357.977,351.789,0.187,0.647,-1.898,-1.437,0.186,4.174,1.898,2.090,1,1,attack_maneuver,lock_on
4.600,85.756,85.792,85.812,85.823,5964.716,5963.960,5964.699,6043.247,357.669,357.669,357.669,351.353,0.163,0.629,-1.925,-1.458,0.163,4.974,1.925,2.887,1,1,attack_maneuver,lock_on
4.800,85.613,85.651,85.669,85.681,5966.072,5965.316,5966.055,6044.413,357.447,357.447,357.448,350.442,0.147,0.620,-1.944,-1.471,0.147,5.395,1.944,3.304,1,1,attack_maneuver,lock_on
5.000,85.470,85.510,85.526,85.540,5967.726,5966.970,5967.708,6045.278,357.202,357.202,357.203,349.676,0.212,0.690,-1.883,-1.404,0.211,5.411,1.883,3.317,1,1,formation_maintain,lock_on
5.200,85.327,85.369,85.383,85.399,5969.550,5968.794,5969.532,6046.281,357.156,357.156,357.157,349.481,0.054,0.538,-2.044,-1.560,0.054,5.645,2.045,3.548,1,1,formation_maintain,search
5.400,85.184,85.228,85.241,85.258,5971.241,5970.485,5971.223,6047.313,357.165,357.165,357.166,349.517,0.052,0.542,-2.050,-1.560,0.051,5.637,2.050,3.535,1,1,formation_maintain,search
5.600,85.042,85.087,85.098,85.117,5972.693,5971.937,5972.674,6048.141,357.163,357.163,357.164,349.660,0.097,0.593,-2.008,-1.512,0.097,5.739,2.008,3.634,1,1,formation_maintain,search
5.800,84.899,84.947,84.955,84.976,5973.913,5973.156,5973.894,6048.709,357.156,357.156,357.157,349.799,0.075,0.576,-2.034,-1.532,0.074,5.867,2.034,3.759,1,1,formation_maintain,search
6.000,84.756,84.806,84.813,84.834,5975.086,5974.330,5975.067,6049.038,357.213,357.213,357.214,349.918,-0.002,0.506,-2.114,-1.606,0.002,5.957,2.114,3.845,1,1,formation_maintain,search
6.200,84.613,84.665,84.670,84.693,5976.427,5975.670,5976.407,6049.312,356.978,356.978,356.979,349.686,0.171,0.684,-1.945,-1.431,0.170,5.990,1.945,3.875,1,1,formation_maintain,search
6.400,84.470,84.524,84.527,84.552,5978.232,5977.475,5978.212,6049.667,356.620,356.620,356.621,349.382,0.114,0.633,-2.006,-1.486,0.113,5.999,2.006,3.881,1,1,formation_maintain,search
6.600,84.328,84.383,84.385,84.411,5980.362,5979.605,5980.341,6050.226,356.494,356.494,356.495,349.205,0.076,0.601,-2.047,-1.521,0.075,6.219,2.047,4.097,1,1,formation_maintain,search
6.800,84.185,84.242,84.242,84.271,5982.586,5981.828,5982.564,6051.226,356.252,356.252,356.253,348.973,0.078,0.608,-2.049,-1.518,0.077,6.195,2.049,4.070,1,1,formation_maintain,search
7.000,84.043,84.102,84.100,84.130,5984.250,5983.493,5984.228,6052.576,355.988,355.988,355.989,348.791,0.015,0.551,-2.115,-1.578,0.015,6.269,2.115,4.139,1,1,formation_maintain,search
7.200,83.901,83.961,83.958,83.989,5985.342,5984.584,5985.319,6054.104,355.928,355.928,355.929,348.827,-0.057,0.485,-2.190,-1.648,0.057,6.148,2.191,4.015,1,1,formation_maintain,search
7.400,83.758,83.821,83.816,83.848,5986.288,5985.531,5986.265,6055.503,356.002,356.002,356.003,348.911,-0.139,0.408,-2.276,-1.728,0.140,6.181,2.277,4.045,1,1,formation_maintain,search
7.600,83.616,83.680,83.674,83.708,5987.364,5986.606,5987.340,6056.593,355.798,355.798,355.799,348.811,0.029,0.583,-2.111,-1.557,0.029,6.405,2.112,4.266,1,1,formation_maintain,search
7.800,83.474,83.540,83.531,83.567,5988.885,5988.127,5988.861,6056.969,355.464,355.464,355.466,348.256,-0.022,0.538,-2.166,-1.606,0.022,6.426,2.167,4.283,1,1,formation_maintain,search
8.000,83.332,83.399,83.390,83.426,5990.773,5990.015,5990.749,6056.980,355.211,355.211,355.213,348.047,0.031,0.596,-2.117,-1.550,0.031,6.410,2.117,4.263,1,1,formation_maintain,search
8.200,83.190,83.259,83.248,83.286,5992.853,5992.094,5992.828,6057.229,355.173,355.173,355.175,347.087,-0.128,0.443,-2.280,-1.707,0.129,6.368,2.280,4.218,1,1,formation_maintain,search
8.400,83.048,83.119,83.106,83.146,5994.809,5994.050,5994.783,6057.737,355.188,355.188,355.190,346.863,-0.129,0.448,-2.284,-1.706,0.129,6.441,2.284,4.287,1,1,formation_maintain,search
8.600,82.906,82.979,82.964,83.006,5996.531,5995.772,5996.504,6058.384,355.193,355.193,355.195,346.922,-0.082,0.501,-2.241,-1.657,0.082,6.293,2.241,4.136,1,1,formation_maintain,search
8.800,82.764,82.839,82.822,82.866,5997.897,5997.137,5997.869,6058.881,355.014,355.014,355.015,347.043,0.247,0.836,-1.915,-1.326,0.247,6.297,1.916,4.136,1,1,formation_maintain,search
9.000,82.622,82.699,82.680,82.725,5998.583,5997.823,5998.555,6059.135,354.600,354.600,354.602,347.156,0.422,1.017,-1.744,-1.148,0.422,6.351,1.744,4.186,1,1,formation_maintain,search
9.200,82.480,82.559,82.539,82.585,5999.076,5998.316,5999.047,6059.153,354.284,354.284,354.286,347.260,0.290,0.890,-1.880,-1.278,0.289,6.349,1.881,4.181,1,1,formation_maintain,search
9.400,82.338,82.419,82.397,82.445,5999.759,5998.999,5999.729,6059.108,354.085,354.085,354.087,347.035,0.331,0.937,-1.843,-1.235,0.330,6.292,1.844,4.120,1,1,formation_maintain,search
9.600,82.197,82.280,82.256,82.305,6000.567,5999.807,6000.537,6059.205,354.074,354.074,354.076,346.904,0.183,0.796,-1.994,-1.380,0.183,6.462,1.995,4.286,1,1,formation_maintain,search
9.800,82.055,82.140,82.114,82.165,6001.224,6000.464,6001.193,6059.722,354.122,354.122,354.123,345.907,0.190,0.808,-1.991,-1.371,0.189,6.419,1.991,4.239,1,1,formation_maintain,search
10.000,81.913,82.000,81.972,82.025,6001.680,6000.920,6001.649,6060.583,354.151,354.151,354.152,345.661,0.169,0.793,-2.016,-1.390,0.168,6.472,2.016,4.289,1,1,formation_maintain,search
10.200,81.772,81.861,81.831,81.886,6002.100,6001.340,6002.068,6061.621,354.241,354.241,354.243,345.721,0.099,0.729,-2.089,-1.458,0.098,6.325,2.090,4.138,1,1,attack_maneuver,lock_on
10.400,81.630,81.721,81.689,81.746,6002.690,6001.930,6002.658,6062.529,354.046,354.046,354.047,345.843,0.268,0.904,-1.924,-1.287,0.267,6.337,1.925,4.146,1,1,attack_maneuver,lock_on
10.600,81.488,81.582,81.548,81.606,6003.744,6002.983,6003.710,6063.246,353.728,353.728,353.730,345.942,0.214,0.856,-1.981,-1.338,0.213,6.348,1.982,4.153,1,1,attack_maneuver,lock_on
10.800,81.347,81.442,81.407,81.466,6005.171,6004.410,6005.137,6063.920,353.493,353.493,353.495,345.706,0.258,0.906,-1.941,-1.292,0.257,6.312,1.942,4.114,1,1,attack_maneuver,lock_on
11.000,81.206,81.303,81.265,81.327,6006.792,6006.032,6006.758,6064.675,353.477,353.477,353.479,345.026,0.089,0.742,-2.114,-1.459,0.088,6.255,2.115,4.053,1,1,attack_maneuver,lock_on
11.200,81.064,81.164,81.124,81.187,6008.291,6007.530,6008.256,6065.626,353.514,353.514,353.516,344.798,0.081,0.740,-2.126,-1.465,0.080,6.403,2.127,4.198,1,1,attack_maneuver,lock_on
11.400,80.923,81.024,80.983,81.048,6009.556,6008.795,6009.520,6067.013,353.541,353.541,353.543,343.739,0.122,0.787,-2.089,-1.422,0.121,6.337,2.090,4.128,1,1,attack_maneuver,lock_on
