Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.127,89.110,5940.922,5940.167,5940.655,5940.986,365.060,365.060,365.354,364.767,0.161,0.511,-1.850,-1.500,0.207,0.881,2.218,1.131,1,1,attack_maneuver,lock_on
0.200,88.927,88.930,88.981,88.964,5941.768,5941.013,5939.995,5943.239,364.391,364.391,365.203,363.076,0.198,0.549,-1.816,-1.465,0.419,3.024,1.596,1.009,1,1,attack_maneuver,lock_on
0.400,88.782,88.784,88.835,88.819,5942.585,5941.830,5938.036,5947.529,363.921,363.921,365.035,361.047,0.055,0.407,-1.963,-1.611,1.963,4.972,0.055,2.954,1,1,attack_maneuver,lock_on
0.600,88.636,88.640,88.690,88.674,5943.143,5942.389,5935.083,5953.027,363.514,363.514,364.723,359.501,0.069,0.424,-1.952,-1.597,2.272,6.168,0.251,4.147,1,1,attack_maneuver,lock_on
0.800,88.491,88.496,88.544,88.530,5943.411,5942.657,5931.577,5958.875,363.121,363.121,364.141,359.345,0.119,0.477,-1.905,-1.547,1.011,2.334,1.013,0.310,1,1,attack_maneuver,lock_on
1.000,88.345,88.352,88.399,88.386,5943.431,5942.676,5927.768,5964.540,362.746,362.746,363.620,358.729,0.153,0.514,-1.874,-1.514,0.380,2.245,1.647,0.217,1,1,attack_maneuver,lock_on
1.200,88.200,88.208,88.254,88.242,5943.410,5942.655,5923.795,5970.429,362.445,362.445,362.879,357.460,0.138,0.503,-1.893,-1.528,1.173,10.015,0.857,7.984,1,1,attack_maneuver,lock_on
1.400,88.055,88.065,88.109,88.099,5943.501,5942.747,5919.163,5976.689,362.175,362.175,362.299,356.308,0.100,0.470,-1.934,-1.564,2.242,8.272,0.208,6.238,1,1,attack_maneuver,lock_on
1.600,87.911,87.922,87.965,87.956,5943.836,5943.082,5913.350,5982.860,361.609,361.609,361.800,355.892,0.305,0.680,-1.732,-1.358,2.424,1.566,0.387,0.472,1,1,attack_maneuver,lock_on
1.800,87.767,87.780,87.821,87.813,5944.696,5943.942,5906.858,5988.822,360.918,360.918,361.145,355.641,0.327,0.706,-1.714,-1.335,2.077,6.581,0.036,4.540,1,1,attack_maneuver,lock_on
2.000,87.623,87.637,87.677,87.670,5945.995,5945.240,5900.005,5994.986,360.353,360.353,360.581,355.359,0.339,0.724,-1.705,-1.321,1.917,10.597,0.127,8.553,1,1,attack_maneuver,lock_on
2.200,87.479,87.495,87.533,87.528,5947.493,5946.738,5892.789,6001.319,360.027,360.027,360.198,355.276,0.158,0.548,-1.889,-1.500,1.879,3.517,0.168,1.470,1,1,attack_maneuver,lock_on
2.400,87.335,87.353,87.390,87.385,5948.873,5948.118,5884.459,6006.721,359.795,359.795,360.279,355.050,0.139,0.533,-1.912,-1.518,2.563,2.811,0.512,0.760,1,1,attack_maneuver,lock_on
2.600,87.192,87.210,87.246,87.243,5950.021,5949.266,5874.913,6011.303,359.591,359.591,360.229,354.718,0.175,0.573,-1.879,-1.481,2.994,3.661,0.940,1.607,1,1,attack_maneuver,lock_on
2.800,87.049,87.068,87.103,87.100,5950.941,5950.187,5864.746,6015.091,359.425,359.425,359.980,354.322,0.181,0.583,-1.877,-1.475,2.308,2.784,0.251,0.726,1,1,attack_maneuver,lock_on
3.000,86.906,86.926,86.960,86.958,5951.823,5951.069,5854.300,6018.064,359.371,359.371,359.788,353.959,0.137,0.543,-1.923,-1.518,2.140,5.996,0.080,3.936,1,1,attack_maneuver,lock_on
3.200,86.763,86.784,86.817,86.816,5952.809,5952.055,5843.686,6021.716,359.357,359.357,359.660,353.270,0.076,0.486,-1.988,-1.578,2.123,7.372,0.059,5.308,1,1,attack_maneuver,lock_on
3.400,86.620,86.642,86.674,86.674,5954.026,5953.271,5832.932,6025.361,359.080,359.080,359.563,353.533,0.250,0.664,-1.817,-1.403,2.048,2.299,0.020,0.231,1,1,attack_maneuver,lock_on
