步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
0,0.0,0.011790588419025357,179.98821036530103,5478.60203632769,8.0446386374649,"[[1, 1, 1]]","[[1, 1, 1]]",48.67632506673226,0.0018535502845224983,6096.0077871418,5527.278361393169,-0.0018537501459832129,6093.617292966489,6.0960077871418,6.093617292966489,0.0023904941753105646,0.7142917299920082,0.7142918474157922,0.0023904918268344844,0
1,0.2,0.05252465415635495,179.94830967169153,5381.6182460083155,-0.5563457202768376,"[[1, 4, 1]]","[[1, 4, 2]]",97.17814560641727,-0.034463077543023246,6096.076787972145,5478.796391182278,0.03376163416351119,6093.728668553074,6.096076787972145,6.093728668553075,0.002348119419070649,0.7125454994897679,0.7119356096325005,0.002360317216215435,0
2,0.4,0.04291213946553823,179.9548299678146,5284.752790061384,18.809775403291454,"[[1, 4, 1]]","[[1, 4, 2]]",145.6639395749994,-0.07183229417387338,6095.939379959961,5430.416727574281,0.07580037746788548,6093.631717533244,6.095939379959961,6.093631717533245,0.002307662426716206,0.7137354375265214,0.7111597355694476,0.0023591764658581482,0
3,0.6000000000000001,0.07573169476560053,179.93119881427097,5187.899863415694,4.666499559438222,"[[1, 2, 1]]","[[1, 2, 2]]",194.17788579614808,-0.1157138733535703,6095.276704900747,5382.077744069746,0.11526960646028783,6092.983905360966,6.095276704900747,6.092983905360966,0.0022927995397807877,0.7130371736543654,0.7105668250165801,0.002342206512536471,0
4,0.8,0.0399400819012993,179.9044887319142,5091.257808840663,2.002762270594914,"[[1, 2, 1]]","[[0, 2, 1]]",242.57715437172828,-0.17275135652676,6094.270101395144,5333.8349506666445,0.18466613022201273,6091.898980741746,6.094270101395144,6.091898980741745,0.0023711206533985063,0.7104593561945336,0.7082436509389373,0.0024154347585101377,0
5,1.0,0.07357736626577145,179.88131601452818,4995.010831326562,1.649950027951263,"[[0, 4, 1]]","[[0, 2, 2]]",290.7932412121081,-0.16077404648012816,6093.365130543221,5285.804053391896,0.2765778627125428,6090.741274246908,6.093365130543221,6.090741274246907,0.002623856296313676,0.7081679580638534,0.7053019670310251,0.00268117611696983,0
6,1.2000000000000002,0.30901019409004277,179.89273562273402,4898.923032053245,0.42911211437970564,"[[1, 1, 0]]","[[1, 4, 2]]",338.97283802658785,-0.001042206070451357,6092.94167514642,5237.895855877961,0.37198293405947425,6089.787878394297,6.092941675146419,6.089787878394297,0.00315379675212224,0.7085206756439555,0.7040555089767954,0.003243100085465578,0
7,1.4000000000000001,0.4385549820134291,179.94984127111255,4803.017365598823,-17.263044225161238,"[[1, 1, 0]]","[[1, 4, 2]]",387.08803469026316,0.33423944674905215,6093.693745546536,5190.105399726754,0.4077362895886836,6089.291423393496,6.093693745546536,6.0892914233934965,0.004402322153039151,0.7070598017436548,0.7012479317268555,0.004518559553375212,0
8,1.6,0.43000966469709895,179.6266836209653,4707.338871928485,-2.06449121365182,"[[1, 1, 0]]","[[1, 1, 2]]",435.1718550132796,0.6890634998280802,6095.21833853533,5142.510704906081,0.23358698118408938,6089.253675936046,6.0952183385353305,6.089253675936046,0.005964662599284409,0.7083913678510176,0.698798758090173,0.006156514794501966,0
9,1.8,0.548055748152396,179.32678476558436,4611.650921829365,10.635991740411455,"[[1, 1, 0]]","[[1, 1, 2]]",483.4199843004999,1.0882204400954834,6096.510698392928,5095.070727534998,-0.19522583379466596,6089.554946788936,6.096510698392928,6.089554946788936,0.0069557516039919776,0.711277085342074,0.6964239250641079,0.007252814809551644,0
10,2.0,0.6228778549253523,179.19066809417535,4515.933906894811,5.53104577184132,"[[1, 1, 0]]","[[1, 1, 0]]",531.8447032445679,1.574977862536798,6097.142721731065,5047.777980324037,-0.8100606094430987,6090.127637337514,6.097142721731065,6.090127637337514,0.007015084393550808,0.7128039205703156,0.6948780958977219,0.007373600887002674,0
