步数,时间(秒),AO(度),TA(度),距离(m),奖励,动作_ego,动作_enm,ego_x,ego_y,ego_z,enm_x,enm_y,enm_z,ego_alt(km),enm_alt(km),relative_alt(km),ego_speed_mach,enm_speed_mach,energy_diff,advantage_score
0,0.0,0.011801602975116163,179.97454292241557,5478.610499381347,0.000933071297680752,"[[1, 1, 1]]","[[0, 0, 2]]",48.67632506673226,0.0018535502845224983,6096.0077871418,5527.286824447436,-0.000800549716700516,6093.647128156734,6.0960077871418,6.093647128156734,0.0023606589850659887,0.7142917299920082,0.7137515980017516,0.0023714616248708964,0
1,0.2,0.05335091178642306,179.76050668740226,5381.605005033608,0.0010220331529267384,"[[1, 4, 1]]","[[0, 2, 0]]",97.17814560641727,-0.034463077543023246,6096.076787972145,5478.783148664124,0.11136914029884792,6094.293013294559,6.096076787972145,6.09429301329456,0.0017837746775857255,0.7125454994897679,0.7135091909525941,0.0017645008483286873,0
2,0.4,0.04641503750401342,179.5556286447341,5284.6005211178835,0.0010269758286969549,"[[1, 4, 1]]","[[0, 2, 0]]",145.6639395749994,-0.07183229417387338,6095.939379959961,5430.26443972902,0.39888130039946645,6095.868644997471,6.095939379959961,6.095868644997471,7.073496248999334e-05,0.7137354375265214,0.7141050311248018,6.334309052480336e-05,0
3,0.6000000000000001,0.08369197690950057,179.4244717429655,5187.657329592456,0.001109710489271257,"[[1, 2, 1]]","[[0, 2, 0]]",194.17788579614808,-0.1157138733535703,6095.276704900747,5381.835128089831,0.8359962907644558,6098.713702231458,6.095276704900747,6.098713702231458,-0.0034369973307111223,0.7130371736543654,0.7127193287047868,-0.003430640431719034,0
4,0.8,0.052555908403912326,179.4250996521013,5091.079875020018,0.0010736444046317733,"[[1, 2, 1]]","[[0, 2, 0]]",242.57715437172828,-0.17275135652676,6094.270101395144,5333.656814735783,1.3056468545839834,6103.128418495178,6.094270101395144,6.103128418495178,-0.008858317100034263,0.7104593561945336,0.7100204845009229,-0.008849539666162087,0
5,1.0,0.05577011955504704,179.2347698942306,4995.132457266009,0.0010981113283720753,"[[0, 4, 1]]","[[0, 2, 0]]",290.7932412121081,-0.16077404648012816,6093.365130543221,5285.925302151866,1.8290510907851285,6109.424813113485,6.093365130543221,6.109424813113485,-0.01605968257026369,0.7081679580638534,0.7063567549007913,-0.016023458507002708,0
6,1.2000000000000002,0.2832598017428947,178.94908838270766,4899.626865993003,0.0015146592551706357,"[[1, 1, 0]]","[[0, 2, 0]]",338.97283802658785,-0.001042206070451357,6092.94167514642,5238.599027313897,2.5740714498820125,6117.199346700237,6.092941675146419,6.117199346700237,-0.024257671553817417,0.7085206756439555,0.704997169970005,-0.02418720144033859,0
7,1.4000000000000001,0.40243345465611674,178.9378469763837,4804.254994600479,0.0017429063873860165,"[[1, 1, 0]]","[[0, 2, 0]]",387.08803469026316,0.33423944674905215,6093.693745546536,5191.3420276456945,3.4365475296123122,6125.498096651141,6.093693745546536,6.125498096651141,-0.03180435110460511,0.7070598017436548,0.7068431301954801,-0.03180001767364171,0
8,1.6,0.38111496079421353,179.00249422855097,4708.746943857389,0.0017267992532531866,"[[1, 1, 0]]","[[0, 2, 0]]",435.1718550132796,0.6890634998280802,6095.21833853533,5143.917451072225,4.251770587226588,6133.670535834136,6.0952183385353305,6.133670535834136,-0.038452197298805224,0.7083913678510176,0.70848059750371,-0.038453981891859,0
9,1.8,0.48342302944413285,179.07403900643504,4613.004491418128,0.00192738973037171,"[[1, 1, 0]]","[[0, 2, 0]]",483.4199843004999,1.0882204400954834,6096.510698392928,5096.422810256554,5.008113969903775,6141.901441014479,6.096510698392928,6.141901441014479,-0.04539074262155118,0.711277085342074,0.709190623649112,-0.045349013387691706,0
10,2.0,0.5399675637570036,179.10423503886764,4517.1263388616335,0.0020490746119234,"[[1, 1, 0]]","[[0, 2, 0]]",531.8447032445679,1.574977862536798,6097.142721731065,5048.969134947954,5.725850766119493,6150.44031767985,6.097142721731065,6.150440317679849,-0.05329759594878425,0.7128039205703156,0.7093685990879781,-0.05322888951913729,0
11,2.2,0.3527031447215688,179.15941855573223,4421.154528464444,0.0017462536899755516,"[[0, 0, 0]]","[[0, 2, 0]]",580.3072860204575,2.0304879060106487,6097.490070398417,5001.459654007598,6.401254814068693,6159.055696432159,6.0974900703984165,6.1590556964321586,-0.06156562603374205,0.7123595695853029,0.7109269595215564,-0.06153697383246737,0
12,2.4000000000000004,0.2361983979294108,179.23048399587705,4325.144223187947,0.0015680075682080932,"[[1, 2, 0]]","[[0, 2, 0]]",628.7359594485561,2.1340378715071893,6098.201398034067,4953.877427482798,7.015929581957494,6167.767307308609,6.0982013980340675,6.167767307308609,-0.06956590927454176,0.7125103208774874,0.711645562214064,-0.069548614101274,0
13,2.6,0.6875630121282547,179.24972645330038,4229.1019556489855,0.0023820284447379054,"[[0, 4, 0]]","[[0, 2, 0]]",677.2285139618102,1.7810401047347568,6099.31884116721,4906.3264767177225,7.59246745727944,6176.807511132831,6.09931884116721,6.17680751113283,-0.07748866996562054,0.7145459942338006,0.712396066366023,-0.07744567140826497,0
14,2.8000000000000003,0.7952181208229773,179.29156601063931,4132.760622097959,0.002597469828276451,"[[0, 4, 1]]","[[0, 2, 0]]",725.9234444544413,1.2059407162037132,6100.522668163339,4858.678271072238,8.127113363200635,6185.883477746969,6.1005226681633395,6.18588347774697,-0.08536080958363002,0.7184567956712564,0.7142718692801525,-0.0852771110558086,0
15,3.0,0.8161582869293895,179.34965311985206,4036.0868399293463,0.002662981763568933,"[[0, 4, 1]]","[[0, 2, 0]]",774.8572480657413,0.6046060645419402,6101.540477527784,4810.936164085608,8.60230015433848,6195.035657633863,6.1015404775277835,6.195035657633863,-0.09349518010607927,0.7211195793660269,0.7152645600227189,-0.09337807971921297,0
16,3.2,0.7856811033459565,179.31738683904516,3939.2518840211424,0.0026402266212060517,"[[1, 1, 0]]","[[0, 2, 0]]",823.9979152355997,0.02113421583692343,6102.405566689727,4763.239458262829,9.047288024050204,6204.57026400088,6.102405566689726,6.20457026400088,-0.10216469731115385,0.724349892919606,0.7155260417006662,-0.10198822028677501,0
17,3.4000000000000004,0.7137268175035368,179.2699467223197,3842.2394899982937,0.002546674091874625,"[[1, 1, 0]]","[[0, 2, 0]]",873.3098588388555,-0.502605156627169,6103.309729991618,4715.536247108163,9.531326741851615,6214.345142672027,6.103309729991618,6.214345142672027,-0.11103541268040917,0.7260684918922323,0.7170623421273813,-0.11085528968511138,0
18,3.6,0.737241238495291,179.30276604935995,3744.9457644008967,0.0026215050987878413,"[[0, 1, 1]]","[[0, 2, 0]]",922.7184606290591,-0.9861232159973952,6104.24158975203,4667.6481394294005,9.99017600504726,6223.952964428627,6.10424158975203,6.2239529644286264,-0.1197113746765961,0.727477408099589,0.7194614602533104,-0.11955105571967017,0
19,3.8000000000000003,0.7646953352923862,179.30758099376828,3647.3285507548567,0.002705135741792136,"[[0, 2, 1]]","[[0, 2, 0]]",972.2437109387477,-1.4884664200218367,6105.067114800853,4619.552798003621,10.42709338718862,6233.322023187251,6.105067114800853,6.233322023187251,-0.1282549083863973,0.729742479102066,0.7217755549995942,-0.12809556990434867,0
