Time_s,Missile_ID,Launcher_ID,Target_ID,X_m,Y_m,Z_m,Velocity_m_s,Status,Data_Type,Range_to_Target_km
45.800000000000004,B1001,B0100,A0100,31338.461650722333,-3465.513513157184,6471.996346962145,298.9216920832728,BOOST,Trajectory,59.949666265851505
46.0,B1001,B0100,A0100,31277.45039050071,-3462.915481653954,6471.529479127786,312.9405360880452,BOOST,Trajectory,59.82191349990276
46.2,B1001,B0100,A0100,31213.632105564127,-3460.1980151201196,6471.041138063878,327.02342087376303,BOOST,Trajectory,59.69146092853548
46.400000000000006,B1001,B0100,A0100,31146.994036693395,-3457.3606698391995,6470.531223806405,341.16989236214073,BOOST,Trajectory,59.55826589937828
46.6,B1001,B0100,A0100,31077.523517548874,-3454.403009218242,6469.9996311587065,355.3794720475398,BOOST,Trajectory,59.42225792482063
46.800000000000004,B1001,B0100,A0100,31005.20797950534,-3451.324603621036,6469.446259517841,369.65165668019404,BOOST,Trajectory,59.28350737981555
47.0,B1001,B0100,A0100,30930.034956693336,-3448.1250305295052,6468.871013413827,383.9859172901794,BOOST,Trajectory,59.14199033189407
47.2,B1001,B0100,A0100,30851.99209124242,-3444.803874734607,6468.273792804795,398.381698858692,BOOST,Trajectory,58.99767743364625
47.400000000000006,B1001,B0100,A0100,30771.067143293105,-3441.3608011497954,6467.654490951177,412.83830001106753,BOOST,Trajectory,58.850498988072765
47.6,B1001,B0100,A0100,30687.248003958965,-3437.795583246941,6467.013002218681,427.355170581779,BOOST,Trajectory,58.700482877532814
47.800000000000004,B1001,B0100,A0100,30600.522675713568,-3434.1078687424924,6466.3492336233985,441.93170965582425,BOOST,Trajectory,58.547574536145504
48.0,B1001,B0100,A0100,30510.879289882698,-3430.297309305843,6465.663095209729,456.5672510702195,BOOST,Trajectory,58.39179072950731
48.2,B1001,B0100,A0100,30418.306113424023,-3426.363565502523,6464.954498868243,471.26109963142426,BOOST,Trajectory,58.233090679062684
48.400000000000006,B1001,B0100,A0100,30322.79155476094,-3422.306306903727,6464.223356170292,486.01253082788975,BOOST,Trajectory,58.071492136740865
48.6,B1001,B0100,A0100,30224.324169718617,-3418.125212466026,6463.469579131122,500.8207900504205,BOOST,Trajectory,57.906953516652315
48.800000000000004,B1001,B0100,A0100,30122.89266757073,-3413.8199706623427,6462.69307884494,515.6850921984816,BOOST,Trajectory,57.73949255017037
49.0,B1001,B0100,A0100,30018.4859172092,-3409.3902799104812,6461.893766592855,530.6046209127367,BOOST,Trajectory,57.56906784377995
49.2,B1001,B0100,A0100,29911.09295341969,-3404.8358487274286,6461.071552729303,545.5785281240534,BOOST,Trajectory,57.395705079102406
49.400000000000006,B1001,B0100,A0100,29800.70298328708,-3400.1563964317593,6460.2263511155115,560.6059329774014,BOOST,Trajectory,57.21936753147015
49.6,B1001,B0100,A0100,29687.305392687227,-3395.3516534650844,6459.358084778423,575.6859219812401,BOOST,Trajectory,57.040102305912754
49.800000000000004,B1001,B0100,A0100,29570.88975283871,-3390.4213609730987,6458.46668807332,590.817549020578,BOOST,Trajectory,56.857901269782346
50.0,B1001,B0100,A0100,29451.445826819912,-3385.3652694271364,6457.552109204689,605.9998353730591,BOOST,Trajectory,56.672841055675164
50.2,B1001,B0100,A0100,29328.963576410675,-3380.1831385281416,6456.614306075136,621.2317665450568,BOOST,Trajectory,56.48485107540527
50.400000000000006,B1001,B0100,A0100,29203.43316947854,-3374.8747396108497,6455.6532286738875,636.5122905932869,BOOST,Trajectory,56.29387159360161
50.6,B1001,B0100,A0100,29074.844987629724,-3369.4398594857703,6454.668800870314,651.8403153472364,BOOST,Trajectory,56.09985523357285
50.800000000000004,B1001,B0100,A0100,28943.189634246413,-3363.8783045700256,6453.660915322841,667.2147114515485,BOOST,Trajectory,55.90269732223604
51.0,B1001,B0100,A0100,28808.457939581927,-3358.18988768211,6452.629453839919,682.634344841126,BOOST,Trajectory,55.7023443111993
51.2,B1001,B0100,A0100,28670.640961525278,-3352.37439867053,6451.574314121001,698.0980800500894,BOOST,Trajectory,55.498943107533975
51.400000000000006,B1001,B0100,A0100,28530.088590049643,-3346.4467127623457,6450.4981731146445,704.9887695128054,BOOST,Trajectory,55.29294850295829
51.6,B1001,B0100,A0100,28389.376667248493,-3340.5155066561433,6449.420792534279,703.2800952740973,BOOST,Trajectory,55.086889540852155
51.800000000000004,B1001,B0100,A0100,28249.005296849424,-3334.601861184068,6448.346072182385,701.579426779209,BOOST,Trajectory,54.881167502720565
52.0,B1001,B0100,A0100,28108.972884112027,-3328.705690597334,6447.274074930511,699.8867133276099,BOOST,Trajectory,54.6757002308979
52.2,B1001,B0100,A0100,27969.277844564538,-3322.8269050335266,6446.204839896544,698.2019069672268,BOOST,Trajectory,54.47050999716094
52.400000000000006,B1001,B0100,A0100,27829.91860361327,-3316.965411309685,6445.138374241777,696.5249603210467,BOOST,Trajectory,54.26560562555602
52.6,B1001,B0100,A0100,27690.893596526712,-3311.1211140702017,6444.074663105318,694.8558245681487,BOOST,Trajectory,54.06098728380919
52.800000000000004,B1001,B0100,A0100,27552.201268611396,-3305.2939165989205,6443.013684883528,693.1944491407156,BOOST,Trajectory,53.85662324714956
53.0,B1001,B0100,A0100,27413.84007541333,-3299.483721635836,6441.955421438829,691.5407825969991,BOOST,Trajectory,53.65253369711836
53.2,B1001,B0100,A0100,27275.80848264011,-3293.690431080183,6440.899861280623,689.8947749855257,BOOST,Trajectory,53.44872786976551
53.400000000000006,B1001,B0100,A0100,27138.10496591666,-3287.9139452701847,6439.846999510566,688.2563769126197,BOOST,Trajectory,53.2452251713674
53.6,B1001,B0100,A0100,27000.728010834962,-3282.1541637398714,6438.796833294529,686.625538557563,BOOST,Trajectory,53.04202570301053
53.800000000000004,B1001,B0100,A0100,26863.676113004436,-3276.410986449959,6437.749348544299,685.0022101646449,BOOST,Trajectory,52.83914826265161
54.0,B1001,B0100,A0100,26726.947778037036,-3270.684314194996,6436.704521230209,683.3863420821419,BOOST,Trajectory,52.63653778965893
54.2,B1001,B0100,A0100,26590.541521481144,-3264.9740483950036,6435.6623259015505,681.777884279576,BOOST,Trajectory,52.434212022334265
54.400000000000006,B1001,B0100,A0100,26454.45586886209,-3259.280091436878,6434.622740371179,680.1767867280066,BOOST,Trajectory,52.23215099888458
54.6,B1001,B0100,A0100,26318.689355611103,-3253.602346717118,6433.585746016702,678.5829995362661,BOOST,Trajectory,52.030375404125834
54.800000000000004,B1001,B0100,A0100,26183.240527057635,-3247.940718946848,6432.551327487562,678.0730282916751,BOOST,Trajectory,51.82886871968706
55.0,B1001,B0100,A0100,26046.709549369443,-3242.2366874222243,6431.508790710734,689.4144326492717,BOOST,Trajectory,51.62624935095733
55.2,B1001,B0100,A0100,25907.911247495205,-3236.440738204612,6430.449082134554,700.7662532978693,BOOST,Trajectory,51.42131423834778
55.400000000000006,B1001,B0100,A0100,25766.843618097373,-3230.552808872394,6429.372181390845,712.1276266348664,BOOST,Trajectory,51.214079600869766
55.6,B1001,B0100,A0100,25623.504831707287,-3224.5728451174955,6428.278068105384,723.4976749417874,BOOST,Trajectory,51.00452788678783
55.800000000000004,B1001,B0100,A0100,25477.893235523232,-3218.500800774122,6427.166720928353,734.8755058662946,MIDCOURSE,Trajectory,50.79267323485852
55.800000000000004,B1002,B0100,A0100,28322.81383865756,-3420.0237652150013,6491.912097757409,318.9397608285811,BOOST,Trajectory,53.643869748788575
56.0,B1001,B0100,A0100,25330.008210261203,-3212.3373165940434,6426.034494775883,746.2507358267602,MIDCOURSE,Trajectory,50.57848355887733
56.0,B1002,B0100,A0100,28257.79540373979,-3417.3183615663584,6491.368149369853,333.0132060370355,BOOST,Trajectory,53.512620856241696
56.2,B1001,B0100,A0100,25179.849381934582,-3206.0822725975895,6424.878485365697,757.6338947635794,MIDCOURSE,Trajectory,50.3619657012982
56.2,B1002,B0100,A0100,28189.959023829877,-3414.4957042196665,6490.8006079540855,347.1497633870845,BOOST,Trajectory,53.37849902790537
56.400000000000006,B1001,B0100,A0100,25027.415788605103,-3199.7365840495945,6423.698859043278,769.0174393805053,MIDCOURSE,Trajectory,50.14314305273433
56.400000000000006,B1002,B0100,A0100,28119.292131322778,-3411.5552708026694,6490.209358684452,361.3489549215743,BOOST,Trajectory,53.2415158459128
56.6,B1001,B0100,A0100,24872.70642645749,-3193.3007379483024,6422.498402207765,780.4097705215308,MIDCOURSE,Trajectory,49.92199861413917
56.6,B1002,B0100,A0100,28045.782256260092,-3408.4965430881357,6489.594291487909,375.6102781648872,BOOST,Trajectory,53.10164284942029
56.800000000000004,B1001,B0100,A0100,24715.720311925197,-3186.774297579171,6421.277423953433,791.8061292683524,MIDCOURSE,Trajectory,49.698550922024374
56.800000000000004,B1002,B0100,A0100,27969.417031329092,-3405.3190072100174,6488.95530090403,389.9332060016568,BOOST,Trajectory,52.958887156941046
57.0,B1001,B0100,A0100,24556.45643070115,-3180.1570218452202,6420.037775540155,803.2052650658303,MIDCOURSE,Trajectory,49.472782210127725
57.0,B1002,B0100,A0100,27890.184197002498,-3402.0221541410733,6488.292285198247,404.3171822497961,BOOST,Trajectory,52.81321991831069
57.2,B1001,B0100,A0100,24394.914683789135,-3173.449333746153,6418.7776034246735,814.6037673710597,MIDCOURSE,Trajectory,49.24471169643544
57.2,B1002,B0100,A0100,27808.071607920832,-3398.6054810068717,6487.605137689466,418.76162128754163,BOOST,Trajectory,52.66464821380162
57.400000000000006,B1001,B0100,A0100,24231.09534003474,-3166.6515502317,6417.495064099525,825.9997666212785,MIDCOURSE,Trajectory,49.01432272883893
57.400000000000006,B1002,B0100,A0100,27723.067237092662,-3395.0684903379465,6486.893756098607,433.26591821718887,BOOST,Trajectory,52.513143202957764
57.6,B1001,B0100,A0100,24064.998633804953,-3159.766320619523,6416.1911971520185,837.3940885437453,MIDCOURSE,Trajectory,48.781633836976944
57.6,B1002,B0100,A0100,27635.15918151816,-3391.4106901034916,6486.158040090729,447.8294358572635,BOOST,Trajectory,52.358711048264034
57.800000000000004,B1001,B0100,A0100,23896.625206528886,-3152.7922020404453,6414.863271061025,848.7866386862543,MIDCOURSE,Trajectory,48.54662814607813
57.800000000000004,B1002,B0100,A0100,27544.335668077107,-3387.631594575411,6485.397889372691,462.4515076726049,BOOST,Trajectory,52.20132263658878
58.0,B1001,B0100,A0100,23725.97491141185,-3145.727893966291,6413.5127505478695,860.1780677401069,MIDCOURSE,Trajectory,48.309323146859654
58.0,B1002,B0100,A0100,27450.585059440175,-3383.730724499963,6484.613202300742,477.1314394911607,BOOST,Trajectory,52.04098388559634
58.2,B1001,B0100,A0100,23553.048887479796,-3138.576355180102,6412.139936207476,871.5624680730576,MIDCOURSE,Trajectory,48.0697027487258
58.2,B1002,B0100,A0100,27353.89585963132,-3379.7076075708924,6483.803877135081,491.86850678318734,BOOST,Trajectory,51.8776660489513
58.400000000000006,B1001,B0100,A0100,23377.848036947766,-3131.3370567569236,6410.745790961387,882.9434018410983,MIDCOURSE,Trajectory,47.8277851987051
58.400000000000006,B1002,B0100,A0100,27254.256720145913,-3375.561778589264,6482.9698107256545,506.6619563021115,BOOST,Trajectory,51.71137501149068
58.6,B1001,B0100,A0100,23200.373642958668,-3124.0104989114247,6409.328953621121,894.3156846635347,MIDCOURSE,Trajectory,47.58355463353311
58.6,B1002,B0100,A0100,27151.656445738747,-3371.292779961836,6482.11089980213,521.5110032575876,BOOST,Trajectory,51.54208252422327
58.800000000000004,B1001,B0100,A0100,23020.62760115914,-3116.5964877307947,6407.886540073556,905.6748083915195,MIDCOURSE,Trajectory,47.337030006255304
58.800000000000004,B1002,B0100,A0100,27046.0840007784,-3366.9001618538696,6481.227039671234,536.4148330007802,BOOST,Trajectory,51.36979451169737
59.0,B1001,B0100,A0100,22838.612356312824,-3109.096563335782,6406.416931247194,917.0254578533483,MIDCOURSE,Trajectory,47.088181203180056
59.0,B1002,B0100,A0100,26937.528515278966,-3362.383482730462,6480.318125410084,551.3725977271184,BOOST,Trajectory,51.19446766214997
59.2,B1001,B0100,A0100,22654.330398531256,-3101.512323474585,6404.91757250909,928.358954914269,MIDCOURSE,Trajectory,46.83701984740731
59.2,B1002,B0100,A0100,26825.979291790096,-3357.742309247,6479.384048599412,566.3834168389611,BOOST,Trajectory,51.01610027930933
59.400000000000006,B1001,B0100,A0100,22468.21548034818,-3093.861931634539,6403.394201820105,931.0417825541047,MIDCOURSE,Trajectory,46.583997585844365
59.400000000000006,B1002,B0100,A0100,26711.42581125559,-3352.976215857727,6478.424701334905,581.4463834607858,BOOST,Trajectory,50.8346991420888
59.6,B1001,B0100,A0100,22282.48894217891,-3086.2354869951614,6401.866470504904,927.5639406692108,MIDCOURSE,Trajectory,46.33132269156784
59.6,B1002,B0100,A0100,26593.85773857433,-3348.0847849556126,6477.4399814024255,596.5605588441942,BOOST,Trajectory,50.65023896194643
59.800000000000004,B1001,B0100,A0100,22097.454020219677,-3078.64470967751,6400.340067765176,924.1221407320079,MIDCOURSE,Trajectory,46.079319183115494
59.800000000000004,B1002,B0100,A0100,26473.264929139725,-3343.0676071207904,6476.429792921739,611.7249721890854,BOOST,Trajectory,50.46273006125582
60.0,B1001,B0100,A0100,21913.104720174484,-3071.0884679227024,6398.815873218356,920.6995030149728,MIDCOURSE,Trajectory,45.82796628059788
60.0,B1002,B0100,A0100,26349.6374356909,-3337.924281722535,6475.394045651601,626.9386138579243,BOOST,Trajectory,50.272147911534574
60.2,B1001,B0100,A0100,21729.437063793186,-3063.5692315288384,6397.292833073762,917.2976548235142,MIDCOURSE,Trajectory,45.57727877215177
60.2,B1002,B0100,A0100,26222.965516067972,-3332.654417315431,6474.332650856439,642.2004388345129,BOOST,Trajectory,50.07850135538482
