Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Velocity_m_s,Heading_deg,Status
0.0,A0100,-44535.365083419194,0.006895017402712256,5940.775481285376,6095.977526501209,365.3297024319223,359.9888383984318,ALIVE
0.0,A0200,-44535.31365815661,558.5262281664182,5940.789672922678,6096.015729422343,365.5173430071118,0.3571834809773641,ALIVE
0.0,B0100,44538.04007153598,-0.004927335012325784,5940.80124155181,6096.015684229562,365.65578072863536,180.370695922536,ALIVE
0.0,B0200,44538.1259316954,545.013729284623,5940.924814226295,6096.163056537492,365.041279735011,179.67142680364964,ALIVE
0.2,A0100,-44462.35746398843,0.03062083522308967,5941.225649183429,6095.919250646738,364.7172632470928,359.7852211943826,ALIVE
0.2,A0200,-44462.235301683344,558.6421125465749,5941.386283930829,6096.103411618013,364.77524985182646,1.4923806794523231,ALIVE
0.2,B0100,44464.935536528705,-0.09799342920450727,5941.345816932204,6096.051139302206,365.24074139162116,180.26329927325307,ALIVE
0.2,B0200,44465.23321901579,545.2482365965443,5942.157593698186,6096.888191983974,363.9959928848833,179.36647442653864,ALIVE
0.4,A0100,-44389.463246504754,0.057784557255217806,5941.716081961904,6095.902860724649,364.2570552229865,359.85485679262683,ALIVE
0.4,A0200,-44389.2701260417,559.4593374016149,5942.779598977526,6096.989462018725,363.16225869071457,3.873324059405677,ALIVE
0.4,B0100,44391.96034273866,-0.362334610274047,5942.279543027998,6096.477470590014,364.5410310059749,180.3577620892456,ALIVE
0.4,B0200,44392.5853593435,546.1143384999923,5943.912710173259,6098.1382383206255,362.45875274010945,177.30598860793881,ALIVE
0.6000000000000001,A0100,-44316.668912713765,0.08381211679807166,5942.135578364929,6095.8170605259775,363.6404112087622,359.66706753189055,ALIVE
0.6000000000000001,A0200,-44316.52380463777,561.7366710143724,5945.116551531446,6098.821606592238,361.86680729985596,6.184226223550877,ALIVE
0.6000000000000001,B0100,44319.11870705169,-0.7230522615627706,5943.646797890669,6097.33907999416,364.07422299133583,180.74701310603612,ALIVE
0.6000000000000001,B0200,44320.30227559991,548.7714891970827,5946.37729543696,6100.10124591499,359.5341197833761,172.0976624552699,ALIVE
0.8,A0100,-44243.98792424652,0.09311351926953648,5942.574664366848,6095.7524636331445,363.18964365881436,359.7555797770374,ALIVE
0.8,A0200,-44244.08727266119,565.9612609923824,5947.959972464465,6101.163353709573,360.40491151410095,8.63127223426802,ALIVE
0.8,B0100,44246.34120380114,-1.1687220545991295,5945.170943496494,6098.35885096069,363.68348348588006,180.29202708113343,ALIVE
0.8,B0200,44248.53944708376,554.1103138763865,5949.0448109119025,6102.271832010189,357.1202153479133,169.2461544024616,ALIVE
1.0,A0100,-44171.4045926078,0.08691396632639226,5942.932969776892,6095.6085899397885,362.58735165488275,359.57401428696164,ALIVE
1.0,A0200,-44172.16898156524,572.6722641159977,5951.20779062534,6103.914117330837,358.72624550225885,10.716236885376649,ALIVE
1.0,B0100,44173.67034608981,-1.6206853333551408,5946.341201269697,6099.026308841265,362.93095709737327,180.4609510147952,ALIVE
1.0,B0200,44177.27453347601,561.870849537614,5951.526389543298,6104.260950798047,357.20445471737094,168.98228711323137,ALIVE
1.2000000000000002,A0100,-44098.93122150431,0.049666538940073224,5943.306378175686,6095.481402310056,362.1586459415819,359.6751192197644,ALIVE
1.2000000000000002,A0200,-44100.98207349466,581.9713225976193,5955.36261241142,6107.577962595981,357.0174067666106,12.374968011016284,ALIVE
1.2000000000000002,B0100,44101.07753356386,-2.120837345290056,5947.08199761805,6099.265680754844,362.6752906419922,180.91260262585132,ALIVE
1.2000000000000002,B0200,44106.21475863429,570.8427006177681,5953.948707097672,6106.193138249883,358.26396452020066,173.30052961883558,ALIVE
1.4000000000000001,A0100,-44026.550899048394,-0.013185831398004666,5943.596511536289,6095.272404785872,361.582495486675,359.4956948370384,ALIVE
1.4000000000000001,A0200,-44030.560826789835,593.3314474677463,5960.91582849798,6112.646442876864,355.3900375885115,13.96023785695387,ALIVE
1.4000000000000001,B0100,44028.60177964394,-2.784510697083533,5948.042988272631,6099.726873118803,362.1294797526737,181.23655598155165,ALIVE
1.4000000000000001,B0200,44035.125958085235,579.757194784368,5955.983515646934,6107.738423771587,358.0194983296686,175.55680585355455,ALIVE
1.6,A0100,-43954.27467707027,-0.11788586085094721,5943.899825321016,6095.078123395363,361.1880268314753,359.6053836969827,ALIVE
1.6,A0200,-43960.838459055245,606.3460274622448,5967.793988138894,6119.045597137928,353.91608207423053,15.430027609598204,ALIVE
1.6,B0100,43956.27819141069,-3.812950272456874,5949.67236409579,6100.858303917861,359.4125128061077,183.24996156505065,ALIVE
1.6,B0200,43963.95570620287,588.1461860919571,5957.082340432207,6108.347942506108,357.6409355411644,176.58498300398549,ALIVE
1.8,A0100,-43882.08424598622,-0.2556933232190204,5944.118078673751,6094.800190327156,360.6523171139096,359.4256073916476,ALIVE
