Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg
0.0,A0100,-44535.365083419194,0.006895017402712256,5940.775481285376,365.33902930284563,359.9888383984318,-0.46684319161921034,3.996719852276911
0.0,A0200,-44535.31365815661,558.5262281664182,5940.789672922678,365.5376020422949,0.3571834809773641,0.48969975924734527,9.954689844772547
0.0,B0100,44538.04007153598,-0.004927335012325784,5940.80124155181,365.6763884109817,180.370695922536,0.48658677108346904,9.934991450149056
0.0,B0200,44538.1259316954,545.013729284623,5940.924814226295,365.0457910110157,179.67142680364964,0.28380694679253143,-10.088186169117023
0.2,A0100,-44462.35746398843,0.03062083522308967,5941.225649183429,364.72758688109155,359.7852211943826,-0.35827266085525705,0.8332282238385281
0.2,A0200,-44462.235301683344,558.6421125465749,5941.386283930829,365.1779582990318,1.4923806794523231,2.6765724789293497,30.284955278549226
0.2,B0100,44464.92024577961,-0.134131140071986,5941.399673010903,365.4429297174365,181.5147248685382,2.7070223846347923,30.276518858734196
0.2,B0200,44465.23321901579,545.2482365965443,5942.157593698186,364.002376021625,179.36647442653864,0.5951197677120544,-33.789509940310836
0.4,A0100,-44389.463246504754,0.057784557255217806,5941.716081961904,364.27616045701006,359.85485679262683,-0.6297137926742308,2.434420314183615
0.4,A0200,-44389.2701260417,559.4593374016149,5942.779598977526,364.5723707430975,3.873324059405677,5.35073064395076,50.566439563442586
0.4,B0100,44391.94481077413,-1.0239743541751523,5942.93884143039,364.33656647023696,183.74680235520754,6.164369032596628,35.99843469931373
0.4,B0200,44392.5853593435,546.1143384999923,5943.912710173259,362.63503934545264,177.30598860793881,2.1698509023315107,-57.7174497131393
0.6000000000000001,A0100,-44316.668912713765,0.08381211679807166,5942.135578364929,363.6577549285229,359.66706753189055,-0.468165248848441,-0.5883861642784637
0.6000000000000001,A0200,-44316.52380463777,561.7366710143724,5945.116551531446,363.6478593450074,6.184226223550877,6.036437982241013,71.72517006498124
0.6000000000000001,B0100,44319.34446180404,-3.3055927142158907,5946.174031128583,362.80585664830267,185.41078979553706,7.945811213404209,35.759552821968306
0.6000000000000001,B0200,44320.30227559991,548.7714891970827,5946.37729543696,361.10565703634154,172.0976624552699,4.269314078589163,-81.39793760308454
0.8,A0100,-44243.98792424652,0.09311351926953648,5942.574664366848,363.21295170860884,359.7555797770374,-0.7104946755905963,1.0855674019373964
0.8,A0200,-44244.08727266119,565.9612609923824,5947.959972464465,362.4344388207689,8.63127223426802,6.202292408601964,80.29149559155843
0.8,B0100,44247.19811691191,-7.069824468277147,5951.092138259632,361.4026612565415,187.20462310192363,9.278003729455783,49.280502734388996
0.8,B0200,44248.53944708376,554.1103138763865,5949.0448109119025,359.12259069422447,169.2461544024616,4.263864188550299,-92.01864873822532
1.0,A0100,-44171.4045926078,0.08691396632639226,5942.932969776892,362.6083930357073,359.57401428696164,-0.5405088518126757,-1.826106488530482
1.0,A0200,-44172.16898156524,572.6722641159977,5951.20779062534,360.56666689730787,10.716236885376649,6.383542787900766,66.78974499527142
1.0,B0100,44175.55440451295,-12.59754847228578,5957.307572397469,359.7880398551082,189.0753254699543,10.362766526997985,57.29321070557884
1.0,B0200,44177.27453347601,561.870849537614,5951.526389543298,358.41988154655746,168.98228711323137,3.9076172297557545,-78.30285855005124
1.2000000000000002,A0100,-44098.93122150431,0.049666538940073224,5943.306378175686,362.18397070071006,359.6751192197644,-0.7749377339227375,-0.11909955003405001
