Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Action_Type
0.0,A0100,13358399.998614145,6679248.695440171,6095.876793657732,244.01529886823096,0.19223143050759606,0.6728687999244273,2.2525892196964103,dive
0.0,B0100,13363966.00141262,6768207.310440141,6095.8767828821365,244.01533710101887,180.1922346986675,0.6728673176625919,2.2525910486798693,dive
0.4,A0100,13358400.11399962,6679345.796549199,6095.742725602225,242.22229620584514,0.2166644806946628,0.9559182169152156,0.9175961325474845,dive
0.4,B0100,13363965.882185549,6768110.180018371,6095.807128277716,242.45879015977255,180.22743802550738,2.6718806746233956,0.9237734546356401,dive
0.8,A0100,13358400.300031392,6679442.282423302,6094.6490743830445,240.18049880490238,359.79888995794647,-5.4378698240048875,4.843510176760197,dive
0.8,B0100,13363965.51257332,6768013.5722364215,6096.522993016908,240.81827679787725,180.18531121509466,3.4338870917963007,5.519987175044919,dive
1.2000000000000002,A0100,13358400.33382528,6679537.978423077,6090.349671916643,237.90954427870727,0.02896642893191804,-10.96386158656126,5.335635668075216,dive
1.2000000000000002,B0100,13363964.754328845,6767917.694326448,6097.983474166239,239.28367971948407,180.06708418974105,-0.9224206277729263,4.066628092581835,dive
1.6,A0100,13358400.019528689,6679632.65890903,6081.094320100379,236.99499020620095,359.9611073505107,-9.443114071668841,3.90609024446224,dive
1.6,B0100,13363963.97758101,6767822.4781300295,6098.2213428580735,238.2259222768537,180.02083920398212,-2.0753048859782663,-3.758463300143268,dive
2.0,A0100,13358399.6710266,6679726.618045483,6069.5080171806785,236.73141292478348,0.08310156700904163,-8.30049889977988,10.611369498905809,dive
2.0,B0100,13363963.176839836,6767727.483977858,6097.072081504476,236.8910652080764,179.882064564504,3.0491986969965836,1.2587575199725987,dive
2.4000000000000004,A0100,13358399.405526457,6679820.028858144,6056.607645554701,234.20585182307735,359.39797542331075,-14.612561024449644,0.4488100617153115,dive
2.4000000000000004,B0100,13363962.362053538,6767633.034461817,6097.791043936811,235.09201250366814,180.0904367531343,5.855221666072422,2.738543672124112,dive
2.8000000000000003,A0100,13358398.948401444,6679912.362006956,6039.716061929199,232.4081455572867,359.1601370133249,-19.671123581920806,5.05953750824084,dive
2.8000000000000003,B0100,13363961.445424927,6767538.9782760255,6099.592620268071,235.5741650853343,180.13572118284816,-0.8563833634638615,5.467935070408271,dive
3.2,A0100,13358398.054593956,6680003.067688023,6017.516458652616,231.64958606704553,359.22816046324743,-23.31740153057216,-2.667409657489344,dive
3.2,B0100,13363960.579175005,6767444.99764923,6099.614428190437,234.84162493925692,179.48145524266081,-2.7154857046374015,-0.28306287721041656,dive
3.6,A0100,13358397.273199774,6680092.735001363,5990.1943020058125,235.91636202805103,359.42949271914193,-16.230055126102393,4.594403968537778,dive
3.6,B0100,13363959.866158234,6767350.936132255,6098.434702910078,236.01275257410643,179.87501814537168,1.3786193132069344,2.902640143802423,dive
4.0,A0100,13358396.522054585,6680183.310082591,5963.659987718985,235.23424310649818,359.85147829582166,-8.665977719194768,-2.7735337028698224,dive
4.0,B0100,13363959.072187606,6767256.6795972865,6097.725851063821,235.6140023427094,179.84257806444643,2.9961336143278126,2.6524159490721355,dive
4.4,A0100,13358395.706343306,6680274.789405992,5938.931554970518,237.9487492340179,0.11770053186396826,-15.10740868455281,1.8807882130157196,dive
4.4,B0100,13363958.018564623,6767162.456476526,6098.2619535492095,235.24628075302985,180.06119612365546,4.94544889404841,7.20135486790037,dive
4.800000000000001,A0100,13358394.958748149,6680366.383184244,5912.988460296706,237.65781073992696,359.4865818181372,-21.608627544394352,-4.609883245017768,dive
4.800000000000001,B0100,13363956.511327796,6767068.388099546,6100.121827890202,235.86923582991594,180.31939985369755,0.3297112174019631,4.98081338472707,dive
5.2,A0100,13358394.407608708,6680457.360239517,5883.659206420684,240.32023877630718,0.229860737688872,-21.00145932516328,-0.8410472853234869,dive
5.2,B0100,13363954.983099021,6766974.292382783,6100.620932320503,235.24848434766722,179.73261611428882,-1.685587941613517,-0.7482789150765664,dive
5.6000000000000005,A0100,13358394.083310917,6680548.872430724,5852.915335785592,241.28663229184983,0.28746648342203934,-11.311301235884754,-0.6863311678349506,dive
5.6000000000000005,B0100,13363953.593120432,6766880.102609809,6100.289942779685,236.21858139219327,180.10437793217335,2.392021874243874,2.466207774250298,dive
6.0,A0100,13358394.00423566,6680641.827072821,5825.048130019033,242.32839395961028,0.21481997130130182,-11.172519016510353,6.640944147719882,dive
6.0,B0100,13363952.136035774,6766785.7498627985,6100.597959147451,236.02645828893247,180.00550619252618,2.263207772210605,2.1706824222151466,dive
6.4,A0100,13358394.450203795,6680735.47143295,5799.074233973122,243.3492162007189,359.6147949396089,-18.140738350665373,-2.35502886830224,dive
6.4,B0100,13363950.692680547,6766691.407489996,6100.52693650108,235.82072053965655,179.34743503096772,-3.450934416600493,7.573183017862892,dive
6.800000000000001,A0100,13358394.939123962,6680829.067582665,5771.2652514298,245.62887655552845,0.08725325992565663,-18.814229557860877,2.5447699665720624,dive
6.800000000000001,B0100,13363949.429637622,6766597.2456219345,6099.14707786637,235.9595041751097,179.4521127740809,-1.1896279037687085,0.9030912145130751,dive
7.2,A0100,13358395.56703802,6680923.089040405,5742.340717490387,245.71321384955712,359.933344042054,-11.525656451273726,-2.4504415580990035,dive
7.2,B0100,13363948.336028533,6766502.974978059,6097.629924236038,235.28133720688965,179.58180016838156,4.541618465500883,0.355525161669492,dive
7.6000000000000005,A0100,13358396.116595756,6681018.00598573,5715.134185918272,247.89858876222007,0.4767287407789067,-16.870132283138414,-1.6087769943668866,dive
7.6000000000000005,B0100,13363947.274806969,6766408.69640038,6097.545735003716,235.91793558182906,179.3651009466758,1.3805879063902722,5.500530071798706,dive
8.0,A0100,13358396.753711453,6681113.034542132,5686.001450020668,248.63536339656662,0.08519117450281623,-22.27986296337833,2.1666796302961666,dive
8.0,B0100,13363946.158399923,6766314.540195681,6097.601173202089,235.6792567557898,179.3790388566046,0.005381974406186565,5.378365366390786,dive
8.4,A0100,13358397.2251475,6681207.9559684675,5655.066694880748,250.38222232729504,359.85168683214255,-13.64983511406009,-5.65125384154941,dive
8.4,B0100,13363945.072543552,6766220.52174951,6098.021641158879,235.15217437342295,179.6323621363369,3.457379018939757,-1.3230168865824492,dive
8.8,A0100,13358397.461566752,6681304.164789258,5625.42615140039,251.60305099573907,359.89305479416805,-11.16304097595839,3.7106749107048644,dive
8.8,B0100,13363944.076639298,6766126.500325143,6099.010026519576,235.34768389433694,179.37888637418249,0.8969372532746627,3.9974647471795177,dive
9.200000000000001,A0100,13358397.889348287,6681401.572136258,5599.191535156176,250.67669184461414,0.017876078010911522,-6.347685141062386,0.009500787877319113,dive
9.200000000000001,B0100,13363943.196881197,6766032.591558168,6099.271478705586,234.2474280795237,179.0195488184044,-4.774472446188667,3.7051082696025612,dive
9.600000000000001,A0100,13358398.285530295,6681500.210594934,5578.053951222316,249.00914704187898,0.25606052688286557,-0.9655099687459708,-1.4403183774660615,dive
9.600000000000001,B0100,13363942.659788353,6765938.909011621,6098.037147047219,234.92605894727475,179.17767540832094,1.09057560897861,-2.881263989260846,dive
10.0,A0100,13358398.630183322,6681599.595089987,5562.169611773005,251.58707188241536,0.3395314314575774,-5.1362060302255745,0.9314232690297385,dive
10.0,B0100,13363942.340295797,6765844.92289272,6097.121057095412,234.7516385539653,179.2005116418061,4.0710209708480525,2.5501388097472466,dive
10.4,A0100,13358399.122846888,6681699.3465551725,5547.07553655392,252.72050480729536,0.2407805667168274,-12.017589491960154,5.710971402614784,dive
10.4,B0100,13363942.055371633,6765751.010686671,6097.547375765893,235.35416170683723,179.2827674750598,-0.5185608984329938,6.830685114893655,dive
10.8,A0100,13358399.453675736,6681798.789160098,5528.966121255371,251.61087272896708,359.7610795522032,-17.92196678123965,5.1133196627210475,dive
10.8,B0100,13363941.901991446,6765657.134589147,6096.8370585169405,234.59649925567496,178.66665753472356,-2.54266761436561,2.305786172859514,dive
11.200000000000001,A0100,13358399.29950714,6681896.869823951,5505.608373625883,249.7069379721309,359.779268568749,-23.030428341083876,0.13596123528530388,dive
11.200000000000001,B0100,13363941.937573383,6765563.397073371,6095.599196025083,234.0528265412471,179.02064942953038,4.09122739905539,1.2623528877885402,dive
11.600000000000001,A0100,13358398.961335696,6681993.051767326,5475.717485282537,252.73561754613198,359.992685970986,-20.469616233572843,5.409629482417352,dive
11.600000000000001,B0100,13363942.073201356,6765469.753748914,6096.277970224142,233.28981258188472,179.35822151110017,6.539922530944371,5.167821616836535,dive
12.0,A0100,13358398.04366527,6682089.710510251,5445.650178423196,253.10352539524968,359.20071122702194,-11.590997636925698,-20.226378185683977,dive
12.0,B0100,13363942.073478714,6765376.266678162,6098.31921421651,234.00104953610193,178.89351684468105,-0.14959869727108846,3.397349553170253,dive
12.4,A0100,13358395.128395334,6682187.786402303,5418.451438675395,256.0406671315633,359.983977831786,-13.014303570497855,1.5964253312150507,dive
12.4,B0100,13363942.348961841,6765282.792463003,6098.594171874717,232.89851965826156,178.27394737869855,-5.500370904809219,9.568351436011131,dive
12.8,A0100,13358392.267515855,6682286.582147484,5390.229204304585,257.419578802737,358.3564304688951,-18.60187761852119,9.169778663536798,dive
12.8,B0100,13363942.997715134,6765189.615138918,6096.9676149828765,233.36427867514658,178.79671821941778,0.14696431616237296,3.064801319944445,dive
13.200000000000001,A0100,13358389.389983557,6682385.43317363,5361.602338550082,257.04582213251473,358.37823681879695,-11.233676206705116,-3.6744366535510284,dive
13.200000000000001,B0100,13363943.685431207,6765096.431238165,6095.686536978409,232.17235726300433,179.16006173173972,5.483579834270588,2.4168503603769564,dive
13.600000000000001,A0100,13358386.066564778,6682485.1132076625,5335.302319937808,258.5789283935319,358.8964920914984,-14.840502177912862,-1.5714386957849393,dive
13.600000000000001,B0100,13363944.19522526,6765003.305034813,6096.091414638403,232.98777665756148,179.0645630252698,2.2555532661289464,6.994416166954084,dive
14.0,A0100,13358382.649904264,6682584.859755981,5307.890102047008,258.9571299896067,359.0728707099656,-21.37060546812584,2.752551784214834,dive
14.0,B0100,13363944.569361292,6764910.274578391,6096.471553430978,232.36569221837783,178.57705246677892,-3.6264476431902213,4.833560308077436,dive
14.4,A0100,13358379.111180738,6682684.007130657,5276.498139703676,261.0657362450323,358.5231468781886,-18.77829087310119,-4.9799702216523105,dive
14.4,B0100,13363945.221336793,6764817.467930136,6095.783307495609,232.26159073154295,178.8263399242452,1.8534441917941649,-1.8543618397933197,dive
14.8,A0100,13358375.019069951,6682783.98854133,5245.467907097626,261.0596472718983,358.2643383082872,-9.037322680016764,-0.9244496254736109,dive
14.8,B0100,13363946.024740068,6764724.605026173,6095.5516537996,231.7546988615494,178.918194158398,4.78446991342833,3.431905626749914,dive
15.200000000000001,A0100,13358370.182794277,6682885.836818856,5219.637269959286,259.64750240383836,358.2281634710739,-3.1157327345419006,-5.644568085860634,dive
15.200000000000001,B0100,13363946.76808759,6764631.870780414,6096.723530440208,232.42484239050518,178.94035912759904,0.19635720622174727,7.475135121357187,dive
15.600000000000001,A0100,13358364.390868148,6682989.038732606,5200.471452617991,260.9205044805099,358.076056149502,-2.054038194783395,-2.429614711451811,dive
15.600000000000001,B0100,13363947.617618198,6764539.158878061,6096.838631684679,231.68201384561445,178.27046473094563,-1.8952383919723503,3.0969034478232818,dive
16.0,A0100,13358357.925985908,6683093.061260396,5186.528602782557,262.66876996977163,358.1028707464843,-2.252046603022716,-0.7956153320744014,dive
16.0,B0100,13363948.650722042,6764446.559890582,6096.244535702903,231.66388443520046,178.61935396745508,2.5083854109973123,1.9306931145426822,dive
16.400000000000002,A0100,13358351.208649484,6683197.615011678,5174.379795506314,263.8710756373481,358.05594387446075,-9.089076260416105,1.7545056519439564,dive
16.400000000000002,B0100,13363949.773811,6764353.986911329,6096.739980857787,231.0041419966682,179.00804701000527,5.553858385740374,5.889760368509883,dive
16.8,A0100,13358344.426185146,6683302.113578026,5159.76032185269,263.16573822432997,358.0692173352273,-14.812369951032212,1.7291551089676178,dive
16.8,B0100,13363950.764908683,6764261.489239838,6098.111000754887,231.4546875985514,178.33048038341212,-1.0846496155501868,4.3942364454977545,dive
17.2,A0100,13358337.53860192,6683405.573724296,5139.7652707768775,261.7068753778882,358.02930076200823,-19.52167220643446,1.3793930020665122,dive
17.2,B0100,13363952.012380712,6764169.138410371,6098.2543373387225,230.7405765838901,178.0532684002337,-1.5342236590320835,-1.0914813462533344,dive
17.6,A0100,13358330.444680108,6683507.324736462,5112.814411246446,262.4304827592469,357.63543112605475,-22.689814008424918,4.5036137087205255,dive
