Time_s,Missile_ID,Launcher_ID,Target_ID,X_m,Y_m,Z_m,Velocity_m_s,Status,Data_Type,Range_to_Target_km,Fuel_Remaining_pct
46.6,A1001,A0100,B0200,-29793.23861886928,-2488.664400136768,6099.543847279563,335.36195582552153,BOOST,Trajectory,59.80009400386605,50.0
46.800000000000004,A1001,A0100,B0200,-29724.71020946075,-2492.545223836862,6100.436607554362,352.52097046305795,BOOST,Trajectory,59.671595779491554,50.0
47.0,A1001,A0100,B0200,-29652.747228379805,-2496.5972382342816,6101.362927376429,369.7573645882779,BOOST,Trajectory,59.53998675000305,50.0
47.2,A1001,A0100,B0200,-29577.334263963017,-2500.820864221261,6102.322593584349,387.0704757199302,BOOST,Trajectory,59.40572070751876,50.0
47.400000000000006,A1001,A0100,B0200,-29498.45603765215,-2505.2161476175384,6103.3151980906,404.4569863941137,BOOST,Trajectory,59.269180199326186,50.0
47.6,A1001,A0100,B0200,-29416.098477154632,-2509.7697287235846,6104.3335085685285,421.905890424096,BOOST,Trajectory,59.13050564598189,50.0
47.800000000000004,A1001,A0100,B0200,-29330.24737659764,-2514.47583471492,6105.373972422934,439.429617070757,BOOST,Trajectory,58.98977751416673,50.0
47.800000000000004,B1001,B0100,A0100,29915.11503113968,4740.315134761881,6161.107575770862,309.17556255692153,BOOST,Trajectory,59.770431063165695,50.0
48.0,A1001,A0100,B0200,-29240.887883490635,-2519.335338035191,6106.43633507871,457.0274163612224,BOOST,Trajectory,58.84704961842514,50.0
48.0,B1001,B0100,A0100,29852.456255953362,4732.670067892381,6161.045929363896,323.2418167771097,BOOST,Trajectory,59.64487580317324,50.0
48.2,A1001,A0100,B0200,-29148.00530172573,-2524.349213002189,6107.520356259281,474.69850708389953,BOOST,Trajectory,58.70235256671097,50.0
48.2,B1001,B0100,A0100,29786.999262120662,4724.683142864209,6160.981527820332,337.3709685630117,BOOST,Trajectory,59.51656696688238,50.0
48.400000000000006,A1001,A0100,B0200,-29051.585097816762,-2529.5185308451096,6108.625800083282,492.44207456814325,BOOST,Trajectory,58.55575516885682,50.0
48.400000000000006,B1001,B0100,A0100,29718.73163896369,4716.352608784225,6160.914365824977,351.56248822529125,BOOST,Trajectory,59.385476533236655,50.0
48.6,A1001,A0100,B0200,-28951.61290748137,-2534.844455826626,6109.752425542372,510.2572709376652,BOOST,Trajectory,58.4074862700299,50.0
48.6,B1001,B0100,A0100,29647.641083938037,4707.676722613832,6160.844446229005,365.81582017787855,BOOST,Trajectory,59.251674837077935,50.0
48.6,A1002,A0100,B0200,-29159.5459517112,-2523.8156972119805,6105.75128779531,333.1796516209644,BOOST,Trajectory,58.61566556758485,50.0
