Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
A1001,A0100,B0200,44.400000000000006,105.60000000000001,61.2,1046.34697865894,541.9544551779207,42.793371866503996,MISS
A1002,A0100,B0200,46.400000000000006,105.60000000000001,59.2,1044.3213884306688,553.4251125274409,41.851381179332705,MISS
A2001,A0200,B0200,54.0,105.60000000000001,51.60000000000001,1111.428681705727,652.506602646083,41.42974395705927,MISS
A2002,A0200,B0200,56.0,105.60000000000001,49.60000000000001,1121.763159864375,640.2614557004931,39.84992082314484,MISS
