time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.041,99.864,-0.588,359.851,248.952
0.800,0.078,149.714,-0.698,359.776,247.875
1.000,0.111,199.426,-0.333,359.949,245.534
1.200,0.152,248.980,0.591,0.222,244.025
1.400,0.236,298.337,2.204,0.072,243.495
1.600,0.331,347.456,4.601,359.987,242.999
1.800,0.421,396.392,7.536,0.052,242.481
2.000,0.529,445.162,10.907,0.001,242.180
2.200,0.674,493.765,14.625,359.584,242.763
2.400,0.821,542.218,18.574,359.499,242.741
2.600,0.965,590.571,22.469,359.759,242.076
2.800,1.133,638.802,26.527,0.013,239.846
3.000,1.329,686.783,31.374,359.913,236.224
3.200,1.413,734.367,37.393,359.591,233.065
3.400,1.283,781.589,44.500,359.311,230.776
3.600,1.000,828.542,52.526,359.298,229.688
3.800,0.694,875.251,61.328,359.487,231.607
4.000,0.495,921.738,70.882,359.260,234.294
4.200,0.432,968.070,81.025,358.801,236.241
4.400,0.427,1014.397,91.369,358.519,237.331
4.600,0.432,1060.788,101.647,358.231,237.404
4.800,0.422,1107.177,111.857,358.564,237.400
5.000,0.399,1153.616,121.991,359.296,237.222
5.200,0.408,1200.080,132.331,0.137,235.312
5.400,0.532,1246.384,143.284,0.748,233.267
5.600,0.807,1292.344,155.077,0.552,234.083
5.800,1.133,1338.056,167.511,0.635,235.877
6.000,1.466,1383.781,180.062,1.071,237.172
6.200,1.827,1429.690,192.321,1.204,237.796
6.400,2.208,1475.800,204.139,0.807,237.659
6.600,2.583,1522.080,215.411,0.042,236.976
6.800,2.937,1568.424,226.185,0.178,237.214
7.000,3.295,1614.882,236.519,1.006,238.128
7.200,3.705,1661.448,246.736,2.096,237.323
7.400,4.260,1707.998,257.262,3.049,234.979
7.600,5.044,1754.277,268.608,3.503,232.589
7.800,5.989,1800.143,280.970,3.793,230.981
8.000,7.011,1845.678,294.055,3.911,232.231
