Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.200,89.073,89.075,89.075,89.073,5941.022,5940.643,5940.763,5940.796,364.767,365.563,365.339,365.324,0.530,0.881,-0.559,-0.208,0.011,0.343,0.348,0.016,1,1,coordination,coordination
0.400,88.928,88.929,88.929,88.927,5943.276,5940.182,5941.213,5941.521,363.214,364.918,364.728,364.730,2.670,3.021,-1.068,-0.717,0.215,0.549,0.145,0.188,1,1,attack_maneuver,coordination
0.600,88.783,88.784,88.783,88.782,5947.571,5939.777,5941.703,5942.500,361.188,364.536,364.276,364.270,4.659,5.011,-5.685,-5.333,0.147,0.481,0.216,0.119,1,1,attack_maneuver,coordination
0.800,88.638,88.640,88.638,88.636,5953.113,5940.327,5942.123,5943.693,359.306,363.469,363.658,363.661,8.402,8.755,-5.318,-4.966,0.337,0.676,0.030,0.309,1,1,attack_maneuver,lock_on
1.000,88.494,88.496,88.493,88.491,5958.933,5941.618,5942.562,5945.093,357.863,362.052,363.213,363.221,12.179,12.532,-8.879,-8.526,0.253,0.587,0.121,0.213,1,1,attack_maneuver,lock_on
1.200,88.351,88.353,88.348,88.346,5964.519,5943.635,5942.920,5946.492,356.502,360.528,362.609,362.598,15.090,15.443,-10.928,-10.574,0.440,0.777,0.056,0.393,1,1,attack_maneuver,lock_on
1.400,88.209,88.211,88.204,88.202,5969.960,5946.155,5943.293,5947.942,354.852,359.046,362.184,362.153,17.278,17.632,-13.364,-13.010,0.347,0.683,0.051,0.285,1,1,attack_maneuver,lock_on
1.600,88.067,88.069,88.061,88.059,5975.500,5948.919,5943.583,5949.321,352.901,357.553,361.606,361.548,19.352,19.706,-15.749,-15.395,0.536,0.873,0.120,0.457,1,1,attack_maneuver,lock_on
1.800,87.927,87.929,87.919,87.917,5980.940,5951.648,5943.887,5950.719,350.838,356.094,361.215,361.130,21.774,22.129,-18.109,-17.754,0.437,0.774,0.002,0.338,1,1,attack_maneuver,lock_on
2.000,87.788,87.790,87.778,87.776,5985.468,5954.057,5944.105,5952.033,349.430,354.690,360.676,360.565,24.532,24.887,-20.426,-20.070,0.630,0.968,0.170,0.508,1,1,attack_maneuver,lock_on
2.200,87.649,87.652,87.637,87.635,5988.719,5955.867,5944.334,5953.357,348.283,353.089,360.334,360.195,26.844,27.200,-22.705,-22.349,0.529,0.867,0.042,0.380,1,1,attack_maneuver,lock_on
2.400,87.512,87.515,87.498,87.496,5990.766,5957.075,5944.476,5954.593,346.949,351.418,359.855,359.688,28.763,29.120,-24.869,-24.512,0.727,1.066,0.210,0.549,1,1,attack_maneuver,lock_on
2.600,87.376,87.379,87.360,87.358,5991.824,5957.939,5944.627,5955.836,345.583,350.045,359.581,359.388,30.660,31.018,-27.045,-26.687,0.625,0.964,0.074,0.413,1,1,attack_maneuver,lock_on
2.800,87.242,87.245,87.224,87.221,5992.208,5958.442,5944.688,5956.988,344.493,348.837,359.180,358.960,32.635,32.993,-29.222,-28.864,0.829,1.169,0.242,0.582,1,1,attack_maneuver,lock_on
3.000,87.109,87.112,87.089,87.086,5992.443,5958.376,5944.754,5958.144,343.426,347.463,358.995,358.748,34.429,34.787,-31.398,-31.040,0.727,1.068,0.100,0.440,1,1,attack_maneuver,lock_on
3.200,86.977,86.980,86.955,86.952,5993.204,5957.805,5944.656,5959.206,342.238,345.808,358.915,358.419,36.168,36.527,-33.541,-33.182,0.777,1.279,0.107,0.610,1,1,attack_maneuver,lock_on
3.400,86.846,86.850,86.823,86.820,5994.937,5957.345,5944.559,5960.269,340.565,344.279,358.712,358.314,37.925,38.284,-35.623,-35.263,0.969,1.178,0.253,0.463,1,1,attack_maneuver,lock_on
