Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
B1001,B0100,A0100,44.400000000000006,106.2,61.8,962.9683791296616,456.8172966230668,40.64551009832937,MISS
B1002,B0100,A0100,54.400000000000006,106.2,51.8,943.9890897043823,494.8591447903188,34.89854284430572,MISS
A1001,A0100,B0100,60.2,168.4,108.2,1066.3528488750997,337.6789072768296,54.61851412836626,MISS
A1002,A0100,B0100,62.2,169.4,107.2,1066.6974186325895,337.2972954528412,54.05853670988708,MISS
B2001,B0200,A0100,71.0,106.2,35.2,911.2986826796395,505.3082203028853,23.556502556700586,MISS
A2001,A0200,B0100,80.80000000000001,188.60000000000002,107.80000000000001,1113.0336182917738,363.4953035674241,57.36889552875214,MISS
A2002,A0200,B0100,80.80000000000001,188.60000000000002,107.80000000000001,1113.0336182917738,363.4969149591438,57.36701892328413,MISS
B2002,B0200,A0100,81.0,106.2,25.200000000000003,855.1312769800576,577.5259825663701,16.668307277829506,MISS
