Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Action_Intent
0.0,A0100,-44535.365083419194,0.006895017402712256,5940.775481285376,365.33902930284563,359.9888383984318,-0.46684319161921034,3.996719852276911,
0.0,A0200,-44535.47458310485,558.5260142058542,5940.867482261334,363.6450153228866,0.21223810506919258,1.8386100281638547,3.8591178281737624,
0.0,B0100,44538.06233662912,-0.006901973258209182,5940.762917571155,365.33907027808175,179.98883680978878,-0.466845641154591,3.996717903717481,search
0.0,B0200,44538.141998681764,545.0155561710453,5940.986024489732,364.76686680530577,179.47006642575897,1.7772164801422368,-9.971323282384368,attack_maneuver
0.2,A0100,-44462.35746398843,0.03062083522308967,5941.225649183429,364.72758688109155,359.7852211943826,-0.35827266085525705,0.8332282238385281,
0.2,A0200,-44463.010145115266,558.6443500897658,5942.564953135152,361.14977948884314,0.797102591590915,7.734053385476257,9.358924973373801,
0.2,B0100,44465.05470463678,-0.030646787123259855,5941.213055026394,364.72766950397704,179.78522054380443,-0.3582820284995361,0.8332338664504304,lock_on
0.2,B0200,44465.380353396904,545.4819386379932,5943.239838171405,363.2142259920289,177.33014721070796,7.377310532349713,-33.215194733054105,attack_maneuver
0.4,A0100,-44389.463246504754,0.057784557255217806,5941.716081961904,364.27616045701006,359.85485679262683,-0.6297137926742308,2.434420314183615,
0.4,A0200,-44391.18322930656,559.125914713386,5946.262544089601,358.04971986827354,1.2800423202735336,9.054772732908287,14.97993275541312,
0.4,B0100,44392.16046617122,-0.057842221607643296,5941.703440585803,364.2762844255475,179.85485678607617,-0.6297350296407541,2.434443337263026,lock_on
0.4,B0200,44393.09643937966,547.4127875115119,5947.534495071828,361.1883301919493,175.34242659429367,8.480675044479684,-57.88038348230278,attack_maneuver
0.6000000000000001,A0100,-44316.668912713765,0.08381211679807166,5942.135578364929,363.6577549285229,359.66706753189055,-0.468165248848441,-0.5883861642784637,
0.6000000000000001,A0200,-44320.12465900984,560.2098353311958,5952.010957858609,354.9234116998215,2.36342210751428,11.417219904600868,20.920920381102835,
0.6000000000000001,B0100,44319.36610307458,-0.08391213148388488,5942.122873531109,363.6579205344644,179.66707028622832,-0.46819653967792607,-0.588342993194139,lock_on
0.6000000000000001,B0200,44321.38357468059,551.5482862967201,5953.0760182774575,359.30609535064747,171.60208951635798,9.113535420985553,-83.39002268169844,attack_maneuver
0.8,A0100,-44243.98792424652,0.09311351926953648,5942.574664366848,363.21295170860884,359.7555797770374,-0.7104946755905963,1.0855674019373964,
0.8,A0200,-44249.92844304709,562.1546185769694,5959.81745143003,351.65763305554145,3.6081097978212173,13.24480210876509,27.08018779488154,
0.8,B0100,44246.685076888156,-0.0932665435684612,5942.561881779304,363.21315836002634,179.75558519966947,-0.7105394323881301,1.0856392238898807,lock_on
0.8,B0200,44250.23058575227,558.2437693218944,5958.89804228381,357.86235083976607,167.8339741237075,8.41545583548295,-96.09643185819836,attack_maneuver
1.0,A0100,-44171.4045926078,0.08691396632639226,5942.932969776892,362.6083930357073,359.57401428696164,-0.5405088518126757,-1.826106488530482,
1.0,A0200,-44180.70622398196,565.2009003622479,5969.638787068907,348.10748322159566,4.746495718927584,14.98858051988211,24.386600579161517,
1.0,B0100,44174.101699334744,-0.08712838274186652,5942.920094908863,362.60864095676504,179.5740247018621,-0.5405635282207312,-1.8260094851460211,lock_on
1.0,B0200,44179.60166864185,567.3977597308822,5964.482716901119,356.5015820855459,164.93246928978786,7.537495821282678,-90.00388234459994,attack_maneuver
1.2000000000000002,A0100,-44098.93122150431,0.049666538940073224,5943.306378175686,362.18397070071006,359.6751192197644,-0.7749377339227375,-0.11909955003405001,
1.2000000000000002,A0200,-44112.63996806358,569.285899029117,5981.692210885316,344.4263898814806,5.5111581694780165,16.814350667838628,9.99867034925574,
1.2000000000000002,B0100,44101.62827396094,-0.04995088038958784,5943.293398285394,362.18425937826066,179.67513437701732,-0.7750057718665224,-0.11896741385540333,lock_on
1.2000000000000002,B0200,44109.65054285582,579.1144021962937,5969.922544733057,354.85158498708205,162.75022331521475,7.145721570869075,-82.36224085672399,attack_maneuver
1.4000000000000001,A0100,-44026.550899048394,-0.013185831398004666,5943.596511536289,361.60547514102825,359.4956948370384,-0.6062575791205457,-2.953220026355477,
1.4000000000000001,A0200,-44045.809857755274,573.8165100510341,5996.067900437991,340.654825981736,5.109129399255457,18.909823191951073,-9.405413447886351,
1.4000000000000001,B0100,44029.247889133956,0.012825275620343746,5943.583413572011,361.60580485018085,179.49571741364727,-0.6063345244260661,-2.95306255221112,lock_on
