Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Action_Type
0.0,A0100,13358399.989897162,6679248.658392311,6096.0334314259535,243.52387133124586,359.77069357287695,0.6536468610225451,-4.769003505079126,左转
0.0,B0100,13363966.00141262,6768207.310440141,6095.8767828821365,244.01533710101887,180.1922346986675,0.6728673176625919,2.2525910486798693,左转
0.4,A0100,13358399.613438476,6679345.503424948,6096.810435304374,241.81624945278148,359.9350992978842,1.465030621616474,-4.850336718566391,左转
0.4,B0100,13363965.882185549,6768110.180018371,6095.807128277716,242.45879015977255,180.22743802550738,2.6718806746233956,0.9237734546356401,左转
0.8,A0100,13358399.144848641,6679441.832843778,6097.09595069274,240.45250304242455,359.62353499501387,0.5194695087868136,0.20421059617507495,左转
0.8,B0100,13363965.51257332,6768013.5722364215,6096.522993016908,240.81827679787725,180.18531121509466,3.4338870917963007,5.519987175044919,左转
1.2000000000000002,A0100,13358398.629806831,6679537.536497517,6097.436242341096,238.86356972572065,359.7474068671884,2.7170093757115286,4.025403261550369,左转
1.2000000000000002,B0100,13363964.754328845,6767917.694326448,6097.983474166239,239.28367971948407,180.06708418974105,-0.9224206277729263,4.066628092581835,左转
1.6,A0100,13358398.288459368,6679632.666730841,6098.300170820395,237.2211884647289,359.6338630265295,3.2755459696011915,3.6129130137376904,左转
1.6,B0100,13363963.97758101,6767822.4781300295,6098.2213428580735,238.2259222768537,180.02083920398212,-2.0753048859782663,-3.758463300143268,左转
2.0,A0100,13358398.191849047,6679727.17122962,6100.008075971756,236.06980286872533,359.43629207476937,0.9931310810793152,6.38300429098444,左转
2.0,B0100,13363963.176839836,6767727.483977858,6097.072081504476,236.8910652080764,179.882064564504,3.0491986969965836,1.2587575199725987,左转
2.4000000000000004,A0100,13358398.144847263,6679821.110339129,6101.262968434525,234.45417907930872,358.98042775186707,-0.5228428057360178,-2.106145473268346,左转
2.4000000000000004,B0100,13363962.362053538,6767633.034461817,6097.791043936811,235.09201250366814,180.0904367531343,5.855221666072422,2.738543672124112,左转
2.8000000000000003,A0100,13358397.869431114,6679914.867278146,6102.052797170574,234.7500490396119,359.1816400114491,2.8815252230242274,1.4681648404032304,左转
2.8000000000000003,B0100,13363961.445424927,6767538.9782760255,6099.592620268071,235.5741650853343,180.13572118284816,-0.8563833634638615,5.467935070408271,左转
3.2,A0100,13358397.474362796,6680008.616738839,6103.198270334477,234.58687119857603,359.1231811681953,1.7640940721208285,1.5419508816004996,左转
3.2,B0100,13363960.579175005,6767444.99764923,6099.614428190437,234.84162493925692,179.48145524266081,-2.7154857046374015,-0.28306287721041656,左转
3.6,A0100,13358396.93201715,6680102.359273769,6103.529996231148,234.13183548685075,358.5789556936288,-3.801052447254646,7.250159757724619,左转
