步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
474,2.7126683694780263,0.5815495354372741,1373.2612083960075,0.27490515546356414,"[[0, 0, 5, 29]]","[[33, 0, 5, 29]]"
475,2.6846680925822595,0.61018807512962,1436.3947766535723,0.2719453247511239,"[[33, 0, 5, 29]]","[[10, 0, 1, 29]]"
476,2.65550296155046,0.6464308878383481,1498.4341853018318,0.268884887328845,"[[10, 0, 1, 29]]","[[10, 0, 5, 29]]"
477,2.6266132799968256,0.6736800103302965,1559.1995798010646,0.2658660462067196,"[[33, 0, 5, 29]]","[[33, 0, 5, 29]]"
478,2.5979531554207003,0.7020492238989214,1619.0190476014748,0.2628816990061427,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
479,2.5624768439042875,0.7379205603200049,1677.376024761247,0.2592267545905714,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
480,2.535676216203308,0.7647848808479512,1734.2705650930209,0.2564490166607244,"[[33, 0, 18, 29]]","[[33, 0, 5, 29]]"
481,2.50807285788665,0.7928230723690839,1790.1219995150736,0.253598832093916,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
482,2.4729175805845562,0.828433301638167,1844.3579085619508,0.25000125954692104,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
483,2.446420222274498,0.8550480828404357,1896.9815955860192,0.24727639972174592,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
484,2.418800702691998,0.8828636574947517,1948.4454080619028,0.24444490228723045,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
485,2.383547641180413,0.9183023811558328,1998.1393480679092,0.2408558403961068,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
486,2.3571001147193575,0.9447410869481511,2046.0778928118389,0.23815251745451568,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
487,2.329518788997844,0.9724023666417771,2092.7464323348004,0.2353399426704409,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
488,2.2943127154026683,1.0077252682254227,2137.5090161219123,0.23176934912717703,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
489,2.2679474080442277,1.0340428752489856,2180.3893281542605,0.22908685800490008,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
490,2.240464700766914,1.0615997555360497,2221.9010547943144,0.22629578296860628,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
491,2.2053320307695925,1.0968519862944854,2261.387337511096,0.22274325787929058,"[[4, 0, 1, 29]]","[[4, 0, 1, 29]]"
492,2.1790497589965527,1.1230920832942968,2298.8796410424297,0.22007900270991643,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
493,2.1516361388146863,1.1505858904200705,2334.914980245848,0.21730410274441253,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
494,2.1165394197545067,1.1858046285818857,2368.819797359406,0.21376380704011563,"[[4, 0, 1, 29]]","[[4, 0, 1, 29]]"
495,2.0903112149370338,1.2120029258895468,2400.6330086775047,0.21111303824865063,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
496,2.0629320904396304,1.239466665900315,2430.910659526394,0.2083492056244352,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
497,2.0278419156752654,1.2746819155084328,2458.967465878667,0.20481673877367998,"[[4, 0, 1, 29]]","[[4, 0, 1, 29]]"
498,2.0016436276766374,1.300868173192001,2484.849600116802,0.2021757475271299,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
499,1.9742770277672073,1.328328840622073,2509.1278778049336,0.19941963316569056,"[[10, 0, 1, 29]]","[[10, 0, 1, 29]]"
500,1.939175133683096,1.3635657256019516,2531.1104971584114,0.1958921507333105,"[[4, 0, 1, 29]]","[[4, 0, 1, 29]]"
501,1.9129892180402077,1.3897656722667509,2550.8505903978617,0.19325828416591379,"[[33, 0, 1, 29]]","[[33, 0, 1, 29]]"
502,1.885619049918367,1.4172463244677724,2568.92935442498,0.19050748376480603,"[[0, 0, 1, 29]]","[[10, 0, 1, 29]]"
503,1.8504942368106323,1.444649365372308,2584.751332288665,0.186983097633993,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
504,1.8243207007231832,1.471673055566045,2598.56321017097,0.18435547011907893,"[[33, 0, 1, 29]]","[[4, 0, 1, 29]]"
505,1.7969314824307894,1.5057444911490503,2610.3675576308165,0.1816078538100487,"[[5, 0, 1, 29]]","[[10, 0, 1, 29]]"
506,1.761763497553256,1.5313807197704918,2619.846928521328,0.17808413000208,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
507,1.735577432301646,1.557697366103186,2627.323763785707,0.17546009638349083,"[[33, 0, 1, 29]]","[[10, 0, 1, 29]]"
508,1.708149012133065,1.591777069350197,2632.7741650266876,0.17271331758719077,"[[5, 0, 1, 29]]","[[4, 0, 1, 29]]"
509,1.6729199554413448,1.6173871371760635,2635.876250045981,0.16918817857506466,"[[4, 0, 1, 29]]","[[33, 0, 1, 29]]"
510,1.6467013488525089,1.6440019990293673,2636.949032128602,0.16656554679014485,"[[33, 0, 2, 29]]","[[10, 0, 1, 29]]"
511,1.619215087015828,1.678400200144336,2635.969974811541,0.16381762433724048,"[[5, 0, 1, 29]]","[[4, 0, 1, 29]]"
