步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
0,0.00037302894852554513,3.1412196173626503,5478.610411893364,0.0009497765242090538,"[[12, 24, 26, 2]]","[[12, 24, 26, 0]]"
1,0.00154034545036751,3.1400523203588517,5381.736441157741,0.0010829301085959766,"[[22, 10, 28, 7]]","[[22, 10, 28, 7]]"
2,0.0017426017230662788,3.139728531066953,5285.198716569872,0.0011201194311209499,"[[26, 10, 36, 0]]","[[26, 10, 6, 0]]"
3,0.002064179035831332,3.139651154377331,5188.854716017349,0.0011698360094057482,"[[22, 10, 36, 0]]","[[22, 24, 29, 7]]"
4,0.001286885420496148,3.1398660128729214,5092.83652342307,0.0011102669607932123,"[[22, 30, 29, 0]]","[[22, 38, 25, 7]]"
5,0.00038820587979460796,3.1398707221695443,4997.126485373107,0.0010391954313597506,"[[22, 30, 29, 0]]","[[22, 10, 25, 7]]"
6,6.74026021618384e-05,3.141535947180237,4901.717053460651,0.001026582920006367,"[[22, 10, 29, 0]]","[[15, 10, 26, 7]]"
7,0.0016723331663649503,3.139774696861372,4806.654463494155,0.0012072415031578803,"[[22, 10, 21, 3]]","[[22, 28, 40, 7]]"
8,0.0069148598790213,3.138945687512841,4711.925010162993,0.0017523982640826243,"[[11, 35, 36, 4]]","[[14, 31, 8, 0]]"
9,0.009260101446574097,3.139555216700009,4617.66145095541,0.002008574877555446,"[[20, 35, 33, 6]]","[[9, 21, 40, 0]]"
10,0.009110501136469835,3.1408727565105106,4523.804423838872,0.002016070249690338,"[[4, 31, 40, 9]]","[[27, 13, 40, 0]]"
11,0.007458352495028409,3.1398329582267994,4430.299752100477,0.0018741723694708488,"[[4, 31, 40, 7]]","[[27, 13, 29, 0]]"
12,0.0056944172294974655,3.1392279294452434,4337.076994229139,0.0017220261530212747,"[[22, 5, 40, 0]]","[[39, 15, 29, 0]]"
13,0.005289513026344442,3.139398763547971,4243.988097704735,0.0017068109066939938,"[[22, 5, 40, 0]]","[[22, 13, 8, 0]]"
14,0.0028229341621163347,3.1396797326762402,4150.945263582824,0.0014865482130789138,"[[22, 13, 40, 0]]","[[22, 21, 17, 0]]"
