步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
0,0.000372961,3.141212357,5478.605681,0.000949771,"[[12, 24, 26, 2]]","[[4, 20, 31, 0]]"
1,0.001542707,3.139401173,5381.720823,0.001083169,"[[22, 10, 28, 7]]","[[22, 10, 26, 7]]"
2,0.001754709,3.137895752,5285.163723,0.001121336,"[[26, 10, 36, 0]]","[[22, 10, 29, 7]]"
3,0.002100871,3.136760265,5188.83321,0.001173509,"[[22, 10, 36, 0]]","[[27, 28, 7, 4]]"
4,0.001350416,3.136956854,5092.795844,0.001116628,"[[22, 30, 29, 0]]","[[9, 28, 7, 1]]"
5,0.000482471,3.136496303,4997.079426,0.001048631,"[[22, 30, 29, 0]]","[[22, 28, 29, 1]]"
6,0.000204269,3.13596777,4901.609188,0.001040292,"[[22, 10, 29, 0]]","[[22, 10, 29, 7]]"
7,0.001468788,3.136087271,4806.436187,0.001186934,"[[22, 10, 21, 3]]","[[22, 10, 29, 7]]"
8,0.006639529,3.138218072,4711.517166,0.001724957,"[[11, 35, 36, 4]]","[[22, 10, 29, 7]]"
9,0.008939093,3.141200818,4616.94289,0.001976643,"[[20, 35, 33, 6]]","[[22, 23, 7, 0]]"
10,0.008808519,3.136829752,4522.630032,0.001986159,"[[4, 31, 40, 9]]","[[13, 35, 11, 0]]"
11,0.007232245,3.134780858,4428.690951,0.001851971,"[[4, 31, 40, 7]]","[[13, 23, 11, 6]]"
12,0.005559253,3.135394454,4335.174098,0.001709016,"[[22, 5, 40, 0]]","[[13, 20, 1, 11]]"
13,0.005239431,3.137276335,4241.960571,0.001702366,"[[22, 5, 40, 0]]","[[13, 21, 1, 11]]"
14,0.002814615,3.138470257,4148.875149,0.001486317,"[[22, 13, 40, 0]]","[[23, 13, 33, 7]]"
15,0.000560796,3.140174878,4055.79677,0.001288579,"[[22, 34, 8, 0]]","[[22, 13, 40, 7]]"
16,0.000397053,3.140014368,3962.688518,0.001301157,"[[22, 22, 33, 0]]","[[22, 16, 40, 7]]"
17,0.001316067,3.138636207,3869.503851,0.001423428,"[[22, 10, 21, 0]]","[[27, 33, 32, 11]]"
18,0.001195829,3.13835713,3776.210176,0.001443311,"[[22, 10, 30, 0]]","[[27, 10, 29, 0]]"
19,0.000895972,3.138928197,3682.869565,0.001446866,"[[22, 10, 33, 0]]","[[22, 10, 7, 7]]"
20,0.005243887,3.140973937,3589.539367,0.001916937,"[[20, 35, 33, 0]]","[[22, 10, 29, 5]]"
21,0.007702977,3.134683776,3496.250807,0.002199992,"[[20, 35, 33, 0]]","[[13, 23, 11, 6]]"
