步数,AO(角度偏差),TA(目标角度),距离(m),奖励,动作_ego,动作_enm
45,0.0046311729145996,3.113792052714305,1317.133728099655,0.004256359125282442,"[[20, 26, 32, 0]]","[[9, 24, 15, 1]]"
46,0.005883954930746106,3.104819433072871,1227.6795507506547,0.0046578048007702415,"[[31, 7, 32, 0]]","[[25, 24, 15, 1]]"
47,0.006364462715694212,3.108840257012478,1138.2484548078562,0.005025304539402922,"[[31, 7, 32, 0]]","[[25, 24, 29, 1]]"
48,0.008512872104243606,3.115335509829568,1048.6789447564065,0.0056146484505227075,"[[10, 33, 19, 0]]","[[25, 4, 29, 1]]"
49,0.011111739649876827,3.1110437097056813,959.1359586964084,0.006318769779635203,"[[10, 33, 19, 0]]","[[5, 4, 32, 1]]"
50,0.017470450659075057,3.0898337288168487,869.7551865510293,0.007489187148120625,"[[10, 33, 21, 0]]","[[9, 4, 15, 1]]"
51,0.029666984497743274,3.053764000319567,780.7454155446535,0.009362642577590449,"[[5, 16, 24, 0]]","[[0, 4, 15, 1]]"
52,0.05026635522250946,3.009858094186325,692.3154582133587,0.012238359912306759,"[[5, 16, 24, 0]]","[[10, 4, 38, 1]]"
53,0.08467931919919931,2.9558767309283405,604.6191448016369,0.016723945691805707,"[[5, 4, 24, 0]]","[[10, 4, 38, 1]]"
54,0.14168642215458746,2.8870572379256743,518.0206098922405,0.02380217102857872,"[[4, 0, 24, 0]]","[[0, 0, 32, 1]]"
55,0.21817514400995558,2.806452498279695,433.0638185430496,0.033336557883547675,"[[28, 0, 27, 9]]","[[39, 0, 13, 9]]"
56,0.3177602306602226,2.7040399163871767,350.4435130446578,0.046003060454430825,"[[28, 0, 27, 12]]","[[27, 0, 16, 9]]"
57,0.4656990101941933,2.544387385363205,272.0514009895433,0.06488147159506885,"[[28, 0, 24, 0]]","[[0, 0, 15, 1]]"
58,0.7260608453970955,2.2697041929446566,203.40127775601295,0.0970677711538624,"[[0, 0, 37, 0]]","[[8, 0, 15, 1]]"
59,1.1838793549698767,1.8068440334057931,158.08283122505972,0.149818102797231,"[[6, 0, 37, 7]]","[[6, 0, 14, 1]]"
60,1.7855598828210242,1.2108443093727863,156.9537018877177,0.21021083359591647,"[[6, 0, 24, 19]]","[[0, 0, 16, 5]]"
61,2.244239861975398,0.7568846080713658,199.4798774424505,0.24936414509919963,"[[28, 0, 27, 3]]","[[30, 3, 16, 5]]"
62,2.518307095039791,0.4861441889376297,264.3273481643756,0.27067535569138385,"[[0, 0, 3, 3]]","[[0, 3, 16, 5]]"
63,2.6890770040094,0.317908791350883,338.259253565496,0.2836456919146622,"[[0, 0, 16, 3]]","[[0, 3, 16, 5]]"
64,2.7978501686647257,0.2110471707002915,415.6495030697595,0.29178551119842633,"[[27, 0, 15, 3]]","[[30, 3, 16, 5]]"
65,2.8806079161844895,0.13032560435303797,494.2885250607846,0.2981559174834917,"[[0, 0, 36, 3]]","[[0, 3, 15, 5]]"
66,2.950220971450084,0.061888719622983396,573.0064806499414,0.3037328001920168,"[[0, 0, 36, 5]]","[[1, 0, 15, 5]]"
67,3.001735195059123,0.010535798362861988,651.1095850435476,0.30784094245855315,"[[27, 0, 36, 3]]","[[30, 0, 15, 5]]"
68,3.0492954229576825,0.03749758921876025,728.3591986695996,0.31178487504418684,"[[0, 0, 36, 5]]","[[1, 0, 15, 5]]"
69,3.0963284332444485,0.08608951624583165,804.270519557747,0.31584193688811585,"[[0, 0, 36, 2]]","[[1, 0, 22, 5]]"
70,3.1355797773957925,0.12791014615778093,878.4627021271538,0.31924326716448215,"[[0, 0, 36, 3]]","[[1, 0, 22, 5]]"
71,3.1175956702595533,0.1587771283164088,950.6842760634461,0.3170134102655243,"[[0, 0, 36, 3]]","[[30, 0, 13, 5]]"
72,3.0993528864565443,0.19137827534596064,1020.8877461044582,0.3148281939760692,"[[27, 0, 24, 3]]","[[1, 0, 15, 5]]"
73,3.085685628678638,0.22876811737091743,1088.9704931065423,0.31315584301133764,"[[27, 0, 32, 3]]","[[1, 0, 22, 5]]"
74,3.064783814694061,0.2589058100277752,1154.9675573145844,0.3108037623750912,"[[0, 0, 36, 4]]","[[27, 0, 13, 5]]"
75,3.0317791409900745,0.29342886026130893,1218.6590826129636,0.3072774203227369,"[[0, 0, 36, 4]]","[[1, 0, 22, 5]]"
76,3.00107104706578,0.33435585301435583,1279.448231704486,0.3040119872908151,"[[27, 0, 24, 3]]","[[1, 0, 22, 5]]"
77,2.966309410963679,0.36806316039959136,1337.3696110244455,0.3003668298664161,"[[0, 0, 14, 4]]","[[27, 0, 22, 5]]"
78,2.9254629907772123,0.4069508953975667,1392.3177279185406,0.2961348560161802,"[[0, 0, 24, 3]]","[[1, 0, 22, 5]]"
79,2.8933857764153137,0.45418387910960895,1443.930081659935,0.2927989526890603,"[[27, 0, 24, 3]]","[[1, 0, 34, 5]]"
80,2.8552826037139223,0.4937557450548846,1492.3178106371074,0.2888765094610263,"[[0, 0, 24, 3]]","[[27, 0, 22, 4]]"
81,2.808515745808841,0.5403416436264628,1537.3374397185141,0.2841018367606273,"[[0, 0, 24, 3]]","[[1, 0, 22, 5]]"
82,2.7695962859115193,0.5980615574787507,1578.617147334111,0.2801249525485668,"[[27, 0, 24, 3]]","[[1, 0, 34, 5]]"
83,2.7203629840221324,0.6481705129319885,1616.3077541075604,0.2751278559535211,"[[0, 0, 24, 3]]","[[30, 0, 22, 4]]"
84,2.656556923826579,0.7085390924285163,1650.262848374331,0.26868367790593334,"[[0, 0, 24, 3]]","[[1, 0, 34, 5]]"
85,2.598650807715787,0.7848822285922411,1680.1144354791722,0.2628392982873392,"[[27, 0, 24, 3]]","[[1, 0, 34, 5]]"
86,2.521489841477057,0.854321803168773,1706.062676973333,0.255077992008662,"[[0, 0, 14, 4]]","[[29, 0, 22, 4]]"
87,2.4142671731996765,0.9392247341526695,1727.974563398353,0.24431860486177878,"[[0, 0, 24, 2]]","[[1, 0, 34, 5]]"
88,2.3047257864100583,1.0485061806263198,1745.5067167676298,0.23333543622523192,"[[29, 0, 24, 5]]","[[1, 0, 34, 5]]"
89,2.151371022609811,1.1521795635109289,1758.9138976508666,0.21797815034104573,"[[0, 0, 14, 0]]","[[29, 0, 22, 4]]"
90,1.9256424425984024,1.2781059672276147,1768.0912617215154,0.19539055407674277,"[[2, 0, 14, 0]]","[[1, 0, 34, 4]]"
91,1.6800050160337452,1.4384562540057317,1772.7482004436883,0.17081939100309276,"[[33, 0, 17, 0]]","[[1, 0, 2, 4]]"
92,1.3764409094459589,1.5910966896423706,1773.2006544385129,0.14046226147535942,"[[4, 0, 14, 0]]","[[29, 0, 15, 4]]"
93,1.069705565393169,1.765652969469926,1769.4511248587232,0.10979469550017018,"[[33, 0, 19, 1]]","[[1, 0, 15, 20]]"
94,0.8168004159468345,1.9469151479885827,1761.3952533747229,0.08451708963508514,"[[4, 0, 4, 1]]","[[29, 0, 15, 20]]"
95,0.6304490083707874,2.1222339198512827,1748.9426161256633,0.0659021373852519,"[[32, 0, 4, 1]]","[[4, 0, 2, 22]]"
96,0.5061441163571411,2.297491167587057,1731.9625458271983,0.05349964421736425,"[[4, 0, 4, 1]]","[[4, 0, 2, 22]]"
97,0.39979966509124587,2.4361997227776313,1710.2769023153546,0.04290176133568656,"[[4, 0, 4, 8]]","[[29, 0, 17, 29]]"
98,0.3163129177414498,2.5272844945409885,1684.3982851185187,0.034597949592743864,"[[38, 0, 2, 18]]","[[29, 0, 2, 22]]"
99,0.24933440561608256,2.6001494398460947,1654.818890261487,0.027953094479924407,"[[4, 0, 4, 8]]","[[4, 0, 2, 4]]"
100,0.19201087404806402,2.680288676318015,1620.9863044184385,0.022283727490224847,"[[38, 0, 4, 20]]","[[4, 0, 4, 4]]"
101,0.16432343961113158,2.7535015276392523,1582.9731447816946,0.01958896313516431,"[[38, 0, 4, 8]]","[[29, 0, 9, 4]]"
102,0.15458472050578517,2.7972449979033986,1541.425682324572,0.018700119319096868,"[[4, 0, 4, 8]]","[[29, 0, 4, 4]]"
103,0.14413724449309803,2.82573662315995,1496.2440020810639,0.0177531934958048,"[[4, 0, 4, 20]]","[[4, 0, 4, 4]]"
104,0.1264133472742458,2.8483782988924706,1447.0320058230727,0.016094297079011527,"[[38, 0, 4, 18]]","[[23, 0, 4, 4]]"
105,0.11132195366947412,2.861748158555141,1394.323851710124,0.01471559286557968,"[[4, 0, 4, 8]]","[[23, 0, 4, 4]]"
106,0.08917572128490041,2.8731343139597363,1337.996900177568,0.012651710720847453,"[[4, 0, 4, 8]]","[[4, 0, 4, 22]]"
107,0.06350712589531742,2.8862864272616062,1278.0309217277074,0.010259922222435713,"[[38, 0, 4, 18]]","[[23, 0, 4, 20]]"
108,0.04909082786738938,2.897273394379612,1215.0613320820898,0.009020717511148114,"[[38, 0, 4, 8]]","[[4, 0, 4, 1]]"
