Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Altitude_m,Status
0.0,A0100,-44535.41289769446,0.006258897792577045,5940.765909023161,364.9261846776562,0.23611684582431403,6095.968287730104,ALIVE
0.0,A0200,-44535.3705386412,558.5291273392831,5940.741745795311,364.9270730446773,0.17049703277544628,6095.968200158232,ALIVE
0.0,B0100,44538.13991037992,-0.000909330825379584,5940.758648632338,364.4298537398338,180.0000621121246,6095.973788202864,ALIVE
0.0,B0200,44538.17258976813,545.0026413526612,5940.820688600528,364.6245163773128,180.00006594788186,6096.059257697475,ALIVE
0.2,A0100,-44462.459127460315,0.008462886824418092,5940.85807997261,364.64749579111196,0.33918358020633854,6095.552397750602,ALIVE
0.2,A0200,-44462.426128887826,558.5332341681424,5940.867168152732,364.4918311424169,0.16244074979402012,6095.585626755453,ALIVE
0.2,B0100,44465.36303932653,-0.0035610030390671454,5940.840010103137,362.97952067183115,180.00025400609613,6095.548319458929,ALIVE
0.2,B0200,44465.3624808672,545.0110884095393,5941.501884093206,363.5201369008895,180.00028159710268,6096.233377518842,ALIVE
0.4,A0100,-44389.55226298509,-0.0900433656788664,5940.428545696215,364.40851105414265,0.17660165956436422,6094.615973925716,ALIVE
0.4,A0200,-44389.57652374379,558.5352342418228,5940.616273581432,364.010685304198,359.98900870854806,6094.828236659843,ALIVE
0.4,B0100,44392.849390882395,-0.007847952878364595,5940.281595160875,361.81722933124365,180.00058734965586,6094.485747166899,ALIVE
0.4,B0200,44392.77324536104,545.0178475246103,5942.354199697613,362.41763394321686,180.0006282528785,6096.580977255821,ALIVE
0.6000000000000001,A0100,-44316.70475227846,-0.2913580396270845,5939.599838873837,364.1196550045298,359.86957405402524,6093.281630597377,ALIVE
0.6000000000000001,A0200,-44316.82372993988,558.5266293928034,5940.009497487103,363.5374468876757,359.8125791468256,6093.716474627522,ALIVE
0.6000000000000001,B0100,44320.596932844885,-0.013684241203009151,5939.23024126792,360.4832642099684,180.00092710553517,6092.932882052431,ALIVE
0.6000000000000001,B0200,44320.40788424222,545.0229793393719,5943.419951265612,361.3089779259481,180.0010908228855,6097.144385069436,ALIVE
0.8,A0100,-44243.915906904425,-0.6101635878367233,5938.483630040182,363.8572804375663,359.6323757272889,6091.661028743801,ALIVE
0.8,A0200,-44244.16855799941,558.470640673353,5939.06547646617,363.0582942470186,359.71412684134634,6092.268975819621,ALIVE
0.8,B0100,44248.59907636901,-0.02098663018659863,5937.621282356275,359.3759599162788,180.00145126444542,6090.825005001998,ALIVE
0.8,B0200,44248.26738601616,545.0265228287954,5944.714903815646,360.20589835370816,180.0016568837968,6097.939364895728,ALIVE
1.0,A0100,-44171.18148545052,-1.006594545680855,5937.196966338452,363.60381543970976,359.46798168566755,6089.871181331885,ALIVE
1.0,A0200,-44171.611253545794,558.3419289222911,5937.838455506051,362.5900080827054,359.6921281276529,6090.5399800065725,ALIVE
1.0,B0100,44176.85181368685,-0.029700912557018455,5935.560471674278,358.11991860896245,180.001837415265,6088.267830294433,ALIVE
1.0,B0200,44176.35087757812,545.0285002992041,5946.243533376637,359.11512934574125,180.0023166139429,6098.97037905998,ALIVE
1.2000000000000002,A0100,-44098.49488472413,-1.3548073812380608,5935.777737073049,363.38562864123105,359.38454059119033,6087.949929276109,ALIVE
1.2000000000000002,A0200,-44099.14811803783,558.163210249957,5936.39251424656,362.1526158564927,359.68862098084827,6088.59353836484,ALIVE
1.2000000000000002,B0100,44105.35758332177,-0.03973136402782984,5932.896274264567,356.82793248221884,180.00217755117322,6085.1098348702135,ALIVE
1.2000000000000002,B0200,44104.6561832591,545.0289205845729,5948.005637930157,358.0421345861461,180.00306215075096,6100.237203025567,ALIVE
1.4000000000000001,A0100,-44025.8463424365,-1.5593220904520422,5934.142307947484,363.2127319863504,359.4988385126449,6085.813571312866,ALIVE
1.4000000000000001,A0200,-44026.77143889851,557.9984903286131,5934.753076090368,361.7619201832632,359.67430269697536,6086.4550228809,ALIVE
1.4000000000000001,B0100,44034.133897190564,-0.0509592982907634,5929.4634300931175,355.59598696585766,180.00254038756688,6081.18587466597,ALIVE
1.4000000000000001,B0200,44033.179959950015,545.0277813670982,5949.999108365344,356.9924850396316,180.00388711485684,6101.737697278056,ALIVE
1.6,A0100,-43953.23393977012,-1.639672093115223,5932.18411426951,363.04025364046595,359.87663652913534,6083.35553071256,ALIVE
1.6,A0200,-43954.47063298201,557.9053100310884,5932.88675151445,361.4308389972593,359.6949703693225,6084.090974052072,ALIVE
1.6,B0100,43963.18829068424,-0.06328183104051277,5925.198818577879,354.4342629663394,180.00289635752983,6076.432873217503,ALIVE
1.6,B0200,43961.9176340414,545.0250709490883,5952.221098222635,355.9724637592985,180.00478628967377,6103.46897668173,ALIVE
1.8,A0100,-43880.66242112621,-1.6738522193481913,5929.87701854337,362.88535951108577,0.3371963187643363,6080.549701887507,ALIVE
1.8,A0200,-43882.23324021308,557.8908429429357,5930.730358514862,361.1739660968333,359.82531131844854,6081.4381237913585,ALIVE
1.8,B0100,43892.50944539782,-0.07664144843874965,5920.140041027884,353.64574940837775,180.00381775914906,6070.888343753305,ALIVE
1.8,B0200,43890.863242188,545.0207696626421,5954.668527992664,354.9893397573121,180.0057553926278,6105.4279137374015,ALIVE
2.0,A0100,-43808.1319418464,-1.6943400862801354,5927.2515221671,362.77401377259866,0.5711393500953814,6077.426585115356,ALIVE
2.0,A0200,-43810.04748097222,557.9117212501696,5928.243850306386,360.9707566573666,0.08668337052203856,6078.456339488679,ALIVE
2.0,B0100,43822.04848015802,-0.09115350697538815,5914.590382877945,352.95190926940705,180.00489562785356,6064.855220335311,ALIVE
2.0,B0200,43820.009233687364,545.0148509958653,5957.338314518278,354.0514172383885,180.00679089712708,6107.611366688937,ALIVE
2.2,A0100,-43735.63636924427,-1.69138145301622,5924.306801759349,362.7253835972756,0.450550334827393,6073.9853135874155,ALIVE
