Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Status
0.0,A0100,-44535.41289769446,0.006258897792577045,5940.765909023161,6095.968287730104,ALIVE
0.0,A0200,-44535.3705386412,558.5291273392831,5940.741745795311,6095.968200158232,ALIVE
0.0,B0100,44538.13380183335,-0.000909623237021151,5940.796324847175,6096.011420928061,ALIVE
0.0,B0200,44538.175790067864,545.0026428884739,5940.8452318619675,6096.083822667897,ALIVE
0.2,A0100,-44462.459127460315,0.008462886824418092,5940.85807997261,6095.552397750602,ALIVE
0.2,A0200,-44462.426128887826,558.5332341681424,5940.867168152732,6095.585626755453,ALIVE
0.2,B0100,44465.33070182208,-0.0035661994570546085,5941.171244907604,6095.879321225337,ALIVE
0.2,B0200,44465.372449625946,545.0110984068542,5941.656185440614,6096.387744498843,ALIVE
0.4,A0100,-44389.55226298509,-0.0900433656788664,5940.428545696215,6094.615973925716,ALIVE
0.4,A0200,-44389.57652374379,558.5352342418228,5940.616273581432,6094.828236659843,ALIVE
0.4,B0100,44392.76249925057,-0.007873400578318979,5941.24783815406,6095.451363198388,ALIVE
0.4,B0200,44392.80051899258,545.0178685995324,5942.733963869538,6096.960921734539,ALIVE
0.6000000000000001,A0100,-44316.70475227846,-0.2913580396270845,5939.599838873837,6093.281630597377,ALIVE
0.6000000000000001,A0200,-44316.82372993988,558.5266293928034,5940.009497487103,6093.716474627522,ALIVE
0.6000000000000001,B0100,44320.432017391584,-0.01374766178741993,5940.963227091819,6094.664682377253,ALIVE
0.6000000000000001,B0200,44320.462503942326,545.0230100684839,5944.097131363189,6097.821927707586,ALIVE
0.8,A0100,-44243.915906904425,-0.6101635878367233,5938.483630040182,6091.661028743801,ALIVE
0.8,A0200,-44244.16855799941,558.470640673353,5939.06547646617,6092.268975819621,ALIVE
0.8,B0100,44248.33824820186,-0.021117229911396862,5940.292534574455,6093.494387071806,ALIVE
0.8,B0200,44248.35894367671,545.0265587187223,5945.750881911423,6098.975952143678,ALIVE
1.0,A0100,-44171.18148545052,-1.006594545680855,5937.196966338452,6089.871181331885,ALIVE
1.0,A0200,-44171.611253545794,558.3419289222911,5937.838455506051,6090.5399800065725,ALIVE
1.0,B0100,44176.47816692895,-0.02992067704508372,5939.226631912257,6091.931319801405,ALIVE
1.0,B0200,44176.48910614889,545.0285337620771,5947.694889126109,6100.422655729634,ALIVE
