Time_s,Agent_ID,X_m,Y_m,Z_m,Altitude_m,Velocity_m_s,Heading_deg,Status
0.0,A0100,-44535.41291095916,0.007457173796865391,5940.7658549259595,6095.968233724952,364.9267954966751,0.19530390639031867,ALIVE
0.0,A0200,-44535.385287187266,558.5248436112852,5940.643557798794,6095.870116967932,364.60352376320355,0.05789751282031719,ALIVE
0.0,B0100,44538.14515576846,-0.0009091308656934416,5940.734323402066,6095.94950012438,364.2650084921783,180.00006009338622,ALIVE
0.0,B0200,44538.18879569555,545.0026455820862,5940.899383001535,6096.138063138915,364.33361721286605,180.00007140295537,ALIVE
0.2,A0100,-44462.45916445517,0.007050878048175946,5940.856674154473,6095.550992222295,364.65101614292274,0.25844197323011364,ALIVE
0.2,A0200,-44462.498598524966,558.3698636473528,5939.941702965076,6094.6606739963745,363.72771049898887,359.3088894919031,ALIVE
0.2,B0100,44465.39792056884,-0.003555645551386988,5940.511570009781,6095.220130035621,362.3680669243138,180.00023774030555,ALIVE
0.2,B0200,44465.45722144919,545.0111376818804,5942.341986284919,6097.074118621231,362.45231689933337,180.00032978076868,ALIVE
0.4,A0100,-44389.55186500802,-0.10449167122715153,5940.423712933412,6094.611138513878,364.41235854271645,0.0813634773172735,ALIVE
0.4,A0200,-44389.74969163241,557.5224361644905,5937.851907599288,6092.065052090934,363.01435009445174,357.48356713701617,ALIVE
0.4,B0100,44392.97064307485,-0.007810972614606726,5939.094252952407,6093.299275961548,360.5968039051187,180.00047932784764,ALIVE
0.4,B0200,44393.08472358462,545.017981346542,5945.073167843071,6099.302043661792,360.57633433859587,180.00076899499874,ALIVE
0.6000000000000001,A0100,-44316.70351805142,-0.3336182581515459,5939.596515886826,6093.278299132848,364.12494369504134,359.80024745321003,ALIVE
0.6000000000000001,A0200,-44317.145241557235,555.6542163126906,5934.936435276766,6088.645514325643,362.4693131237249,355.1689476056219,ALIVE
0.6000000000000001,B0100,44320.89743333405,-0.013536329861381091,5936.306611452932,6090.011406777496,358.9461356332746,180.00074774216972,ALIVE
0.6000000000000001,B0200,44321.128059454146,545.0232006058177,5949.2435646219055,6102.9728533489915,358.73988420623976,180.00138019223473,ALIVE
0.8,A0100,-44243.91424900234,-0.696132059685624,5938.496271856577,6091.673658786831,363.8503336333226,359.6130066856386,ALIVE
0.8,A0200,-44244.65375981874,552.7630289317858,5931.818834631182,6085.025371932078,362.0430746858104,353.4151974576918,ALIVE
0.8,B0100,44249.20322206963,-0.020589003857821808,5932.089253530219,6085.297292263189,357.39126314768714,180.00101222803846,ALIVE
0.8,B0200,44249.62983726991,545.0267857710769,5954.888633196781,6108.1222847365825,356.91684803961004,180.00215861790443,ALIVE
1.0,A0100,-44171.181374241816,-1.140930612484226,5937.24651391666,6089.920726979095,363.5871317537761,359.4995927792231,ALIVE
1.0,A0200,-44172.23999779765,549.16604258609,5928.987292088192,6081.692580698956,361.6448651976713,353.0529669898022,ALIVE
1.0,B0100,44177.90809317355,-0.028825822797443834,5926.428537162032,6079.143416489903,355.91795603113866,180.0012468080775,ALIVE
