kind,name,anomaly_cut_time_s,n_total_g_max,speed_violation_count,alt_violation_count,csv_path,acmi_path
basic,level_flight,32.4,4.938206531222595,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_level_flight.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_level_flight.acmi
basic,accelerate,22.8,5.833241949533117,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_accelerate.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_accelerate.acmi
basic,decelerate,29.400000000000002,5.753566988400163,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_decelerate.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_decelerate.acmi
basic,turn_level,,4.526323700441574,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_turn_level.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_turn_level.acmi
basic,pull_up,,4.589488798083692,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_pull_up.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_pull_up.acmi
basic,dive,,4.427368163602062,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_dive.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_dive.acmi
basic,diagonal_flight,,4.621757563109099,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_diagonal_flight.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_diagonal_flight.acmi
basic,crank,,4.553934074941265,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_crank.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\basic_crank.acmi
composite,turn_pull_up,,4.535346805616489,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\composite_turn_pull_up.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\composite_turn_pull_up.acmi
composite,short_skate_tactical,,4.8938450490127785,0,0,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\composite_short_skate_tactical.csv,D:\Pycharm\LAG\scripts\tacticalProject\air_combat_results\4_4_3\20251103_105909\composite_short_skate_tactical.acmi
