time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
25.200,603.013,6351.120,80.944,32.686,268.659
25.400,625.092,6400.353,73.512,34.339,268.661
25.600,648.514,6448.872,65.528,36.001,268.708
25.800,673.252,6496.685,57.198,37.685,268.733
26.000,699.230,6543.840,48.722,39.354,268.739
26.200,726.294,6590.447,40.167,40.894,268.818
26.400,754.458,6636.461,31.561,42.203,269.028
26.600,783.760,6681.800,22.895,43.395,269.356
26.800,814.227,6726.382,14.120,44.564,269.666
27.000,845.960,6770.048,5.289,45.818,269.842
27.200,878.913,6812.804,-3.477,47.134,269.938
27.400,912.969,6854.745,-12.052,48.489,270.000
27.600,947.976,6896.010,-20.448,49.806,270.100
27.800,983.931,6936.560,-28.670,51.019,270.286
28.000,1020.857,6976.313,-36.751,52.265,270.519
28.200,1058.754,7015.207,-44.770,53.592,270.776
28.400,1097.633,7053.154,-52.816,54.970,270.958
28.600,1137.569,7089.962,-60.873,56.394,271.037
28.800,1178.526,7125.621,-68.854,57.849,271.071
29.000,1220.433,7160.197,-76.630,59.213,271.061
29.200,1263.216,7193.759,-84.051,60.409,271.025
29.400,1306.776,7226.429,-90.995,61.536,270.981
29.600,1351.004,7258.366,-97.508,62.569,271.000
29.800,1395.892,7289.531,-103.579,63.512,271.113
30.000,1441.452,7319.835,-109.214,64.536,271.265
30.200,1487.685,7349.207,-114.473,65.667,271.454
30.400,1534.598,7377.551,-119.424,66.840,271.564
30.600,1582.217,7404.683,-124.000,68.065,271.543
30.800,1630.481,7430.656,-128.142,69.443,271.500
31.000,1679.305,7455.653,-131.939,70.838,271.467
31.200,1728.680,7479.620,-135.436,71.879,271.605
31.400,1778.614,7502.364,-138.525,72.683,271.729
31.600,1829.057,7523.835,-140.992,73.441,271.644
31.800,1879.883,7544.262,-142.611,73.888,271.406
32.000,1930.922,7564.059,-143.239,73.683,271.128
32.200,1982.005,7583.715,-142.952,72.734,270.820
32.400,2033.060,7603.531,-142.004,70.903,270.290
32.600,2084.057,7623.635,-140.500,68.698,269.507
32.800,2134.908,7644.135,-138.324,67.001,269.115
33.000,2185.607,7665.013,-135.463,66.344,269.848
33.200,2236.241,7686.133,-132.055,67.128,272.996
33.400,2286.948,7707.319,-128.402,67.566,275.056
33.600,2337.793,7728.448,-124.704,67.551,275.713
33.800,2388.752,7749.355,-120.808,69.440,275.003
34.000,2439.896,7769.834,-116.472,71.795,273.688
34.200,2491.241,7789.602,-111.502,73.436,272.777
34.400,2542.753,7808.412,-105.694,74.464,272.310
34.600,2594.354,7826.315,-98.974,75.173,272.015
34.800,2645.970,7843.513,-91.353,75.402,272.056
35.000,2697.545,7860.257,-82.933,74.933,272.927
35.200,2749.099,7876.830,-74.087,74.290,274.218
35.400,2800.741,7893.393,-65.392,74.615,274.473
35.600,2852.631,7909.888,-57.441,75.267,274.483
35.800,2904.789,7926.256,-50.456,75.632,274.494
36.000,2957.185,7942.501,-44.498,75.673,274.919
36.200,3009.795,7958.661,-39.493,75.453,275.896
36.400,3062.594,7974.773,-35.254,75.090,276.830
36.600,3115.552,7990.876,-31.477,74.693,277.587
36.800,3168.634,8006.975,-27.787,74.332,277.698
37.000,3221.708,8023.063,-23.842,74.293,277.296
37.200,3274.750,8039.125,-19.918,74.455,277.701
37.400,3327.807,8055.153,-16.356,74.340,277.222
