Time_s,Agent_ID,X_m,Y_m,Z_m,Velocity_m_s,Heading_deg,Pitch_deg,Roll_deg,Action_Type
0.0,A0100,-44585.73503398639,0.0017141581956821028,9844.39867296003,249.9455899798032,0.07260931819816845,0.4454100623803631,1.7513940771223453,climb
0.4,A0100,-44485.89410630614,0.043252505998680135,9844.50629778328,248.6899640912278,359.85115230186744,3.439458553444287,1.39584990962595,climb
0.8,A0100,-44386.34135505112,0.16374009470746387,9845.006990442522,247.48411106341314,359.8282459783202,5.00189100596894,6.408451189740287,climb
1.2000000000000002,A0100,-44287.227146107805,0.41743543595657684,9846.350966190392,247.40609221778192,359.4063741950434,2.059812050495628,0.1991542436571378,climb
1.6,A0100,-44188.43862157498,0.6297653055880801,9848.120335839038,244.1496011876286,359.1355759678958,8.767377501687138,-4.612362988816886,climb
2.0,A0100,-44090.34586459572,0.5282455151136674,9852.358480826084,239.32921805019032,358.9400209106396,14.829581037755458,-4.278622107871774,climb
2.4000000000000004,A0100,-43993.21044626029,0.15575637542133336,9859.756973437932,236.1015355218797,359.0733465837278,18.17781821011097,1.4913017664200863,climb
2.8000000000000003,A0100,-43897.58799686277,-0.3629450396838365,9871.651289208494,233.86423679447205,358.87674620383325,20.98636783097198,-10.346947077979834,climb
3.2,A0100,-43803.32817600075,-1.560610016753344,9887.894727693898,230.58618101400933,358.4602913502164,25.308005960463834,-3.8066773409966825,climb
3.6,A0100,-43710.24058379129,-2.9857036130852066,9907.45954424563,231.12704425562933,358.0579096507868,25.386880875328277,2.9137581006306625,climb
4.0,A0100,-43618.72251689214,-4.4690666652604705,9930.833977871138,232.79529580920618,358.1346183424226,23.755251199035285,-11.123280118510559,climb
4.4,A0100,-43528.34176855063,-6.5024396847475145,9956.959838795327,230.88588679466406,357.9796097700475,27.273928224013837,-7.735946023848897,climb
4.800000000000001,A0100,-43439.1677600982,-9.034833903118852,9985.88804968965,227.166625147935,356.62247796090304,32.286367263054096,-12.75053385701299,climb
5.2,A0100,-43352.33040780613,-12.635075728776428,10018.835282761042,227.4624225826309,356.81728849210674,32.24656858824729,-16.028277294829554,climb
5.6000000000000005,A0100,-43266.425201296544,-16.8144113400449,10053.402564112768,230.91620051008255,358.0922734146158,26.6185294248071,0.4073804979986712,climb
6.0,A0100,-43180.90928662905,-20.969424520455505,10088.735290588129,230.414726636352,357.1731561267325,27.108828966269506,-9.596986254964786,climb
6.4,A0100,-43096.426519351255,-25.56886898387893,10125.620739210122,229.44458846683492,356.6834508046791,29.261458443554172,-19.270742918800735,climb
6.800000000000001,A0100,-43012.34279421165,-30.678281963475456,10163.241616914956,228.61804754183768,355.8790125799488,31.465979852301857,-12.989634336339055,climb
7.2,A0100,-42929.03770473583,-36.2991441894992,10202.09825785762,227.80530180467562,354.715126355168,32.59684087436198,-18.218487655770634,climb
7.6000000000000005,A0100,-42847.251919149254,-42.93727224068425,10242.907324361788,226.89599332013947,354.031871502926,33.81169884391941,-24.92038900463415,climb
8.0,A0100,-42766.24682715687,-50.38456641967787,10284.668836388297,225.8874065829901,352.8747273511919,35.41707983123616,-19.22493034078768,climb
8.4,A0100,-42686.686785020574,-58.87289698445966,10328.02197317259,224.65525662243755,350.93674100061367,36.30019418528187,-35.62423344531018,climb
8.8,A0100,-42608.89739268165,-69.21661495791341,10372.931896790637,223.67750908367483,349.47866494637145,36.962931271228776,-48.943984034817106,climb
9.200000000000001,A0100,-42531.53326462802,-80.65569899765615,10417.983005201711,224.38175901767835,350.64806488159485,35.48116859563173,-38.93284939686977,climb
9.600000000000001,A0100,-42454.11752036291,-92.60635852048654,10462.787763856415,224.7776847214123,351.43611991811105,33.97488627498085,-24.45558813302626,climb
10.0,A0100,-42376.79638623411,-104.91179578370793,10507.496461693932,223.7973836105149,350.21747533780604,35.822266414344305,-13.473831927453618,climb
10.4,A0100,-42300.643157325736,-117.74226375576472,10553.268405950115,222.10929783628464,348.3724288725595,37.57131934824709,-26.852474211156707,climb
10.8,A0100,-42226.43153431272,-131.89894240161811,10600.546875966598,220.55224035147722,346.0097478851421,38.66478331901571,-53.35850893613128,climb
11.200000000000001,A0100,-42153.139015901725,-147.52141072126324,10648.123482519846,219.34080026719218,343.3345123481302,39.707514475596135,-56.2917847100625,climb
11.600000000000001,A0100,-42080.20518240077,-164.19064031146627,10695.568513021823,219.20287185805637,342.98165679000334,39.08081553448057,-43.842427154150236,climb
12.0,A0100,-42007.814244497014,-181.82370043058836,10743.035207707873,218.91971083395572,343.1581709882743,38.78489667603344,-28.362169703778584,climb
12.4,A0100,-41936.11434541365,-200.1243699268416,10790.781496747459,217.58112615825172,342.28271714607905,40.32661129030461,-15.825372086435813,climb
12.8,A0100,-41866.03064831064,-218.94418967991442,10839.691666692857,215.91291157578553,341.1356014278284,41.53422971118048,-25.072413077409752,climb
13.200000000000001,A0100,-41798.29767836853,-238.78472574703846,10890.089071250282,214.2315724610159,339.53771713690423,42.43664529875869,-47.347692551179684,climb
