Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Destroy_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Min_Distance_to_Target_km,Final_Status,Trajectory_Points
A1001,A0100,B0100,61.0,219.8,158.8,1614.034916343848,268.2079686616106,42.59142542346377,0.0,DESTROYED,795
A2001,A0200,B0100,89.60000000000001,219.8,130.2,1529.187561291216,339.61445929560426,44.21780260028767,0.0,DESTROYED,652
