Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Destroy_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Min_Distance_to_Target_km,Final_Status
B1001,B0100,A0100,42.0,116.80000000000001,74.80000000000001,958.1872786686431,604.420554898197,45.26165269123102,11.472178651815577,ACTIVE
B2001,B0200,A0100,42.0,116.80000000000001,74.80000000000001,957.503425825291,603.8054534193276,45.215599761751726,11.611585424111084,ACTIVE
B1002,B0100,A0100,52.0,126.60000000000001,74.60000000000001,960.0834213393849,609.9899137103674,45.55396431700613,10.49297251129363,ACTIVE
B2002,B0200,A0100,52.0,126.60000000000001,74.60000000000001,959.4289211570407,610.2445389477108,45.573012998577234,10.580370437921475,ACTIVE
A1001,A0100,B0100,57.2,105.2,48.0,1059.2301490781686,735.6868107672858,35.37194746473022,0.07732954971256596,ACTIVE
A1002,A0100,B0100,59.2,105.2,46.0,1060.387927394549,742.1536919250028,34.196694233995466,0.5768113747641738,ACTIVE
A2001,A0200,B0100,74.8,105.2,30.400000000000006,1109.8841713502509,855.2325282149649,26.05819592199109,10.696858432909544,ACTIVE
A2002,A0200,B0100,75.4,105.2,29.799999999999997,1109.8841713502509,863.6651304417613,25.793394992744258,10.69684919692692,ACTIVE
