Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km,Data_Type
44.2,B1001,B0100,R-27ER,ACTIVE,30496.996340547626,3710.241253862656,7274.852652256146,352.1456841012252,A0100,59.773414868921826,Trajectory
44.400000000000006,B1001,B0100,R-27ER,ACTIVE,30425.5033795407,3704.7786431409063,7273.336256011845,366.21061734579456,A0100,59.635666378107125,Trajectory
44.6,B1001,B0100,R-27ER,ACTIVE,30351.20054653491,3699.100841771332,7271.760220505551,380.33814536790896,A0100,59.4951330694748,Trajectory
44.800000000000004,B1001,B0100,R-27ER,ACTIVE,30274.075418577482,3693.206637359698,7270.124258921458,394.5278663295835,A0100,59.351830441600754,Trajectory
45.0,B1001,B0100,R-27ER,ACTIVE,30194.11566441083,3687.0947633328115,7268.428080356192,408.77923966917024,A0100,59.20571710342023,Trajectory
45.2,B1001,B0100,R-27ER,ACTIVE,30111.309093252297,3680.7636978847763,7266.671371763623,423.0917767593332,A0100,59.05681621259265,Trajectory
45.400000000000006,B1001,B0100,R-27ER,ACTIVE,30025.643570809,3674.212109269537,7264.853839622634,437.46510492288286,A0100,58.90508772581016,Trajectory
45.6,B1001,B0100,R-27ER,ACTIVE,29937.107051333987,3667.438701118167,7262.975202777392,451.8987244102442,A0100,58.7505295405245,Trajectory
45.800000000000004,B1001,B0100,R-27ER,ACTIVE,29845.68759144433,3660.4421781781734,7261.035188176073,466.39210998279236,A0100,58.59310326061004,Trajectory
46.0,B1001,B0100,R-27ER,ACTIVE,29751.373355233423,3653.2212474931544,7259.033526699418,480.94471094597833,A0100,58.43287585095119,Trajectory
46.2,B1001,B0100,R-27ER,ACTIVE,29654.152619515142,3645.7746191133574,7256.969950302874,495.5559495635153,A0100,58.26985356897156,Trajectory
46.400000000000006,B1001,B0100,R-27ER,ACTIVE,29554.013779535893,3638.101006363658,7254.844181091842,510.225220615237,A0100,58.10399360725532,Trajectory
46.6,B1001,B0100,R-27ER,ACTIVE,29450.945354365558,3630.1991259781116,7252.655935417318,524.951891689432,A0100,57.93521715880991,Trajectory
46.800000000000004,B1001,B0100,R-27ER,ACTIVE,29344.935992002767,3622.0676987746897,7250.404937342322,539.7353029936462,A0100,57.76359552021668,Trajectory
47.0,B1001,B0100,R-27ER,ACTIVE,29235.974475037525,3613.7054502342453,7248.090919392044,554.5747648372488,A0100,57.58911451588698,Trajectory
47.2,B1001,B0100,R-27ER,ACTIVE,29124.049726964753,3605.111110941277,7245.713609372576,569.4695572794469,A0100,57.41174693443816,Trajectory
47.400000000000006,B1001,B0100,R-27ER,ACTIVE,29009.1508182151,3596.283416696086,7243.272731417399,584.4189302739156,A0100,57.231416863626066,Trajectory
47.6,B1001,B0100,R-27ER,ACTIVE,28891.266971867666,3587.221108946463,7240.768017906718,599.4221037485911,A0100,57.048153632398574,Trajectory
47.800000000000004,B1001,B0100,R-27ER,ACTIVE,28770.38756984161,3577.9229351353965,7238.1992117736245,614.4782650642666,A0100,56.86190682614566,Trajectory
48.0,B1001,B0100,R-27ER,ACTIVE,28646.502159485124,3568.3876492717577,7235.566061014798,629.5865693986409,A0100,56.672695283398276,Trajectory
48.2,B1001,B0100,R-27ER,ACTIVE,28519.6004601421,3558.614012347885,7232.868317739401,644.746138353395,A0100,56.480480520198725,Trajectory
48.400000000000006,B1001,B0100,R-27ER,ACTIVE,28389.67236987247,3548.6007929221846,7230.105736036381,659.9560601921108,A0100,56.28528172069661,Trajectory
48.6,B1001,B0100,R-27ER,ACTIVE,28256.707972227232,3538.346767510284,7227.278072862714,675.2153883414819,A0100,56.08705924727658,Trajectory
48.800000000000004,B1001,B0100,R-27ER,ACTIVE,28120.697543211874,3527.850721172823,7224.385086734885,690.5231415280276,A0100,55.885832374365286,Trajectory
49.0,B1001,B0100,R-27ER,ACTIVE,27981.63155833518,3517.1114478878103,7221.426538976155,705.8783022422461,A0100,55.681561575902364,Trajectory
49.2,B1001,B0100,R-27ER,ACTIVE,27839.500699844502,3506.127751147047,7218.402192667739,721.2798168775869,A0100,55.47427384473555,Trajectory
