Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID
144.20000000000002,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
144.20000000000002,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
144.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
144.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
144.4,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
144.6,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
144.6,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
144.6,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
144.8,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
144.8,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
144.8,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
145.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.0,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.20000000000002,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
145.20000000000002,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.20000000000002,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
145.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.4,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.6,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
145.6,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.6,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.8,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
145.8,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
145.8,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
146.0,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
146.0,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
146.0,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
146.20000000000002,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
146.20000000000002,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
146.20000000000002,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
146.4,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
146.4,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
146.4,MB0200_001,B0200,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
146.6,MA0100_001,A0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,B0100
146.6,MB0100_001,B0100,AIM-120C-7,LAUNCHED,0,0,6096,1360.0,A0100
