Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km
61.6,A1001,A0100,AIM-120C-7,ACTIVE,-23340.60820832345,-1278.8105814752098,6050.786846368969,355.5850865087296,B0100,46.757490611093125
61.800000000000004,A1001,A0100,AIM-120C-7,ACTIVE,-23267.72927556955,-1282.814126751428,6049.785396835115,376.10124088885283,B0100,46.61934871009123
62.0,A1001,A0100,AIM-120C-7,ACTIVE,-23190.737729092212,-1286.9532917186318,6048.738353463075,396.7364477925499,B0100,46.47718073809545
62.2,A1001,A0100,AIM-120C-7,ACTIVE,-23109.61123554846,-1291.1978694814798,6047.649184412984,417.44522156828975,B0100,46.33097599697496
62.400000000000006,A1001,A0100,AIM-120C-7,ACTIVE,-23024.331666833605,-1295.4856757023413,6046.525225722581,438.25509786425465,B0100,46.18065647229766
62.6,A1001,A0100,AIM-120C-7,ACTIVE,-22934.876393023846,-1299.8101363821602,6045.367070027934,459.18004567621136,B0100,46.02624170734573
62.800000000000004,A1001,A0100,AIM-120C-7,ACTIVE,-22841.22253036762,-1304.166682136542,6044.175074820238,480.2193447692055,B0100,45.867609558573356
63.0,A1001,A0100,AIM-120C-7,ACTIVE,-22743.347342504785,-1308.5509264675989,6042.949578267163,501.37221037113096,B0100,45.70475763391998
63.2,A1001,A0100,AIM-120C-7,ACTIVE,-22641.22825369358,-1312.958643701343,6041.690900544758,522.6377920727575,B0100,45.53764430671243
63.400000000000006,A1001,A0100,AIM-120C-7,ACTIVE,-22534.842862225632,-1317.3857501193188,6040.399343411684,544.0151721563755,B0100,45.36626854398333
63.6,A1001,A0100,AIM-120C-7,ACTIVE,-22424.168954194232,-1321.8282872091347,6039.075193164158,565.5033644007164,B0100,45.19058823586401
63.800000000000004,A1001,A0100,AIM-120C-7,ACTIVE,-22309.184517479316,-1326.28240723969,6037.71872069779,587.1013121081162,B0100,45.01060252214292
64.0,A1001,A0100,AIM-120C-7,ACTIVE,-22189.867756148335,-1330.7443601872694,6036.3301843346435,608.8078868792744,B0100,44.82625328014052
64.2,A1001,A0100,AIM-120C-7,ACTIVE,-22066.197105027542,-1335.210482678729,6034.909827446399,630.6218876701147,B0100,44.63757962345564
64.4,A1001,A0100,AIM-120C-7,ACTIVE,-21938.15124453966,-1339.67718900384,6033.45788418048,652.5420384431394,B0100,44.4445900574243
64.60000000000001,A1001,A0100,AIM-120C-7,ACTIVE,-21805.709116076046,-1344.1409623843676,6031.974586510782,674.5669852957407,B0100,44.24725297176096
64.8,A1001,A0100,AIM-120C-7,ACTIVE,-21668.849937729035,-1348.5983469732234,6030.4601659534155,696.6952955882753,B0100,44.045609601405815
65.0,A1001,A0100,AIM-120C-7,ACTIVE,-21527.553220375103,-1353.0459403421112,6028.9148508229155,718.9254565639444,B0100,43.8396139279474
65.2,A1001,A0100,AIM-120C-7,ACTIVE,-21381.798783951483,-1357.4803862217111,6027.338850934512,741.25587410756,B0100,43.62925890690155
65.4,A1001,A0100,AIM-120C-7,ACTIVE,-21231.566774360654,-1361.8983681848094,6025.732362585617,763.6848666589623,B0100,43.4144658845873
65.60000000000001,A1001,A0100,AIM-120C-7,ACTIVE,-21076.83768106218,-1366.2966044618506,6024.095586496749,786.2106637563406,B0100,43.1952624747011
65.8,A1001,A0100,AIM-120C-7,ACTIVE,-20917.592354929708,-1370.6718427326834,6022.428729291762,808.8314068319421,B0100,42.971608144034576
66.0,A1001,A0100,AIM-120C-7,ACTIVE,-20753.81202602015,-1375.0208552941565,6020.7319865743475,831.5451486098999,B0100,42.74351528252317
66.2,A1001,A0100,AIM-120C-7,ACTIVE,-20585.478322117455,-1379.3404345167107,6019.00554487671,854.3498454156048,B0100,42.51091101876805
66.4,A1001,A0100,AIM-120C-7,ACTIVE,-20412.573288167026,-1383.6273889077568,6017.249597873511,877.243355385008,B0100,42.273819903414406
66.60000000000001,A1001,A0100,AIM-120C-7,ACTIVE,-20235.079405975448,-1387.8785392079446,6015.464349863667,900.2234388093835,B0100,42.032180116987426
66.8,A1001,A0100,AIM-120C-7,ACTIVE,-20052.979613919524,-1392.0907150168623,6013.650008833623,923.2877567851269,B0100,41.78600526540292
67.0,A1001,A0100,AIM-120C-7,ACTIVE,-19866.257327314084,-1396.2607514010035,6011.80678552669,946.4338675404318,B0100,41.53519473011348
