Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
B1001,B0100,A0100,41.6,116.80000000000001,75.20000000000002,954.3183286987359,416.12771597173514,44.52589183861935,MISS
B1002,B0100,A0100,51.6,126.60000000000001,75.0,945.2946772583412,427.8208331545744,43.94131020496778,MISS
A1001,A0100,B0100,57.0,128.8,71.80000000000001,1057.8843257152741,443.35388909884153,44.47002067815275,MISS
A1002,A0100,B0100,59.0,128.8,69.80000000000001,1059.0642876611635,442.90818657680643,43.3515948609303,MISS
B2001,B0200,A0100,72.60000000000001,147.8,75.2,889.9637458477504,458.86596343937026,43.94621960375775,MISS
A2001,A0200,B0100,75.2,128.6,53.39999999999999,1109.6831469035697,575.1513581707599,40.2536689601294,HIT
A2002,A0200,B0100,75.2,128.6,53.39999999999999,1109.6831469035697,575.1482519326635,40.25358402608674,MISS
B2002,B0200,A0100,82.60000000000001,157.60000000000002,75.00000000000001,864.2736545042152,463.1139872618466,43.08266421848311,MISS
