Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
B1001,B0100,A0100,51.6,126.80000000000001,75.20000000000002,928.1582863187783,427.1608478558653,44.71201986659392,MISS
B1002,B0100,A0100,61.6,136.6,75.0,922.5858730611722,432.10248583067516,43.78124817621355,MISS
A1001,A0100,B0100,67.8,114.2,46.400000000000006,1068.7483976023368,628.062310551455,36.132198984562926,MISS
A1002,A0100,B0100,69.8,114.2,44.400000000000006,1069.7037247135543,647.1546169555971,35.10871196228176,MISS
B2001,B0200,A0100,75.60000000000001,150.8,75.2,875.6336438811636,422.9987964661274,41.131699110544886,MISS
B2002,B0200,A0100,85.60000000000001,160.60000000000002,75.00000000000001,871.3226264293615,433.73010870672204,41.18568103578815,MISS
