Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
B1001,B0100,A0100,41.6,116.80000000000001,75.20000000000002,951.9408314740456,416.5885486999381,44.5088125753192,MISS
B1002,B0100,A0100,51.6,126.60000000000001,75.0,941.7737496240786,423.18340359963753,43.71339101397364,MISS
A1001,A0100,B0100,56.800000000000004,107.0,50.199999999999996,1058.9347950244733,580.681006688527,37.12939871047219,MISS
A1002,A0100,B0100,58.800000000000004,107.0,48.199999999999996,1059.7606514398553,584.9682135351553,35.92535831639894,MISS
B2001,B0200,A0100,72.8,148.0,75.2,900.9210229798758,443.62884104600823,43.08086229556595,MISS
A2001,A0200,B0100,76.0,107.0,31.0,1112.3054699694192,745.5275523792423,26.74851272811082,MISS
A2002,A0200,B0100,76.0,107.0,31.0,1112.3054699694192,745.566282734826,26.74855686651945,MISS
B2002,B0200,A0100,82.80000000000001,157.8,75.0,894.5783842183671,461.51525857964,43.67183020831828,MISS
