Time_s,d1_A0100_B0100_km,d2_A0100_B0200_km,d3_A0200_B0100_km,d4_A0200_B0200_km,h1_A0100_m,h2_A0200_m,h3_B0100_m,h4_B0200_m,v1_A0100_ms,v2_A0200_ms,v3_B0100_ms,v4_B0200_ms,theta1_A0100_B0100_deg,theta2_A0100_B0200_deg,theta3_A0200_B0100_deg,theta4_A0200_B0200_deg,psi1_A0100_B0100_deg,psi2_A0100_B0200_deg,psi3_A0200_B0100_deg,psi4_A0200_B0200_deg,jammed_A0100,jammed_A0200,action_B0100,action_B0200
0.000,89.073,89.075,89.075,89.074,5940.775,5940.722,5940.763,5940.986,365.339,364.819,365.339,364.767,0.011,0.362,-0.680,-0.329,0.011,0.881,0.348,0.521,1,1,lock_on,lock_on
0.200,88.927,88.929,88.929,88.928,5941.226,5940.747,5941.213,5943.239,364.728,364.466,364.728,363.076,0.215,0.566,-0.060,0.291,0.215,3.024,0.145,2.664,1,1,lock_on,lock_on
0.400,88.782,88.784,88.784,88.783,5941.716,5939.970,5941.703,5947.531,364.276,364.058,364.276,361.045,0.145,0.498,-0.851,-0.498,0.145,5.015,0.215,4.654,1,1,lock_on,lock_on
0.600,88.636,88.640,88.638,88.638,5942.136,5939.189,5942.123,5953.062,363.658,363.491,363.658,359.175,0.333,0.689,-6.501,-6.144,0.333,8.687,0.028,8.325,1,1,lock_on,lock_on
0.800,88.491,88.496,88.493,88.495,5942.575,5939.152,5942.562,5958.893,363.213,362.056,363.213,358.107,0.244,0.606,-6.515,-6.154,0.244,10.418,0.119,10.055,1,1,lock_on,lock_on
1.000,88.346,88.353,88.348,88.352,5942.933,5940.256,5942.920,5964.611,362.608,360.330,362.609,357.950,0.426,0.793,-8.556,-8.189,0.426,5.020,0.059,4.653,1,1,lock_on,lock_on
1.200,88.201,88.209,88.204,88.209,5943.306,5943.123,5943.293,5970.205,362.184,358.814,362.184,358.070,0.325,0.697,-9.391,-9.019,0.325,2.922,0.047,2.551,1,1,lock_on,lock_on
1.400,88.056,88.066,88.061,88.067,5943.597,5947.801,5943.583,5975.404,361.605,357.621,361.606,358.237,0.504,0.881,-9.208,-8.831,0.504,0.936,0.128,0.560,1,1,lock_on,lock_on
1.600,87.911,87.922,87.917,87.925,5943.900,5953.207,5943.887,5979.997,361.214,357.058,361.215,357.779,0.395,0.776,-8.988,-8.606,0.395,1.463,0.013,1.081,1,1,lock_on,lock_on
1.800,87.767,87.779,87.775,87.783,5944.118,5957.856,5944.105,5984.692,360.676,356.547,360.676,356.729,0.575,0.961,-8.735,-8.350,0.575,9.101,0.188,8.714,1,1,lock_on,lock_on
2.000,87.623,87.636,87.632,87.641,5944.347,5961.295,5944.334,5989.938,360.334,355.756,360.334,355.710,0.459,0.851,-8.370,-7.978,0.459,8.499,0.067,8.106,1,1,lock_on,lock_on
2.200,87.479,87.494,87.489,87.500,5944.490,5963.393,5944.476,5995.172,359.854,355.243,359.855,355.490,0.641,1.039,-8.376,-7.979,0.641,2.268,0.243,1.869,1,1,lock_on,lock_on
2.400,87.335,87.352,87.347,87.359,5944.640,5964.546,5944.627,6000.073,359.581,354.716,359.581,355.618,0.522,0.925,-7.994,-7.592,0.522,2.769,0.118,2.364,1,1,lock_on,lock_on
2.600,87.191,87.209,87.204,87.218,5944.702,5965.185,5944.688,6004.467,359.179,354.492,359.180,355.469,0.708,1.115,-7.907,-7.499,0.708,0.705,0.297,0.295,1,1,lock_on,lock_on
2.800,87.047,87.067,87.062,87.077,5944.768,5965.358,5944.754,6008.400,358.994,354.415,358.995,354.685,0.585,0.997,-7.747,-7.335,0.585,6.303,0.169,5.887,1,1,lock_on,lock_on
3.000,86.904,86.925,86.920,86.936,5944.671,5965.164,5944.656,6012.231,358.914,354.419,358.915,353.996,0.613,1.031,-7.594,-7.176,0.613,12.916,0.190,12.493,1,1,lock_on,lock_on
3.200,86.760,86.783,86.778,86.796,5944.573,5964.752,5944.559,6015.774,358.711,354.268,358.712,353.965,0.783,1.207,-7.328,-6.904,0.783,9.760,0.354,9.331,1,1,lock_on,lock_on
3.400,86.617,86.641,86.636,86.655,5944.642,5964.384,5944.627,6019.116,358.698,354.361,358.699,354.239,0.682,1.113,-7.313,-6.882,0.682,6.127,0.246,5.691,1,1,lock_on,lock_on
3.600,86.473,86.499,86.494,86.515,5944.716,5964.134,5944.701,6021.956,358.509,354.276,358.510,354.536,0.860,1.298,-7.071,-6.633,0.860,4.197,0.418,3.755,1,1,lock_on,lock_on
3.800,86.330,86.357,86.352,86.374,5944.839,5964.034,5944.824,6023.902,358.488,354.344,358.488,354.782,0.751,1.194,-7.141,-6.698,0.750,3.251,0.302,2.803,1,1,lock_on,lock_on
4.000,86.187,86.215,86.210,86.233,5944.889,5963.910,5944.874,6024.718,358.292,354.208,358.293,354.739,0.928,1.378,-6.911,-6.461,0.928,3.328,0.473,2.874,1,1,lock_on,lock_on
4.200,86.043,86.073,86.068,86.092,5944.953,5963.874,5944.938,6024.542,358.266,354.249,358.267,354.069,0.815,1.269,-6.993,-6.539,0.814,4.439,0.353,3.978,1,1,lock_on,lock_on
