Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
B1001,B0100,A0100,41.6,116.80000000000001,75.20000000000002,955.6202187919573,420.1737024486672,44.7092477960289,MISS
B1002,B0100,A0100,51.6,126.60000000000001,75.0,954.5788172059194,434.6077500127399,44.53899145726567,MISS
A1001,A0100,B0100,56.400000000000006,101.4,45.0,1059.6273233855911,622.8314041946785,34.83537647209418,MISS
A1002,A0100,B0100,58.400000000000006,101.4,43.0,1060.8638005782427,630.3109351036737,33.54251054124003,MISS
B2001,B0200,A0100,71.2,146.4,75.2,945.7845371261774,461.9988956013732,45.15892779483691,MISS
A2001,A0200,B0100,74.4,101.4,27.0,1109.0150511480922,757.2215365749888,23.163146725514775,MISS
A2002,A0200,B0100,74.4,101.4,27.0,1109.0150511480922,757.2215365749888,23.163146725514775,MISS
B2002,B0200,A0100,81.2,156.20000000000002,75.00000000000001,947.0672942421888,488.73553274589625,46.54822097057235,MISS
