Time_s,Agent_ID,Missile_Type,Remaining_Count,Launched,Side,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km
0.0,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.0,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.2,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.2,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.4,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.4,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.6000000000000001,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.6000000000000001,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.8,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
0.8,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.0,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.0,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.2000000000000002,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.2000000000000002,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.4000000000000001,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.4000000000000001,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.6,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.6,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.8,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
1.8,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
2.0,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
2.0,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
2.2,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
2.2,B0200,R-27ER,2.0,False,Enemy,,,,,,,,,,
2.4000000000000004,B0100,R-27ER,2.0,False,Enemy,,,,,,,,,,
