Time_s,Missile_ID,Launcher_ID,Type,Status,X_m,Y_m,Z_m,Velocity_m_s,Target_ID,Distance_to_Target_km,Data_Type
41.800000000000004,B1001,B0100,R-27ER,ACTIVE,29894.887371264707,758.1157566102426,6001.277252234521,352.8191130696967,A0100,59.808159389706915,Trajectory
41.800000000000004,B2001,B0200,R-27ER,ACTIVE,29895.0630598088,1304.7064805311118,6001.188259919501,352.8191069110892,A0100,59.824774411785604,Trajectory
42.0,B1001,B0100,R-27ER,ACTIVE,29823.067087341522,756.2934138466508,6001.276310257386,366.7887116544389,A0100,59.66909526404611,Trajectory
42.0,B2001,B0200,R-27ER,ACTIVE,29823.26239347883,1302.2289629697202,6001.187424955564,366.7886919226666,A0100,59.68579462922616,Trajectory
42.2,B1001,B0100,R-27ER,ACTIVE,29748.44844251702,754.399714624882,6001.275370886747,380.81657624028594,A0100,59.527263216024664,Trajectory
42.2,B2001,B0200,R-27ER,ACTIVE,29748.664138001746,1299.6545371319094,6001.186596760763,380.81653494535607,A0100,59.54404713549266,Trajectory
42.400000000000006,B1001,B0100,R-27ER,ACTIVE,29671.019846740997,752.4341780317595,6001.274453228019,394.9021057189812,A0100,59.382721704153596,Trajectory
42.400000000000006,B2001,B0200,R-27ER,ACTIVE,29671.25671028814,1296.9826036610264,6001.185794454421,394.9020343012391,A0100,59.39959037738934,Trajectory
42.6,B1001,B0100,R-27ER,ACTIVE,29590.7698374743,750.3962834688695,6001.273580574261,409.0445779069515,A0100,59.23543686647843,Trajectory
42.6,B2001,B0200,R-27ER,ACTIVE,29591.028655595885,1294.2125217736834,6001.1850413425145,409.0444607573321,A0100,59.25239048379345,Trajectory
42.800000000000004,B1001,B0100,R-27ER,ACTIVE,29507.68711191821,748.285326207461,6001.272794360056,423.24330587621535,A0100,59.0853815340433,Trajectory
42.800000000000004,B2001,B0200,R-27ER,ACTIVE,29507.968683002444,1291.3434552381866,6001.184378869178,423.24312453286814,A0100,59.10242042749079,Trajectory
43.0,B1001,B0100,R-27ER,ACTIVE,29421.76047997847,746.1007370163596,6001.27212093132,437.49769210560794,A0100,58.932514944478015,Trajectory
43.0,B2001,B0200,R-27ER,ACTIVE,29422.065611701877,1288.3747134271614,6001.1838333923515,437.4974330637264,A0100,58.94963942424328,Trajectory
43.2,B1001,B0100,R-27ER,ACTIVE,29332.978884852753,743.8419710954465,6001.271582363653,451.8070273731947,A0100,58.776855359782246,Trajectory
43.2,B2001,B0200,R-27ER,ACTIVE,29333.308393717925,1285.305632830636,6001.183427000324,451.80667635201274,A0100,58.794065823123134,Trajectory
43.400000000000006,B1001,B0100,R-27ER,ACTIVE,29241.331414212436,741.5084827540984,6001.2712002209055,466.17057474141103,A0100,58.618361684476206,Trajectory
43.400000000000006,B2001,B0200,R-27ER,ACTIVE,29241.686125718345,1282.1355501103162,6001.1831812695,466.170116648151,A0100,58.63565848952041,Trajectory
