Missile_ID,Launcher_ID,Target_ID,Launch_Time_s,Final_Time_s,Flight_Duration_s,Max_Velocity_m_s,Avg_Velocity_m_s,Total_Distance_km,Final_Status
B1001,B0100,A0100,42.800000000000004,118.0,75.19999999999999,949.1878434969748,438.23241233969617,45.681590951055504,MISS
B1002,B0100,A0100,52.800000000000004,127.80000000000001,75.0,947.1252586750288,436.7073974404772,45.03466701720954,MISS
A1001,A0100,B0100,59.0,166.0,107.0,1120.3653091649023,352.1576630225262,58.054937126070435,MISS
A1002,A0100,B0100,61.0,166.0,105.0,1118.0988822668844,355.67472959857946,58.19758496599934,MISS
A2001,A0200,B0100,68.0,164.4,96.4,1120.5802045827172,353.09503021403697,54.77079748585311,MISS
A2002,A0200,B0100,68.0,164.4,96.4,1120.5802045827172,353.0873132802466,54.77020368136051,MISS
B2001,B0200,A0100,76.80000000000001,152.0,75.19999999999999,868.6458394138949,388.2900151954057,39.034114186361066,MISS
B2002,B0200,A0100,86.80000000000001,161.8,75.0,873.5942679124189,411.4791646315713,40.2478928463826,MISS
