time,agent_id,threat_level,distance_threat,angle_threat,altitude_threat,speed_threat,total_threat
2.0,A0100,0.5026453589674221,0.0,0.0,0.0,0.0,0.5026453589674221
2.0,A0200,0.49761643094573865,0.0,0.0,0.0,0.0,0.49761643094573865
4.0,A0100,0.5072980263935685,0.0,0.0,0.0,0.0,0.5072980263935685
4.0,A0200,0.498053213940995,0.0,0.0,0.0,0.0,0.498053213940995
6.0,A0100,0.5093111130291994,0.0,0.0,0.0,0.0,0.5093111130291994
6.0,A0200,0.4954974943916702,0.0,0.0,0.0,0.0,0.4954974943916702
8.0,A0100,0.5138146954255369,0.0,0.0,0.0,0.0,0.5138146954255369
8.0,A0200,0.4944211644276195,0.0,0.0,0.0,0.0,0.4944211644276195
10.0,A0100,0.515153513536751,0.0,0.0,0.0,0.0,0.515153513536751
10.0,A0200,0.4909326696942201,0.0,0.0,0.0,0.0,0.4909326696942201
12.0,A0100,0.5190827964109409,0.0,0.0,0.0,0.0,0.5190827964109409
12.0,A0200,0.4894863105444011,0.0,0.0,0.0,0.0,0.4894863105444011
14.0,A0100,0.5240643049136189,0.0,0.0,0.0,0.0,0.5240643049136189
14.0,A0200,0.4877603082161053,0.0,0.0,0.0,0.0,0.4877603082161053
16.0,A0100,0.5253147267441407,0.0,0.0,0.0,0.0,0.5253147267441407
16.0,A0200,0.48458036508628866,0.0,0.0,0.0,0.0,0.48458036508628866
18.0,A0100,0.5303948353673096,0.0,0.0,0.0,0.0,0.5303948353673096
18.0,A0200,0.48307190654389465,0.0,0.0,0.0,0.0,0.48307190654389465
20.0,A0100,0.5349165921162039,0.0,0.0,0.0,0.0,0.5349165921162039
20.0,A0200,0.48194662062600124,0.0,0.0,0.0,0.0,0.48194662062600124
22.0,A0100,0.5385481707007018,0.0,0.0,0.0,0.0,0.5385481707007018
22.0,A0200,0.4914856185873546,0.0,0.0,0.0,0.0,0.4914856185873546
24.0,A0100,0.5417426983865188,0.0,0.0,0.0,0.0,0.5417426983865188
24.0,A0200,0.48955630045804566,0.0,0.0,0.0,0.0,0.48955630045804566
26.0,A0100,0.5453765243932697,0.0,0.0,0.0,0.0,0.5453765243932697
26.0,A0200,0.48962810067027396,0.0,0.0,0.0,0.0,0.48962810067027396
28.0,A0100,0.5507726285011414,0.0,0.0,0.0,0.0,0.5507726285011414
28.0,A0200,0.48693075782309253,0.0,0.0,0.0,0.0,0.48693075782309253
30.0,A0100,0.5552657487679503,0.0,0.0,0.0,0.0,0.5552657487679503
30.0,A0200,0.4862141130577809,0.0,0.0,0.0,0.0,0.4862141130577809
32.0,A0100,0.5589379578211066,0.0,0.0,0.0,0.0,0.5589379578211066
32.0,A0200,0.4863711113946121,0.0,0.0,0.0,0.0,0.4863711113946121
34.0,A0100,0.5615689733024631,0.0,0.0,0.0,0.0,0.5615689733024631
34.0,A0200,0.4873472329769627,0.0,0.0,0.0,0.0,0.4873472329769627
36.0,A0100,0.5616164845333437,0.0,0.0,0.0,0.0,0.5616164845333437
36.0,A0200,0.48832958753480515,0.0,0.0,0.0,0.0,0.48832958753480515
38.0,A0100,0.5610539577517638,0.0,0.0,0.0,0.0,0.5610539577517638
38.0,A0200,0.4899900290425716,0.0,0.0,0.0,0.0,0.4899900290425716
40.0,A0100,0.5587897860475356,0.0,0.0,0.0,0.0,0.5587897860475356
40.0,A0200,0.49315863896048096,0.0,0.0,0.0,0.0,0.49315863896048096
42.0,A0100,0.5507942478132865,0.0,0.0,0.0,0.0,0.5507942478132865
42.0,A0200,0.5013439446990484,0.0,0.0,0.0,0.0,0.5013439446990484
44.0,A0100,0.5499153706011108,0.0,0.0,0.0,0.0,0.5499153706011108
44.0,A0200,0.5098821623060841,0.0,0.0,0.0,0.0,0.5098821623060841
