time,missile_id,launcher_id,target_id,x,y,z,speed,distance_to_target,guidance_mode
116.0,A1001,A0100,B0100,-43152.17754287761,-259.991101817947,10790.239257003568,465.28662451670607,77422.00423378829,MID_COURSE
118.0,A1001,A0100,B0100,-42121.817336225395,-83.25189546118118,11123.595897500203,635.150077256104,75975.93852287332,MID_COURSE
120.0,A1001,A0100,B0100,-40741.60790461805,126.30345203795281,11502.867488597238,814.7093437650827,74230.3074024516,MID_COURSE
120.0,A2001,A0200,B0100,-42453.7634597605,17520.877039061164,3765.858863849912,516.0151982617652,77664.21268485411,MID_COURSE
122.0,A1001,A0100,B0100,-38992.073667119934,367.4600239008357,11924.479651260068,1004.3751634899997,72138.68708903852,MID_COURSE
122.0,A2001,A0200,B0100,-41958.25978489554,18578.893816156102,3892.6991100861055,662.1630988921545,77104.85993858731,MID_COURSE
124.0,A1001,A0100,B0100,-36887.68254503873,634.3421111191572,12379.409789715739,1112.31470792577,69742.36601429977,MID_COURSE
124.0,A2001,A0200,B0100,-41143.04818703798,19791.99480810046,4038.3282437150992,808.9301832817099,76352.62430178381,MID_COURSE
126.0,A1001,A0100,B0100,-34744.64677032271,880.8119905465832,12806.301483482435,1086.927282461003,67290.38488595234,MID_COURSE
126.0,A2001,A0200,B0100,-40003.722353982885,21126.609826433974,4201.506223791114,955.215774449124,75334.60082000952,MID_COURSE
128.0,A1001,A0100,B0100,-32639.841046763122,1097.0316482300736,13190.518594280891,1063.7576750200885,64886.89749513423,MID_COURSE
128.0,A2001,A0200,B0100,-38644.47740448395,22464.74903575416,4369.416057706878,925.7301207297892,74156.28443994356,MID_COURSE
130.0,A1001,A0100,B0100,-30569.92245316428,1283.492912017381,13532.686006531358,1042.7007818441587,62523.9031612331,MID_COURSE
130.0,A2001,A0200,B0100,-37286.65855924829,23615.00157691255,4518.937200640602,861.4764948726852,72976.91287443285,MID_COURSE
132.0,A1001,A0100,B0100,-28532.221347275852,1440.6092948632715,13834.899667433352,1023.4249307565764,60196.18185217503,MID_COURSE
132.0,A2001,A0200,B0100,-35940.905031307724,24587.64920592281,4651.834215776484,805.4964810347615,71795.18649777498,MID_COURSE
134.0,A1001,A0100,B0100,-26524.5585355198,1568.7617703067633,14098.84909053818,1005.6928105463525,57901.19593657457,MID_COURSE
134.0,A2001,A0200,B0100,-34611.72024211248,25397.36308727352,4770.118933943429,756.4442198922695,70610.55254066971,MID_COURSE
136.0,A1001,A0100,B0100,-24545.15658822278,1668.2625275750024,14326.107416421934,989.3040135216698,55637.759592988885,MID_COURSE
136.0,A2001,A0200,B0100,-33303.93237081507,26057.537906740014,4875.567853406087,713.2442734617663,69424.91587233944,MID_COURSE
138.0,A1001,A0100,B0100,-22592.568165633766,1739.3235447965071,14518.04520324948,974.0760484914289,53404.46072072339,MID_COURSE
138.0,A2001,A0200,B0100,-32022.343684429063,26580.683799273287,4969.681552991267,675.0178754009072,68240.30065481804,MID_COURSE
140.0,A1001,A0100,B0100,-20665.626530198046,1782.0696124905685,14675.718016688415,959.8553819618963,51199.92985742365,MID_COURSE
140.0,A2001,A0200,B0100,-30771.449959940914,26978.66737418421,5053.642796167601,641.0613013959279,67057.72834809487,MID_COURSE
142.0,A1001,A0100,B0100,-18763.403510058204,1796.6031556886176,14799.991839467844,946.5341987552468,49021.79343179597,MID_COURSE
142.0,A2001,A0200,B0100,-29555.233967626653,27262.854314420525,5128.457142140851,610.7905922770781,65879.1462797939,MID_COURSE
144.0,A1001,A0100,B0100,-16885.232093119706,1783.1564063411163,14889.976579739576,933.8758166265511,46867.92589297429,MID_COURSE
144.0,A2001,A0200,B0100,-28376.961485510972,27444.22257040118,5193.93926379941,583.6890420714174,64696.93721140701,MID_COURSE
146.0,A1001,A0100,B0100,-15030.841908534783,1740.892566092696,14943.36771956271,921.8147902101432,44716.808928544226,MID_COURSE
146.0,A2001,A0200,B0100,-27239.24902931942,27532.458963821606,5249.211787220172,559.260732192703,63502.29594846735,MID_COURSE
148.0,A1001,A0100,B0100,-13200.224333464483,1668.8575028176253,14958.723145969649,910.3314108618438,42555.25671756368,MID_COURSE
148.0,A2001,A0200,B0100,-26144.150869150384,27536.53850578785,5294.367214381375,537.2043860228002,62285.11046482229,MID_COURSE
150.0,A1001,A0100,B0100,-11393.687150026015,1566.0688934089433,14934.465430361277,899.3370552644626,40384.67648345855,MID_COURSE
150.0,A2001,A0200,B0100,-25093.115029725326,27464.97795679842,5329.636036055612,517.2379020063571,61048.50111537838,MID_COURSE
152.0,A1001,A0100,B0100,-9611.94943992323,1431.3637268134648,14868.462403733836,888.7457954310047,38209.13678795487,MID_COURSE
152.0,A2001,A0200,B0100,-24086.988298187214,27325.807044082987,5355.081973690363,499.12636456276147,59797.63252960419,MID_COURSE
154.0,A1001,A0100,B0100,-7856.259643695647,1263.2961556985624,14757.906632088236,878.4819641609556,36030.80729012665,MID_COURSE
154.0,A2001,A0200,B0100,-23126.058240095586,27126.527164737192,5370.546510169608,482.67735996237275,58535.06824020649,MID_COURSE
