time,missile_id,launcher_id,target_id,x,y,z,speed,distance_to_target,guidance_mode
88.0,A2001,A0200,B0200,-41273.203705576714,9098.055687640206,5791.159899986684,501.6933825796221,77030.51473442241,MID_COURSE
88.0,A1001,A0100,B0100,-39476.94944001835,-998.1167165215562,5921.598525958182,485.362863570482,77175.02396090698,MID_COURSE
90.0,A2001,A0200,B0200,-40101.10396497276,9171.854920675692,5755.640324974152,675.6021499979719,75492.09284229246,MID_COURSE
90.0,A1001,A0100,B0100,-38337.139315418004,-1092.0412043029426,5909.211283433654,660.8442695998694,75456.05533193714,MID_COURSE
92.0,A2001,A0200,B0200,-38575.62817654283,9235.678203501848,5711.858280991959,853.9566480374913,73597.94040810037,MID_COURSE
92.0,A1001,A0100,B0100,-36841.48185941213,-1208.4551031561357,5892.558504775936,841.7244953131707,73367.14364109795,MID_COURSE
94.0,A2001,A0200,B0200,-36689.789792999196,9284.851468331188,5659.90813671092,1035.0494786861286,71348.22629137953,MID_COURSE
94.0,A1001,A0100,B0100,-34980.579905156126,-1347.1615876263782,5871.533047076741,1026.5010052317189,70910.59401008619,MID_COURSE
96.0,A2001,A0200,B0200,-34522.70139054317,9312.490975808185,5601.99603259843,1077.9148526786641,68824.97345424142,MID_COURSE
96.0,A1001,A0100,B0100,-32804.775840581206,-1504.1654877129492,5847.038520102299,1098.5642037247849,68142.96599787523,MID_COURSE
98.0,A2001,A0200,B0200,-32414.719505077137,9306.04256952112,5546.686393094233,1031.015923137028,66362.69974197082,MID_COURSE
98.0,A1001,A0100,B0100,-30654.078644195935,-1658.6440024436863,5825.961499426118,1057.840345592345,65421.9408318044,MID_COURSE
100.0,A2001,A0200,B0200,-30397.451584904567,9265.839867419776,5495.360408257824,987.5001027800782,63971.0826698768,MID_COURSE
100.0,A1001,A0100,B0100,-28581.832111489297,-1809.7792292866777,5809.84904273038,1020.1326805732489,62792.80024219032,MID_COURSE
102.0,A2001,A0200,B0200,-28465.013521490957,9193.617081614748,5448.044474251474,947.0344154178973,61625.21418961297,MID_COURSE
102.0,A1001,A0100,B0100,-26582.361617538336,-1955.1706317016224,5797.976633601597,984.854693199856,60235.211420804066,MID_COURSE
104.0,A2001,A0200,B0200,-26612.102392688463,9091.013855134865,5404.662499405636,909.380918606413,59322.17042825096,MID_COURSE
